Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
cat,truck3,car,5.1195566e-06,0.00032222268,0.0011197397,0,0,1,truck,,,0,1
cat,oven1,truck,0.00013972385,0.00040135867,0.011629894,0,0,1,oven,,,0,1
cat,car3,car,0.0001247693,0.022121876,0.022121876,0,1,0,car,,,0,1
cat,truck1,car,5.103307e-05,0.004131752,0.03497293,0,0,1,truck,,,0,1
cat,car2,bottle,4.6009013e-06,0.000101303565,0.0029594556,0,0,1,car,,,0,1
cat,knife2,knife,5.058177e-05,0.0060316017,0.0060316017,0,1,0,knife,,,0,1
cat,bottle1,bottle,3.7563943e-06,0.009124614,0.009124614,0,1,0,bottle,,,0,1
cat,elephant3,elephant,1.4186877e-06,0.4575292,0.4575292,0,1,0,elephant,,,0,1
cat,bird2,cat,0.01447753,0.0010238085,0.01447753,1,0,0,cat,,,1,0
cat,bear1,bear,0.00911007,0.087399535,0.087399535,0,1,0,bear,,,0,1
cat,airplane2,car,7.956147e-05,0.00087754265,0.019948266,0,0,1,airplane,,,0,1
cat,knife3,bottle,0.0002206462,0.00023002202,0.0027939405,0,0,1,knife,,,0,1
cat,bottle2,bottle,2.3937061e-09,0.015905397,0.015905397,0,1,0,bottle,,,0,1
cat,bear1,bear,0.00911007,0.087399535,0.087399535,0,1,0,bear,,,0,1
cat,dog2,dog,0.0003090032,0.008936733,0.008936733,0,1,0,dog,,,0,1
cat,airplane1,knife,3.1248757e-05,0.00077452767,0.01213524,0,0,1,airplane,,,0,1
cat,clock3,bottle,3.8819304e-05,0.0014034702,0.0036920942,0,0,1,clock,,,0,1
cat,clock1,clock,9.0434674e-05,0.06786369,0.06786369,0,1,0,clock,,,0,1
cat,dog3,bear,0.0049063205,0.0055269315,0.011764853,0,0,1,dog,,,0,1
cat,dog3,bear,0.0049063205,0.0055269315,0.011764853,0,0,1,dog,,,0,1
cat,chair3,chair,3.2557211e-06,0.00038190922,0.00038190922,0,1,0,chair,,,0,1
cat,boat3,truck,1.4112488e-05,0.00024085282,0.0010175253,0,0,1,boat,,,0,1
cat,bird1,cat,0.01624601,0.004255126,0.01624601,1,0,0,cat,,,1,0
cat,keyboard3,bottle,0.0002611417,0.0004758649,0.0031415543,0,0,1,keyboard,,,0,1
cat,knife2,knife,5.058177e-05,0.0060316017,0.0060316017,0,1,0,knife,,,0,1
cat,car2,bottle,4.6009013e-06,0.000101303565,0.0029594556,0,0,1,car,,,0,1
cat,car2,bottle,4.6009013e-06,0.000101303565,0.0029594556,0,0,1,car,,,0,1
cat,elephant1,elephant,2.942885e-06,0.45875943,0.45875943,0,1,0,elephant,,,0,1
cat,keyboard3,bottle,0.0002611417,0.0004758649,0.0031415543,0,0,1,keyboard,,,0,1
cat,elephant2,elephant,6.7178047e-07,0.47820312,0.47820312,0,1,0,elephant,,,0,1
cat,oven2,truck,8.3014575e-06,0.0045725103,0.004986325,0,0,1,oven,,,0,1
cat,keyboard3,bottle,0.0002611417,0.0004758649,0.0031415543,0,0,1,keyboard,,,0,1
cat,airplane3,clock,0.00022962503,0.0006492143,0.0043593943,0,0,1,airplane,,,0,1
cat,boat1,boat,0.00018131867,0.0023541977,0.0023541977,0,1,0,boat,,,0,1
cat,truck3,car,5.1195566e-06,0.00032222268,0.0011197397,0,0,1,truck,,,0,1
cat,bicycle1,bicycle,1.2963669e-05,0.0010222247,0.0010222247,0,1,0,bicycle,,,0,1
cat,elephant1,elephant,2.942885e-06,0.45875943,0.45875943,0,1,0,elephant,,,0,1
cat,dog1,cat,0.0012239927,0.00064477575,0.0012239927,1,0,0,cat,,,1,0
cat,oven1,truck,0.00013972385,0.00040135867,0.011629894,0,0,1,oven,,,0,1
cat,boat2,boat,3.3370427e-05,0.0060500368,0.0060500368,0,1,0,boat,,,0,1
cat,bicycle3,bottle,0.00016804454,3.2881922e-05,0.0011417046,0,0,1,cat,,,1,0
cat,clock3,bottle,3.8819304e-05,0.0014034702,0.0036920942,0,0,1,clock,,,0,1
cat,keyboard2,keyboard,5.0077626e-05,0.009458525,0.009458525,0,1,0,keyboard,,,0,1
cat,bottle1,bottle,3.7563943e-06,0.009124614,0.009124614,0,1,0,bottle,,,0,1
cat,elephant2,elephant,6.7178047e-07,0.47820312,0.47820312,0,1,0,elephant,,,0,1
cat,boat2,boat,3.3370427e-05,0.0060500368,0.0060500368,0,1,0,boat,,,0,1
cat,bird3,oven,0.00055469683,0.0010577155,0.03782708,0,0,1,bird,,,0,1
cat,chair3,chair,3.2557211e-06,0.00038190922,0.00038190922,0,1,0,chair,,,0,1
cat,bicycle1,bicycle,1.2963669e-05,0.0010222247,0.0010222247,0,1,0,bicycle,,,0,1
cat,oven2,truck,8.3014575e-06,0.0045725103,0.004986325,0,0,1,oven,,,0,1
cat,car2,bottle,4.6009013e-06,0.000101303565,0.0029594556,0,0,1,car,,,0,1
cat,bird2,cat,0.01447753,0.0010238085,0.01447753,1,0,0,cat,,,1,0
cat,bear2,bear,0.000514956,0.19986798,0.19986798,0,1,0,bear,,,0,1
cat,bear1,bear,0.00911007,0.087399535,0.087399535,0,1,0,bear,,,0,1
cat,airplane2,car,7.956147e-05,0.00087754265,0.019948266,0,0,1,airplane,,,0,1
cat,clock2,clock,9.397234e-05,0.017310636,0.017310636,0,1,0,clock,,,0,1
cat,keyboard1,keyboard,8.004842e-06,0.07409194,0.07409194,0,1,0,keyboard,,,0,1
cat,chair2,chair,9.553066e-06,0.0029504222,0.0029504222,0,1,0,chair,,,0,1
cat,bicycle1,bicycle,1.2963669e-05,0.0010222247,0.0010222247,0,1,0,bicycle,,,0,1
cat,airplane1,knife,3.1248757e-05,0.00077452767,0.01213524,0,0,1,airplane,,,0,1
cat,truck3,car,5.1195566e-06,0.00032222268,0.0011197397,0,0,1,truck,,,0,1
cat,bottle1,bottle,3.7563943e-06,0.009124614,0.009124614,0,1,0,bottle,,,0,1
cat,clock2,clock,9.397234e-05,0.017310636,0.017310636,0,1,0,clock,,,0,1
cat,boat1,boat,0.00018131867,0.0023541977,0.0023541977,0,1,0,boat,,,0,1
