Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
chair,bear2,chair,0.04452722,0.011634473,0.04452722,1,0,0,chair,,,1,0
chair,dog2,chair,0.04010851,0.002853453,0.04010851,1,0,0,chair,,,1,0
chair,cat3,oven,0.0034218433,0.0016840124,0.010530965,0,0,1,chair,,,1,0
chair,cat2,chair,0.2426037,9.668719e-06,0.2426037,1,0,0,chair,,,1,0
chair,bird3,oven,0.045557242,3.1968466e-05,0.12770526,0,0,1,chair,,,1,0
chair,keyboard3,chair,0.013320532,0.0002694003,0.013320532,1,0,0,chair,,,1,0
chair,bicycle3,chair,0.012461462,4.067199e-05,0.012461462,1,0,0,chair,,,1,0
chair,knife1,chair,0.0094581675,0.005653961,0.0094581675,1,0,0,chair,,,1,0
chair,bottle3,bottle,0.0010831069,0.075724125,0.075724125,0,1,0,bottle,,,0,1
chair,cat1,chair,0.0026352971,0.00066025957,0.0026352971,1,0,0,chair,,,1,0
chair,dog2,chair,0.04010851,0.002853453,0.04010851,1,0,0,chair,,,1,0
chair,boat1,chair,0.010604069,2.6145839e-05,0.010604069,1,0,0,chair,,,1,0
chair,airplane2,bottle,0.00043318357,8.5018626e-05,0.007024535,0,0,1,chair,,,1,0
chair,bicycle3,chair,0.012461462,4.067199e-05,0.012461462,1,0,0,chair,,,1,0
chair,bear2,chair,0.04452722,0.011634473,0.04452722,1,0,0,chair,,,1,0
chair,bear1,bear,0.0027710784,0.008723805,0.008723805,0,1,0,bear,,,0,1
chair,elephant1,chair,0.012890182,1.4907118e-05,0.012890182,1,0,0,chair,,,1,0
chair,truck3,truck,0.00023530859,0.0017434456,0.0017434456,0,1,0,truck,,,0,1
chair,car3,car,0.0019536787,0.018392392,0.018392392,0,1,0,car,,,0,1
chair,boat2,clock,0.00066877186,0.0008781804,0.0016829864,0,0,1,boat,,,0,1
chair,oven1,chair,0.0040610083,0.00031994126,0.0040610083,1,0,0,chair,,,1,0
chair,airplane1,chair,0.0058696605,0.0002045173,0.0058696605,1,0,0,chair,,,1,0
chair,car1,bicycle,0.0021199693,0.0019730758,0.0022108261,0,0,1,chair,,,1,0
chair,keyboard2,chair,0.002966438,0.00081616425,0.002966438,1,0,0,chair,,,1,0
chair,bird1,chair,0.0006755171,4.5349545e-05,0.0006755171,1,0,0,chair,,,1,0
chair,car1,bicycle,0.0021199693,0.0019730758,0.0022108261,0,0,1,chair,,,1,0
chair,oven3,oven,9.423534e-05,0.0009870506,0.0009870506,0,1,0,oven,,,0,1
chair,car2,boat,1.6447713e-05,0.0007219762,0.0015544497,0,0,1,car,,,0,1
chair,bottle1,bottle,0.004390886,0.02443504,0.02443504,0,1,0,bottle,,,0,1
chair,bicycle3,chair,0.012461462,4.067199e-05,0.012461462,1,0,0,chair,,,1,0
chair,elephant1,chair,0.012890182,1.4907118e-05,0.012890182,1,0,0,chair,,,1,0
chair,boat1,chair,0.010604069,2.6145839e-05,0.010604069,1,0,0,chair,,,1,0
chair,bicycle1,bicycle,0.0018772241,0.004343104,0.004343104,0,1,0,bicycle,,,0,1
chair,dog1,dog,0.0002824432,0.0021702556,0.0021702556,0,1,0,dog,,,0,1
chair,boat3,chair,0.09564205,0.00013324597,0.09564205,1,0,0,chair,,,1,0
chair,bear1,bear,0.0027710784,0.008723805,0.008723805,0,1,0,bear,,,0,1
chair,keyboard2,chair,0.002966438,0.00081616425,0.002966438,1,0,0,chair,,,1,0
chair,truck3,truck,0.00023530859,0.0017434456,0.0017434456,0,1,0,truck,,,0,1
chair,clock2,chair,0.004159835,0.00023486877,0.004159835,1,0,0,chair,,,1,0
chair,airplane2,bottle,0.00043318357,8.5018626e-05,0.007024535,0,0,1,chair,,,1,0
chair,bird3,oven,0.045557242,3.1968466e-05,0.12770526,0,0,1,chair,,,1,0
chair,bottle3,bottle,0.0010831069,0.075724125,0.075724125,0,1,0,bottle,,,0,1
chair,elephant1,chair,0.012890182,1.4907118e-05,0.012890182,1,0,0,chair,,,1,0
chair,knife2,chair,0.026719883,0.0014183652,0.026719883,1,0,0,chair,,,1,0
chair,truck2,boat,0.0010534743,0.017308455,0.018042952,0,0,1,truck,,,0,1
chair,bird2,chair,0.05027794,0.0007806746,0.05027794,1,0,0,chair,,,1,0
chair,bottle3,bottle,0.0010831069,0.075724125,0.075724125,0,1,0,bottle,,,0,1
chair,truck3,truck,0.00023530859,0.0017434456,0.0017434456,0,1,0,truck,,,0,1
chair,elephant2,chair,0.095334016,0.0018723169,0.095334016,1,0,0,chair,,,1,0
chair,airplane1,chair,0.0058696605,0.0002045173,0.0058696605,1,0,0,chair,,,1,0
chair,clock3,knife,0.00020666108,4.962957e-05,0.004980929,0,0,1,chair,,,1,0
chair,knife1,chair,0.0094581675,0.005653961,0.0094581675,1,0,0,chair,,,1,0
chair,cat1,chair,0.0026352971,0.00066025957,0.0026352971,1,0,0,chair,,,1,0
chair,keyboard2,chair,0.002966438,0.00081616425,0.002966438,1,0,0,chair,,,1,0
chair,bicycle1,bicycle,0.0018772241,0.004343104,0.004343104,0,1,0,bicycle,,,0,1
chair,dog1,dog,0.0002824432,0.0021702556,0.0021702556,0,1,0,dog,,,0,1
chair,oven2,chair,0.02115292,0.012755818,0.02115292,1,0,0,chair,,,1,0
chair,clock1,chair,0.009629506,0.0054402337,0.009629506,1,0,0,chair,,,1,0
chair,elephant1,chair,0.012890182,1.4907118e-05,0.012890182,1,0,0,chair,,,1,0
chair,bird1,chair,0.0006755171,4.5349545e-05,0.0006755171,1,0,0,chair,,,1,0
chair,knife3,knife,0.00028678778,0.003404455,0.003404455,0,1,0,knife,,,0,1
chair,bottle3,bottle,0.0010831069,0.075724125,0.075724125,0,1,0,bottle,,,0,1
chair,knife2,chair,0.026719883,0.0014183652,0.026719883,1,0,0,chair,,,1,0
chair,truck2,boat,0.0010534743,0.017308455,0.018042952,0,0,1,truck,,,0,1
