Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
bird,chair1,bird,0.005856254,0.00040716463,0.005856254,1,0,0,bird,,,1,0
bird,knife2,knife,0.0004733633,0.00861053,0.00861053,0,1,0,knife,,,0,1
bird,truck2,chair,0.00068634335,0.0019462546,0.005654975,0,0,1,truck,,,0,1
bird,bear3,bird,0.00983178,5.8941873e-07,0.00983178,1,0,0,bird,,,1,0
bird,bottle1,truck,3.79759e-05,1.8232566e-05,0.0002607506,0,0,1,bird,,,1,0
bird,chair1,bird,0.005856254,0.00040716463,0.005856254,1,0,0,bird,,,1,0
bird,airplane1,airplane,2.0390818e-05,0.00043073378,0.00043073378,0,1,0,airplane,,,0,1
bird,oven1,bottle,0.00010214286,0.0002227032,0.0019967395,0,0,1,oven,,,0,1
bird,keyboard2,bird,0.003643348,0.0005350922,0.003643348,1,0,0,bird,,,1,0
bird,boat3,boat,7.327658e-05,0.00078325515,0.00078325515,0,1,0,boat,,,0,1
bird,cat3,bird,0.010955989,0.00063419,0.010955989,1,0,0,bird,,,1,0
bird,oven3,bird,0.0017482203,0.0001287733,0.0017482203,1,0,0,bird,,,1,0
bird,boat3,boat,7.327658e-05,0.00078325515,0.00078325515,0,1,0,boat,,,0,1
bird,elephant2,elephant,0.00092419406,0.104237005,0.104237005,0,1,0,elephant,,,0,1
bird,bicycle3,bird,0.014866071,7.5185494e-06,0.014866071,1,0,0,bird,,,1,0
bird,bear3,bird,0.00983178,5.8941873e-07,0.00983178,1,0,0,bird,,,1,0
bird,clock1,knife,0.00035079877,0.005810406,0.0096253045,0,0,1,clock,,,0,1
bird,truck3,car,0.00017609174,0.00038669625,0.0013419176,0,0,1,truck,,,0,1
bird,bicycle2,bird,0.0015271569,0.000521819,0.0015271569,1,0,0,bird,,,1,0
bird,clock3,clock,3.165345e-05,0.0458511,0.0458511,0,1,0,clock,,,0,1
bird,bottle1,truck,3.79759e-05,1.8232566e-05,0.0002607506,0,0,1,bird,,,1,0
bird,cat1,bird,0.009273294,0.0011147773,0.009273294,1,0,0,bird,,,1,0
bird,keyboard2,bird,0.003643348,0.0005350922,0.003643348,1,0,0,bird,,,1,0
bird,knife2,knife,0.0004733633,0.00861053,0.00861053,0,1,0,knife,,,0,1
bird,keyboard3,airplane,0.00013022378,7.5349366e-05,0.0054784548,0,0,1,bird,,,1,0
bird,bear2,bird,0.0148169985,0.00012296904,0.0148169985,1,0,0,bird,,,1,0
bird,truck1,bottle,2.8067634e-05,5.8014964e-05,0.010239147,0,0,1,truck,,,0,1
bird,bear3,bird,0.00983178,5.8941873e-07,0.00983178,1,0,0,bird,,,1,0
bird,car3,bottle,1.3098229e-05,0.0006047927,0.0017663308,0,0,1,car,,,0,1
bird,oven1,bottle,0.00010214286,0.0002227032,0.0019967395,0,0,1,oven,,,0,1
