Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,cat7-elephant1,dot,371.6488952636719,701.6476440429688,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,cat2-elephant1,dot,371.6488952636719,677.833740234375,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,dog10-elephant1,dot,371.6488952636719,750.0816650390625,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,dog5-elephant1,dot,371.6488952636719,678.5999755859375,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,bear10-elephant1,dot,371.6488952636719,716.7371826171875,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,bear2-elephant1,dot,371.6488952636719,694.9678344726562,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,bear1-elephant1,dot,371.6488952636719,719.8038330078125,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,boat8-elephant1,dot,371.6488952636719,762.813720703125,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,oven7-elephant1,dot,371.6488952636719,621.130615234375,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,oven5-elephant1,dot,371.6488952636719,679.3108520507812,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,chair9-elephant1,dot,371.6488952636719,629.2894287109375,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,chair7-elephant1,dot,371.6488952636719,598.2872924804688,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,chair1-elephant1,dot,371.6488952636719,653.7756958007812,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,chair8-elephant1,dot,371.6488952636719,695.3599853515625,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,truck9-elephant1,dot,371.6488952636719,631.3300170898438,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,truck8-elephant1,dot,371.6488952636719,589.1577758789062,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,truck2-elephant1,dot,371.6488952636719,634.1708374023438,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,bird8-elephant1,dot,371.6488952636719,731.01904296875,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,airplane1-elephant1,dot,371.6488952636719,667.5146484375,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,airplane10-elephant1,dot,371.6488952636719,709.4695434570312,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,airplane3-elephant1,dot,371.6488952636719,703.8385620117188,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,bicycle5-elephant1,dot,371.6488952636719,601.4127197265625,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,bottle5-elephant1,dot,371.6488952636719,698.3756713867188,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,bottle2-elephant1,dot,371.6488952636719,806.1678466796875,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,keyboard2-elephant1,dot,371.6488952636719,829.8836669921875,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,keyboard6-elephant1,dot,371.6488952636719,716.3758544921875,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-keyboard3,knife1-elephant1,dot,371.6488952636719,777.2279663085938,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-bottle1,cat7-elephant1,dot,420.14959716796875,701.6476440429688,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-bottle1,cat2-elephant1,dot,420.14959716796875,677.833740234375,0,1
resnet50,airplane4-elephant1,airplane4,elephant1,airplane4-bottle1,dog10-elephant1,dot,420.14959716796875,750.0816650390625,0,1
