Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,cat7-knife2,dot,438.5436706542969,701.725830078125,0,1
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,cat5-knife2,dot,438.5436706542969,610.9127197265625,0,1
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,cat9-knife2,dot,438.5436706542969,652.9051513671875,0,1
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,car8-knife2,dot,438.5436706542969,707.9266967773438,0,1
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,car5-knife2,dot,438.5436706542969,611.6593627929688,0,1
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,dog5-knife2,dot,438.5436706542969,762.4002685546875,0,1
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,bear9-knife2,dot,438.5436706542969,760.3680419921875,0,1
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,bear10-knife2,dot,438.5436706542969,725.792236328125,0,1
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,boat6-knife2,dot,438.5436706542969,696.0333862304688,0,1
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,boat9-knife2,dot,438.5436706542969,663.7431640625,0,1
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,boat4-knife2,dot,438.5436706542969,643.4998779296875,0,1
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,boat5-knife2,dot,438.5436706542969,715.0831298828125,0,1
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,oven4-knife2,dot,438.5436706542969,689.6502685546875,0,1
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,oven8-knife2,dot,438.5436706542969,638.0023803710938,0,1
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,chair7-knife2,dot,438.5436706542969,729.5670166015625,0,1
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,chair8-knife2,dot,438.5436706542969,695.7474365234375,0,1
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,truck3-knife2,dot,438.5436706542969,652.458984375,0,1
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,truck6-knife2,dot,438.5436706542969,581.0745239257812,0,1
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,bird8-knife2,dot,438.5436706542969,629.123046875,0,1
resnet50,bear2-knife2,bear2,knife2,bear2-cat2,bird7-knife2,dot,438.5436706542969,670.3558349609375,0,1
