Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,cat7-clock3,dot,505.4153137207031,730.8710327148438,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,cat6-clock3,dot,505.4153137207031,766.5596313476562,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,boat3-clock3,dot,505.4153137207031,754.2818603515625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,boat7-clock3,dot,505.4153137207031,730.3364868164062,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,boat5-clock3,dot,505.4153137207031,752.7838134765625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,oven3-clock3,dot,505.4153137207031,714.3551025390625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,oven1-clock3,dot,505.4153137207031,748.21728515625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,chair7-clock3,dot,505.4153137207031,750.0105590820312,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,chair8-clock3,dot,505.4153137207031,691.0333251953125,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,truck1-clock3,dot,505.4153137207031,721.9663696289062,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,truck3-clock3,dot,505.4153137207031,770.5326538085938,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,bird2-clock3,dot,505.4153137207031,730.60791015625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,bird1-clock3,dot,505.4153137207031,738.534423828125,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,airplane7-clock3,dot,505.4153137207031,773.5227661132812,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,bicycle8-clock3,dot,505.4153137207031,631.8765869140625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,bicycle7-clock3,dot,505.4153137207031,661.937744140625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,bicycle1-clock3,dot,505.4153137207031,710.4044799804688,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,bicycle4-clock3,dot,505.4153137207031,758.8525390625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,bottle5-clock3,dot,505.4153137207031,680.3011474609375,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,keyboard7-clock3,dot,505.4153137207031,732.5645751953125,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,keyboard3-clock3,dot,505.4153137207031,746.7325439453125,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,knife4-clock3,dot,505.4153137207031,777.19873046875,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,elephant4-clock3,dot,505.4153137207031,736.8274536132812,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-boat2,elephant9-clock3,dot,505.4153137207031,657.6553955078125,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,cat7-clock3,dot,464.8291015625,730.8710327148438,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,cat6-clock3,dot,464.8291015625,766.5596313476562,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,boat3-clock3,dot,464.8291015625,754.2818603515625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,boat7-clock3,dot,464.8291015625,730.3364868164062,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,boat5-clock3,dot,464.8291015625,752.7838134765625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,oven3-clock3,dot,464.8291015625,714.3551025390625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,oven1-clock3,dot,464.8291015625,748.21728515625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,chair7-clock3,dot,464.8291015625,750.0105590820312,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,chair8-clock3,dot,464.8291015625,691.0333251953125,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,truck1-clock3,dot,464.8291015625,721.9663696289062,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,truck3-clock3,dot,464.8291015625,770.5326538085938,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,bird2-clock3,dot,464.8291015625,730.60791015625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,bird1-clock3,dot,464.8291015625,738.534423828125,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,airplane7-clock3,dot,464.8291015625,773.5227661132812,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,bicycle8-clock3,dot,464.8291015625,631.8765869140625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,bicycle7-clock3,dot,464.8291015625,661.937744140625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,bicycle1-clock3,dot,464.8291015625,710.4044799804688,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,bicycle4-clock3,dot,464.8291015625,758.8525390625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,bottle5-clock3,dot,464.8291015625,680.3011474609375,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,keyboard7-clock3,dot,464.8291015625,732.5645751953125,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,keyboard3-clock3,dot,464.8291015625,746.7325439453125,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,knife4-clock3,dot,464.8291015625,777.19873046875,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,elephant4-clock3,dot,464.8291015625,736.8274536132812,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-car3,elephant9-clock3,dot,464.8291015625,657.6553955078125,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,cat7-clock3,dot,313.49139404296875,730.8710327148438,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,cat6-clock3,dot,313.49139404296875,766.5596313476562,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,boat3-clock3,dot,313.49139404296875,754.2818603515625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,boat7-clock3,dot,313.49139404296875,730.3364868164062,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,boat5-clock3,dot,313.49139404296875,752.7838134765625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,oven3-clock3,dot,313.49139404296875,714.3551025390625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,oven1-clock3,dot,313.49139404296875,748.21728515625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,chair7-clock3,dot,313.49139404296875,750.0105590820312,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,chair8-clock3,dot,313.49139404296875,691.0333251953125,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,truck1-clock3,dot,313.49139404296875,721.9663696289062,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,truck3-clock3,dot,313.49139404296875,770.5326538085938,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,bird2-clock3,dot,313.49139404296875,730.60791015625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,bird1-clock3,dot,313.49139404296875,738.534423828125,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,airplane7-clock3,dot,313.49139404296875,773.5227661132812,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,bicycle8-clock3,dot,313.49139404296875,631.8765869140625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,bicycle7-clock3,dot,313.49139404296875,661.937744140625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,bicycle1-clock3,dot,313.49139404296875,710.4044799804688,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,bicycle4-clock3,dot,313.49139404296875,758.8525390625,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,bottle5-clock3,dot,313.49139404296875,680.3011474609375,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,keyboard7-clock3,dot,313.49139404296875,732.5645751953125,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,keyboard3-clock3,dot,313.49139404296875,746.7325439453125,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,knife4-clock3,dot,313.49139404296875,777.19873046875,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,elephant4-clock3,dot,313.49139404296875,736.8274536132812,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-elephant2,elephant9-clock3,dot,313.49139404296875,657.6553955078125,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-knife1,cat7-clock3,dot,569.8658447265625,730.8710327148438,0,1
resnet50,bear4-clock3,bear4,clock3,bear4-knife1,cat6-clock3,dot,569.8658447265625,766.5596313476562,0,1
