Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,cat1-bird1,dot,412.5960693359375,565.0565795898438,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,car9-bird1,dot,412.5960693359375,602.6566162109375,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,car4-bird1,dot,412.5960693359375,617.220458984375,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,dog4-bird1,dot,412.5960693359375,685.0985107421875,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,dog1-bird1,dot,412.5960693359375,648.66455078125,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,dog6-bird1,dot,412.5960693359375,629.7928466796875,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,boat2-bird1,dot,412.5960693359375,490.48052978515625,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,boat4-bird1,dot,412.5960693359375,493.3475341796875,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,boat9-bird1,dot,412.5960693359375,490.3749694824219,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,oven6-bird1,dot,412.5960693359375,585.0523681640625,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,oven5-bird1,dot,412.5960693359375,564.9381103515625,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,chair5-bird1,dot,412.5960693359375,619.8072509765625,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,chair7-bird1,dot,412.5960693359375,538.5819091796875,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,truck1-bird1,dot,412.5960693359375,570.0103759765625,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,airplane8-bird1,dot,412.5960693359375,629.250732421875,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,bicycle3-bird1,dot,412.5960693359375,662.3959350585938,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,bicycle1-bird1,dot,412.5960693359375,608.3628540039062,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,bottle3-bird1,dot,412.5960693359375,482.5760803222656,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,bottle8-bird1,dot,412.5960693359375,457.12542724609375,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,bottle6-bird1,dot,412.5960693359375,617.839111328125,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,keyboard9-bird1,dot,412.5960693359375,642.7769775390625,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,keyboard4-bird1,dot,412.5960693359375,646.7579345703125,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,clock3-bird1,dot,412.5960693359375,516.1893310546875,0,1
resnet50,bear5-bird1,bear5,bird1,bear5-bicycle3,knife6-bird1,dot,412.5960693359375,586.5419921875,0,1
