Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,boat1-oven1,boat1,oven1,boat1-keyboard3,cat4-oven1,dot,523.4617919921875,740.8948974609375,0,1
resnet50,boat1-oven1,boat1,oven1,boat1-keyboard3,cat6-oven1,dot,523.4617919921875,724.9244995117188,0,1
resnet50,boat1-oven1,boat1,oven1,boat1-keyboard3,cat1-oven1,dot,523.4617919921875,745.2484741210938,0,1
resnet50,boat1-oven1,boat1,oven1,boat1-keyboard3,dog5-oven1,dot,523.4617919921875,750.9390258789062,0,1
resnet50,boat1-oven1,boat1,oven1,boat1-keyboard3,dog4-oven1,dot,523.4617919921875,633.105712890625,0,1
resnet50,boat1-oven1,boat1,oven1,boat1-keyboard3,bear10-oven1,dot,523.4617919921875,700.5091552734375,0,1
resnet50,boat1-oven1,boat1,oven1,boat1-keyboard3,bear2-oven1,dot,523.4617919921875,679.5166625976562,0,1
resnet50,boat1-oven1,boat1,oven1,boat1-keyboard3,boat10-oven1,dot,523.4617919921875,726.896240234375,0,1
resnet50,boat1-oven1,boat1,oven1,boat1-keyboard3,boat8-oven1,dot,523.4617919921875,878.052734375,0,1
resnet50,boat1-oven1,boat1,oven1,boat1-keyboard3,chair10-oven1,dot,523.4617919921875,741.1428833007812,0,1
resnet50,boat1-oven1,boat1,oven1,boat1-keyboard3,chair8-oven1,dot,523.4617919921875,681.8683471679688,0,1
resnet50,boat1-oven1,boat1,oven1,boat1-keyboard3,bird1-oven1,dot,523.4617919921875,660.4168701171875,0,1
resnet50,boat1-oven1,boat1,oven1,boat1-keyboard3,bird6-oven1,dot,523.4617919921875,697.3225708007812,0,1
resnet50,boat1-oven1,boat1,oven1,boat1-keyboard3,bird3-oven1,dot,523.4617919921875,692.4058227539062,0,1
resnet50,boat1-oven1,boat1,oven1,boat1-keyboard3,airplane3-oven1,dot,523.4617919921875,742.8718872070312,0,1
resnet50,boat1-oven1,boat1,oven1,boat1-keyboard3,bicycle1-oven1,dot,523.4617919921875,664.2275390625,0,1
resnet50,boat1-oven1,boat1,oven1,boat1-keyboard3,bicycle7-oven1,dot,523.4617919921875,808.5438232421875,0,1
