Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,cat7-clock3,dot,323.24615478515625,795.80224609375,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,cat6-clock3,dot,323.24615478515625,842.4026489257812,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,bear4-clock3,dot,323.24615478515625,730.3364868164062,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,boat3-clock3,dot,323.24615478515625,835.316650390625,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,boat5-clock3,dot,323.24615478515625,813.7185668945312,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,oven3-clock3,dot,323.24615478515625,761.3966674804688,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,oven1-clock3,dot,323.24615478515625,839.9874267578125,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,chair7-clock3,dot,323.24615478515625,803.408935546875,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,chair8-clock3,dot,323.24615478515625,774.0979614257812,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,truck1-clock3,dot,323.24615478515625,810.0711669921875,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,truck3-clock3,dot,323.24615478515625,856.3333129882812,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,bird2-clock3,dot,323.24615478515625,794.4950561523438,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,bird1-clock3,dot,323.24615478515625,850.3223876953125,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,airplane7-clock3,dot,323.24615478515625,824.6923828125,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,bicycle8-clock3,dot,323.24615478515625,736.2427978515625,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,bicycle7-clock3,dot,323.24615478515625,764.1880493164062,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,bicycle1-clock3,dot,323.24615478515625,809.3026733398438,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,bicycle4-clock3,dot,323.24615478515625,869.805419921875,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,bottle5-clock3,dot,323.24615478515625,743.860595703125,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,keyboard7-clock3,dot,323.24615478515625,805.7735595703125,0,1
resnet50,boat7-clock3,boat7,clock3,boat7-elephant3,keyboard3-clock3,dot,323.24615478515625,808.4368896484375,0,1
