Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bottle10-bear2,bottle10,bear2,bottle10-dog1,cat5-bear2,dot,720.23046875,884.8896484375,0,1
resnet50,bottle10-bear2,bottle10,bear2,bottle10-dog1,cat3-bear2,dot,720.23046875,809.1672973632812,0,1
resnet50,bottle10-bear2,bottle10,bear2,bottle10-dog1,oven6-bear2,dot,720.23046875,928.269287109375,0,1
resnet50,bottle10-bear2,bottle10,bear2,bottle10-dog1,oven3-bear2,dot,720.23046875,922.4678344726562,0,1
resnet50,bottle10-bear2,bottle10,bear2,bottle10-dog1,oven9-bear2,dot,720.23046875,923.4866943359375,0,1
resnet50,bottle10-bear2,bottle10,bear2,bottle10-dog1,chair2-bear2,dot,720.23046875,877.08349609375,0,1
resnet50,bottle10-bear2,bottle10,bear2,bottle10-dog1,chair4-bear2,dot,720.23046875,880.8336181640625,0,1
resnet50,bottle10-bear2,bottle10,bear2,bottle10-dog1,truck7-bear2,dot,720.23046875,958.9000244140625,0,1
resnet50,bottle10-bear2,bottle10,bear2,bottle10-dog1,truck6-bear2,dot,720.23046875,871.543701171875,0,1
resnet50,bottle10-bear2,bottle10,bear2,bottle10-dog1,bird10-bear2,dot,720.23046875,884.6571044921875,0,1
resnet50,bottle10-bear2,bottle10,bear2,bottle10-dog1,airplane5-bear2,dot,720.23046875,899.572998046875,0,1
resnet50,bottle10-bear2,bottle10,bear2,bottle10-dog1,bicycle8-bear2,dot,720.23046875,789.2178344726562,0,1
resnet50,bottle10-bear2,bottle10,bear2,bottle10-dog1,bicycle7-bear2,dot,720.23046875,816.6226806640625,0,1
resnet50,bottle10-bear2,bottle10,bear2,bottle10-dog1,bottle3-bear2,dot,720.23046875,894.5404052734375,0,1
resnet50,bottle10-bear2,bottle10,bear2,bottle10-dog1,bottle6-bear2,dot,720.23046875,876.2172241210938,0,1
resnet50,bottle10-bear2,bottle10,bear2,bottle10-dog1,keyboard6-bear2,dot,720.23046875,912.3099365234375,0,1
resnet50,bottle10-bear2,bottle10,bear2,bottle10-dog1,keyboard1-bear2,dot,720.23046875,886.6538696289062,0,1
resnet50,bottle10-bear2,bottle10,bear2,bottle10-dog1,keyboard7-bear2,dot,720.23046875,864.5535278320312,0,1
