Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,car6-bear1,car6,bear1,car6-truck3,cat6-bear1,dot,537.8602294921875,899.7011108398438,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,cat10-bear1,dot,537.8602294921875,826.6788330078125,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,cat8-bear1,dot,537.8602294921875,848.4061279296875,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,car8-bear1,dot,537.8602294921875,915.1741943359375,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,car7-bear1,dot,537.8602294921875,805.5062866210938,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,dog1-bear1,dot,537.8602294921875,911.2771606445312,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,boat6-bear1,dot,537.8602294921875,908.9150390625,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,boat1-bear1,dot,537.8602294921875,893.136962890625,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,oven10-bear1,dot,537.8602294921875,834.2412109375,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,chair9-bear1,dot,537.8602294921875,968.5745849609375,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,chair8-bear1,dot,537.8602294921875,923.6873779296875,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,chair1-bear1,dot,537.8602294921875,974.6526489257812,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,truck4-bear1,dot,537.8602294921875,866.8158569335938,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,truck1-bear1,dot,537.8602294921875,903.5877075195312,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,bird1-bear1,dot,537.8602294921875,877.0585327148438,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,airplane2-bear1,dot,537.8602294921875,1008.4267578125,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,bicycle9-bear1,dot,537.8602294921875,975.2734985351562,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,bicycle5-bear1,dot,537.8602294921875,919.3062744140625,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,bicycle1-bear1,dot,537.8602294921875,892.4703369140625,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,bottle7-bear1,dot,537.8602294921875,923.7406005859375,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,bottle1-bear1,dot,537.8602294921875,866.2153930664062,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,clock1-bear1,dot,537.8602294921875,849.159912109375,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,knife4-bear1,dot,537.8602294921875,897.474853515625,0,1
resnet50,car6-bear1,car6,bear1,car6-truck3,elephant10-bear1,dot,537.8602294921875,806.1642456054688,0,1
resnet50,car6-bear1,car6,bear1,car6-bottle1,cat6-bear1,dot,609.224609375,899.7011108398438,0,1
resnet50,car6-bear1,car6,bear1,car6-bottle1,cat10-bear1,dot,609.224609375,826.6788330078125,0,1
resnet50,car6-bear1,car6,bear1,car6-bottle1,cat8-bear1,dot,609.224609375,848.4061279296875,0,1
