Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,car7-dog3,car7,dog3,car7-oven2,cat5-dog3,dot,522.9901123046875,768.227783203125,0,1
resnet50,car7-dog3,car7,dog3,car7-oven2,cat4-dog3,dot,522.9901123046875,909.2608642578125,0,1
resnet50,car7-dog3,car7,dog3,car7-oven2,cat7-dog3,dot,522.9901123046875,796.0105590820312,0,1
resnet50,car7-dog3,car7,dog3,car7-oven2,bear3-dog3,dot,522.9901123046875,915.5882568359375,0,1
resnet50,car7-dog3,car7,dog3,car7-oven2,bear7-dog3,dot,522.9901123046875,808.6447143554688,0,1
resnet50,car7-dog3,car7,dog3,car7-oven2,boat8-dog3,dot,522.9901123046875,912.72900390625,0,1
resnet50,car7-dog3,car7,dog3,car7-oven2,boat3-dog3,dot,522.9901123046875,903.7656860351562,0,1
resnet50,car7-dog3,car7,dog3,car7-oven2,oven2-dog3,dot,522.9901123046875,919.6708984375,0,1
resnet50,car7-dog3,car7,dog3,car7-oven2,oven5-dog3,dot,522.9901123046875,910.3967895507812,0,1
resnet50,car7-dog3,car7,dog3,car7-oven2,oven1-dog3,dot,522.9901123046875,875.7493286132812,0,1
resnet50,car7-dog3,car7,dog3,car7-oven2,truck5-dog3,dot,522.9901123046875,835.49365234375,0,1
resnet50,car7-dog3,car7,dog3,car7-oven2,truck3-dog3,dot,522.9901123046875,842.4012451171875,0,1
resnet50,car7-dog3,car7,dog3,car7-oven2,truck8-dog3,dot,522.9901123046875,933.80419921875,0,1
resnet50,car7-dog3,car7,dog3,car7-oven2,bird4-dog3,dot,522.9901123046875,908.3530883789062,0,1
resnet50,car7-dog3,car7,dog3,car7-oven2,airplane10-dog3,dot,522.9901123046875,963.92529296875,0,1
resnet50,car7-dog3,car7,dog3,car7-oven2,airplane5-dog3,dot,522.9901123046875,906.8156127929688,0,1
resnet50,car7-dog3,car7,dog3,car7-oven2,bicycle10-dog3,dot,522.9901123046875,888.1368408203125,0,1
resnet50,car7-dog3,car7,dog3,car7-oven2,bicycle1-dog3,dot,522.9901123046875,872.0003662109375,0,1
resnet50,car7-dog3,car7,dog3,car7-oven2,bottle6-dog3,dot,522.9901123046875,889.1705932617188,0,1
resnet50,car7-dog3,car7,dog3,car7-oven2,keyboard1-dog3,dot,522.9901123046875,1026.0908203125,0,1
