Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,cat10-oven2,dot,325.74481201171875,778.818603515625,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,car7-oven2,dot,325.74481201171875,729.9078369140625,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,car5-oven2,dot,325.74481201171875,688.785888671875,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,car4-oven2,dot,325.74481201171875,751.5693969726562,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,dog10-oven2,dot,325.74481201171875,762.0471801757812,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,dog7-oven2,dot,325.74481201171875,750.8856201171875,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,bear4-oven2,dot,325.74481201171875,796.9932861328125,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,chair4-oven2,dot,325.74481201171875,715.105712890625,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,chair5-oven2,dot,325.74481201171875,774.9449462890625,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,truck7-oven2,dot,325.74481201171875,645.6725463867188,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,truck3-oven2,dot,325.74481201171875,695.0928955078125,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,truck4-oven2,dot,325.74481201171875,734.540283203125,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,airplane10-oven2,dot,325.74481201171875,785.621826171875,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,airplane8-oven2,dot,325.74481201171875,786.9158325195312,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,airplane9-oven2,dot,325.74481201171875,723.2542724609375,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,bottle7-oven2,dot,325.74481201171875,768.4888305664062,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,bottle5-oven2,dot,325.74481201171875,758.9674072265625,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,bottle4-oven2,dot,325.74481201171875,777.959228515625,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,bottle9-oven2,dot,325.74481201171875,722.4521484375,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,keyboard4-oven2,dot,325.74481201171875,742.6163330078125,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,keyboard5-oven2,dot,325.74481201171875,719.2312622070312,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,keyboard7-oven2,dot,325.74481201171875,703.69482421875,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,clock10-oven2,dot,325.74481201171875,668.0784912109375,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,knife4-oven2,dot,325.74481201171875,790.719482421875,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,knife5-oven2,dot,325.74481201171875,732.9797973632812,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-elephant2,elephant1-oven2,dot,325.74481201171875,823.63330078125,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-truck3,cat10-oven2,dot,712.5386352539062,778.818603515625,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-truck3,car7-oven2,dot,712.5386352539062,729.9078369140625,0,1
resnet50,cat3-oven2,cat3,oven2,cat3-truck3,car5-oven2,dot,712.5386352539062,688.785888671875,1,0
resnet50,cat3-oven2,cat3,oven2,cat3-truck3,car4-oven2,dot,712.5386352539062,751.5693969726562,0,1
