Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,cat6-clock3,cat6,clock3,cat6-bear1,cat7-clock3,dot,521.6355590820312,857.8936767578125,0,1
resnet50,cat6-clock3,cat6,clock3,cat6-bear1,bear4-clock3,dot,521.6355590820312,766.5596313476562,0,1
resnet50,cat6-clock3,cat6,clock3,cat6-bear1,boat3-clock3,dot,521.6355590820312,857.8606567382812,0,1
resnet50,cat6-clock3,cat6,clock3,cat6-bear1,boat7-clock3,dot,521.6355590820312,842.4026489257812,0,1
resnet50,cat6-clock3,cat6,clock3,cat6-bear1,boat5-clock3,dot,521.6355590820312,872.683837890625,0,1
resnet50,cat6-clock3,cat6,clock3,cat6-bear1,oven3-clock3,dot,521.6355590820312,780.1383056640625,0,1
resnet50,cat6-clock3,cat6,clock3,cat6-bear1,oven1-clock3,dot,521.6355590820312,863.7249145507812,0,1
resnet50,cat6-clock3,cat6,clock3,cat6-bear1,chair7-clock3,dot,521.6355590820312,843.7510986328125,0,1
resnet50,cat6-clock3,cat6,clock3,cat6-bear1,chair8-clock3,dot,521.6355590820312,798.5262451171875,0,1
resnet50,cat6-clock3,cat6,clock3,cat6-bear1,truck1-clock3,dot,521.6355590820312,821.1437377929688,0,1
resnet50,cat6-clock3,cat6,clock3,cat6-bear1,truck3-clock3,dot,521.6355590820312,876.0938720703125,0,1
resnet50,cat6-clock3,cat6,clock3,cat6-bear1,bird2-clock3,dot,521.6355590820312,848.1888427734375,0,1
resnet50,cat6-clock3,cat6,clock3,cat6-bear1,bird1-clock3,dot,521.6355590820312,845.5787353515625,0,1
resnet50,cat6-clock3,cat6,clock3,cat6-bear1,airplane7-clock3,dot,521.6355590820312,868.8273315429688,0,1
resnet50,cat6-clock3,cat6,clock3,cat6-bear1,bicycle8-clock3,dot,521.6355590820312,731.25341796875,0,1
resnet50,cat6-clock3,cat6,clock3,cat6-bear1,bicycle7-clock3,dot,521.6355590820312,751.8125610351562,0,1
resnet50,cat6-clock3,cat6,clock3,cat6-bear1,bicycle1-clock3,dot,521.6355590820312,797.028076171875,0,1
resnet50,cat6-clock3,cat6,clock3,cat6-bear1,bicycle4-clock3,dot,521.6355590820312,870.0770263671875,0,1
resnet50,cat6-clock3,cat6,clock3,cat6-bear1,bottle5-clock3,dot,521.6355590820312,792.02734375,0,1
