Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,cat8-bird2,cat8,bird2,cat8-car2,cat10-bird2,dot,598.698974609375,687.2115478515625,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,cat4-bird2,dot,598.698974609375,648.135009765625,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,car3-bird2,dot,598.698974609375,628.963623046875,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,dog3-bird2,dot,598.698974609375,543.8680419921875,1,0
resnet50,cat8-bird2,cat8,bird2,cat8-car2,bear6-bird2,dot,598.698974609375,661.424072265625,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,bear1-bird2,dot,598.698974609375,629.57080078125,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,boat8-bird2,dot,598.698974609375,630.3723754882812,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,oven2-bird2,dot,598.698974609375,562.5784912109375,1,0
resnet50,cat8-bird2,cat8,bird2,cat8-car2,chair6-bird2,dot,598.698974609375,700.9229736328125,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,truck3-bird2,dot,598.698974609375,704.6411743164062,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,truck5-bird2,dot,598.698974609375,662.15478515625,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,truck2-bird2,dot,598.698974609375,604.8070068359375,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,truck7-bird2,dot,598.698974609375,662.4991455078125,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,airplane5-bird2,dot,598.698974609375,688.67724609375,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,bicycle8-bird2,dot,598.698974609375,571.8715209960938,1,0
resnet50,cat8-bird2,cat8,bird2,cat8-car2,keyboard1-bird2,dot,598.698974609375,701.608642578125,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,clock9-bird2,dot,598.698974609375,626.919921875,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,knife1-bird2,dot,598.698974609375,700.41259765625,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,elephant8-bird2,dot,598.698974609375,621.8998413085938,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,cat10-bird2,dot,502.04669189453125,687.2115478515625,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,cat4-bird2,dot,502.04669189453125,648.135009765625,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,car3-bird2,dot,502.04669189453125,628.963623046875,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,dog3-bird2,dot,502.04669189453125,543.8680419921875,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,bear6-bird2,dot,502.04669189453125,661.424072265625,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,bear1-bird2,dot,502.04669189453125,629.57080078125,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,boat8-bird2,dot,502.04669189453125,630.3723754882812,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,oven2-bird2,dot,502.04669189453125,562.5784912109375,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,chair6-bird2,dot,502.04669189453125,700.9229736328125,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,truck3-bird2,dot,502.04669189453125,704.6411743164062,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,truck5-bird2,dot,502.04669189453125,662.15478515625,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,truck2-bird2,dot,502.04669189453125,604.8070068359375,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,truck7-bird2,dot,502.04669189453125,662.4991455078125,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,airplane5-bird2,dot,502.04669189453125,688.67724609375,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,bicycle8-bird2,dot,502.04669189453125,571.8715209960938,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,keyboard1-bird2,dot,502.04669189453125,701.608642578125,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,clock9-bird2,dot,502.04669189453125,626.919921875,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,knife1-bird2,dot,502.04669189453125,700.41259765625,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,elephant8-bird2,dot,502.04669189453125,621.8998413085938,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bear1,cat10-bird2,dot,494.9500732421875,687.2115478515625,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bear1,cat4-bird2,dot,494.9500732421875,648.135009765625,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bear1,car3-bird2,dot,494.9500732421875,628.963623046875,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bear1,dog3-bird2,dot,494.9500732421875,543.8680419921875,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bear1,bear6-bird2,dot,494.9500732421875,661.424072265625,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bear1,bear1-bird2,dot,494.9500732421875,629.57080078125,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bear1,boat8-bird2,dot,494.9500732421875,630.3723754882812,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bear1,oven2-bird2,dot,494.9500732421875,562.5784912109375,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bear1,chair6-bird2,dot,494.9500732421875,700.9229736328125,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bear1,truck3-bird2,dot,494.9500732421875,704.6411743164062,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bear1,truck5-bird2,dot,494.9500732421875,662.15478515625,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bear1,truck2-bird2,dot,494.9500732421875,604.8070068359375,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bear1,truck7-bird2,dot,494.9500732421875,662.4991455078125,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bear1,airplane5-bird2,dot,494.9500732421875,688.67724609375,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bear1,bicycle8-bird2,dot,494.9500732421875,571.8715209960938,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bear1,keyboard1-bird2,dot,494.9500732421875,701.608642578125,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bear1,clock9-bird2,dot,494.9500732421875,626.919921875,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bear1,knife1-bird2,dot,494.9500732421875,700.41259765625,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bear1,elephant8-bird2,dot,494.9500732421875,621.8998413085938,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,cat10-bird2,cos,0.6781056523323059,0.9047867655754089,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,cat4-bird2,cos,0.6781056523323059,0.8776906728744507,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,car3-bird2,cos,0.6781056523323059,0.7863636612892151,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,dog3-bird2,cos,0.6781056523323059,0.8133430480957031,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,bear6-bird2,cos,0.6781056523323059,0.8606058359146118,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,bear1-bird2,cos,0.6781056523323059,0.8210067749023438,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,boat8-bird2,cos,0.6781056523323059,0.8411465883255005,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,oven2-bird2,cos,0.6781056523323059,0.801406741142273,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,chair6-bird2,cos,0.6781056523323059,0.832193911075592,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,truck3-bird2,cos,0.6781056523323059,0.8065500855445862,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,truck5-bird2,cos,0.6781056523323059,0.7801898121833801,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,truck2-bird2,cos,0.6781056523323059,0.7523249983787537,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,truck7-bird2,cos,0.6781056523323059,0.7930002212524414,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,airplane5-bird2,cos,0.6781056523323059,0.8241346478462219,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,bicycle8-bird2,cos,0.6781056523323059,0.7208341956138611,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,keyboard1-bird2,cos,0.6781056523323059,0.8490118384361267,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,clock9-bird2,cos,0.6781056523323059,0.741496741771698,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,knife1-bird2,cos,0.6781056523323059,0.8523487448692322,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-car2,elephant8-bird2,cos,0.6781056523323059,0.8333528637886047,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,cat10-bird2,cos,0.6740037798881531,0.9047867655754089,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,cat4-bird2,cos,0.6740037798881531,0.8776906728744507,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,car3-bird2,cos,0.6740037798881531,0.7863636612892151,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,dog3-bird2,cos,0.6740037798881531,0.8133430480957031,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,bear6-bird2,cos,0.6740037798881531,0.8606058359146118,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,bear1-bird2,cos,0.6740037798881531,0.8210067749023438,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,boat8-bird2,cos,0.6740037798881531,0.8411465883255005,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,oven2-bird2,cos,0.6740037798881531,0.801406741142273,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,chair6-bird2,cos,0.6740037798881531,0.832193911075592,0,1
resnet50,cat8-bird2,cat8,bird2,cat8-bicycle3,truck3-bird2,cos,0.6740037798881531,0.8065500855445862,0,1
