Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,cat1-chair2,dot,503.0095520019531,732.2095947265625,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,cat4-chair2,dot,503.0095520019531,691.552490234375,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,dog9-chair2,dot,503.0095520019531,698.8338012695312,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,dog7-chair2,dot,503.0095520019531,785.453857421875,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,bear3-chair2,dot,503.0095520019531,710.17919921875,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,bear1-chair2,dot,503.0095520019531,680.3179931640625,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,bear10-chair2,dot,503.0095520019531,706.8861083984375,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,boat4-chair2,dot,503.0095520019531,697.4112548828125,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,boat9-chair2,dot,503.0095520019531,698.6319580078125,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,truck7-chair2,dot,503.0095520019531,673.0096435546875,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,truck1-chair2,dot,503.0095520019531,642.1672973632812,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,truck3-chair2,dot,503.0095520019531,698.4471435546875,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,bird1-chair2,dot,503.0095520019531,788.4381103515625,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,airplane1-chair2,dot,503.0095520019531,660.3544921875,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,bicycle8-chair2,dot,503.0095520019531,731.8397216796875,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,bicycle5-chair2,dot,503.0095520019531,746.2437133789062,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,bicycle4-chair2,dot,503.0095520019531,714.5224609375,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,bottle1-chair2,dot,503.0095520019531,678.384521484375,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,bottle6-chair2,dot,503.0095520019531,724.9220581054688,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,keyboard8-chair2,dot,503.0095520019531,729.6025390625,0,1
resnet50,cat9-chair2,cat9,chair2,cat9-truck1,keyboard1-chair2,dot,503.0095520019531,715.042724609375,0,1
