Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,cat2-bottle3,dot,672.017578125,972.8248901367188,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,car10-bottle3,dot,672.017578125,1117.974365234375,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,car3-bottle3,dot,672.017578125,1081.996826171875,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,bear6-bottle3,dot,672.017578125,1140.78515625,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,oven3-bottle3,dot,672.017578125,879.9816284179688,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,oven5-bottle3,dot,672.017578125,899.7173461914062,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,chair10-bottle3,dot,672.017578125,1104.64501953125,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,chair5-bottle3,dot,672.017578125,1089.6883544921875,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,chair9-bottle3,dot,672.017578125,973.2874145507812,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,truck2-bottle3,dot,672.017578125,1041.067138671875,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,truck6-bottle3,dot,672.017578125,1139.1434326171875,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,bird9-bottle3,dot,672.017578125,958.9488525390625,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,bird6-bottle3,dot,672.017578125,1068.1385498046875,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,airplane7-bottle3,dot,672.017578125,1065.685546875,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,airplane5-bottle3,dot,672.017578125,1160.397705078125,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,bicycle5-bottle3,dot,672.017578125,1021.7752685546875,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,bicycle1-bottle3,dot,672.017578125,956.414794921875,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,clock2-bottle3,dot,672.017578125,741.4012451171875,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,clock4-bottle3,dot,672.017578125,906.3212280273438,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,knife6-bottle3,dot,672.017578125,1085.36083984375,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,knife8-bottle3,dot,672.017578125,1048.87841796875,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,knife7-bottle3,dot,672.017578125,1116.415283203125,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,elephant7-bottle3,dot,672.017578125,1108.04150390625,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-knife1,elephant2-bottle3,dot,672.017578125,1014.6710205078125,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-dog2,cat2-bottle3,dot,503.7220458984375,972.8248901367188,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-dog2,car10-bottle3,dot,503.7220458984375,1117.974365234375,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-dog2,car3-bottle3,dot,503.7220458984375,1081.996826171875,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-dog2,bear6-bottle3,dot,503.7220458984375,1140.78515625,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-dog2,oven3-bottle3,dot,503.7220458984375,879.9816284179688,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-dog2,oven5-bottle3,dot,503.7220458984375,899.7173461914062,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-dog2,chair10-bottle3,dot,503.7220458984375,1104.64501953125,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-dog2,chair5-bottle3,dot,503.7220458984375,1089.6883544921875,0,1
resnet50,chair3-bottle3,chair3,bottle3,chair3-dog2,chair9-bottle3,dot,503.7220458984375,973.2874145507812,0,1
