Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,cat3-oven2,dot,404.0129089355469,715.105712890625,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,cat10-oven2,dot,404.0129089355469,722.9115600585938,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,car7-oven2,dot,404.0129089355469,713.0625,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,car5-oven2,dot,404.0129089355469,652.2630615234375,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,car4-oven2,dot,404.0129089355469,694.6017456054688,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,dog10-oven2,dot,404.0129089355469,678.0169067382812,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,dog7-oven2,dot,404.0129089355469,707.3782958984375,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,bear4-oven2,dot,404.0129089355469,746.5230712890625,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,chair5-oven2,dot,404.0129089355469,751.2677001953125,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,truck7-oven2,dot,404.0129089355469,598.0285034179688,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,truck3-oven2,dot,404.0129089355469,673.3021240234375,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,truck4-oven2,dot,404.0129089355469,665.769287109375,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,airplane10-oven2,dot,404.0129089355469,756.6136474609375,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,airplane8-oven2,dot,404.0129089355469,788.223876953125,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,airplane9-oven2,dot,404.0129089355469,681.443603515625,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,bottle7-oven2,dot,404.0129089355469,815.0579223632812,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,bottle5-oven2,dot,404.0129089355469,750.7661743164062,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,bottle4-oven2,dot,404.0129089355469,778.2742919921875,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,bottle9-oven2,dot,404.0129089355469,752.240478515625,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,keyboard4-oven2,dot,404.0129089355469,702.488525390625,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,keyboard5-oven2,dot,404.0129089355469,671.6387939453125,0,1
resnet50,chair4-oven2,chair4,oven2,chair4-cat2,keyboard7-oven2,dot,404.0129089355469,624.409912109375,0,1
