Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,cat7-knife2,dot,525.431396484375,708.01806640625,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,cat5-knife2,dot,525.431396484375,623.03662109375,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,cat9-knife2,dot,525.431396484375,670.281005859375,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,car8-knife2,dot,525.431396484375,744.5174560546875,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,car5-knife2,dot,525.431396484375,663.8132934570312,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,dog5-knife2,dot,525.431396484375,798.11767578125,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,bear9-knife2,dot,525.431396484375,771.2781372070312,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,bear2-knife2,dot,525.431396484375,695.7474365234375,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,bear10-knife2,dot,525.431396484375,731.0482177734375,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,boat6-knife2,dot,525.431396484375,716.6851806640625,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,boat9-knife2,dot,525.431396484375,685.3871459960938,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,boat4-knife2,dot,525.431396484375,691.3089599609375,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,boat5-knife2,dot,525.431396484375,749.947998046875,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,oven4-knife2,dot,525.431396484375,762.658447265625,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,oven8-knife2,dot,525.431396484375,686.5587158203125,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,chair7-knife2,dot,525.431396484375,752.08154296875,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,truck3-knife2,dot,525.431396484375,663.8707885742188,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,truck6-knife2,dot,525.431396484375,597.2018432617188,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,bird8-knife2,dot,525.431396484375,649.3590087890625,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,bird7-knife2,dot,525.431396484375,710.9574584960938,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,bicycle2-knife2,dot,525.431396484375,756.7360229492188,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,bicycle7-knife2,dot,525.431396484375,742.4312744140625,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,keyboard5-knife2,dot,525.431396484375,648.282958984375,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,keyboard4-knife2,dot,525.431396484375,667.2713623046875,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,keyboard6-knife2,dot,525.431396484375,710.8182983398438,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,clock6-knife2,dot,525.431396484375,672.4022827148438,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,elephant6-knife2,dot,525.431396484375,677.0565795898438,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,elephant8-knife2,dot,525.431396484375,670.8765869140625,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-keyboard3,elephant7-knife2,dot,525.431396484375,703.2118530273438,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-bicycle3,cat7-knife2,dot,576.463134765625,708.01806640625,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-bicycle3,cat5-knife2,dot,576.463134765625,623.03662109375,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-bicycle3,cat9-knife2,dot,576.463134765625,670.281005859375,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-bicycle3,car8-knife2,dot,576.463134765625,744.5174560546875,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-bicycle3,car5-knife2,dot,576.463134765625,663.8132934570312,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-bicycle3,dog5-knife2,dot,576.463134765625,798.11767578125,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-bicycle3,bear9-knife2,dot,576.463134765625,771.2781372070312,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-bicycle3,bear2-knife2,dot,576.463134765625,695.7474365234375,0,1
resnet50,chair8-knife2,chair8,knife2,chair8-bicycle3,bear10-knife2,dot,576.463134765625,731.0482177734375,0,1
