Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,clock10-boat2,clock10,boat2,clock10-oven2,cat9-boat2,dot,550.823974609375,759.4576416015625,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-oven2,cat2-boat2,dot,550.823974609375,769.689697265625,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-oven2,bear4-boat2,dot,550.823974609375,791.235107421875,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-oven2,bear9-boat2,dot,550.823974609375,768.2720947265625,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-oven2,bear5-boat2,dot,550.823974609375,798.988037109375,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-oven2,bear8-boat2,dot,550.823974609375,713.0421142578125,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-oven2,oven10-boat2,dot,550.823974609375,582.6639404296875,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-oven2,oven9-boat2,dot,550.823974609375,732.5704345703125,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-oven2,chair9-boat2,dot,550.823974609375,686.1485595703125,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-oven2,truck6-boat2,dot,550.823974609375,744.1751708984375,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-oven2,bird6-boat2,dot,550.823974609375,773.4603271484375,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-oven2,airplane7-boat2,dot,550.823974609375,798.1656494140625,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-oven2,bicycle6-boat2,dot,550.823974609375,707.26513671875,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-oven2,keyboard6-boat2,dot,550.823974609375,742.5897827148438,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-oven2,keyboard10-boat2,dot,550.823974609375,711.3499145507812,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-oven2,keyboard7-boat2,dot,550.823974609375,705.2086181640625,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-oven2,keyboard9-boat2,dot,550.823974609375,818.1357421875,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-oven2,elephant1-boat2,dot,550.823974609375,794.5575561523438,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-oven2,elephant8-boat2,dot,550.823974609375,796.0985107421875,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-airplane1,cat9-boat2,dot,636.6160888671875,759.4576416015625,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-airplane1,cat2-boat2,dot,636.6160888671875,769.689697265625,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-airplane1,bear4-boat2,dot,636.6160888671875,791.235107421875,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-airplane1,bear9-boat2,dot,636.6160888671875,768.2720947265625,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-airplane1,bear5-boat2,dot,636.6160888671875,798.988037109375,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-airplane1,bear8-boat2,dot,636.6160888671875,713.0421142578125,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-airplane1,oven10-boat2,dot,636.6160888671875,582.6639404296875,1,0
resnet50,clock10-boat2,clock10,boat2,clock10-airplane1,oven9-boat2,dot,636.6160888671875,732.5704345703125,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-airplane1,chair9-boat2,dot,636.6160888671875,686.1485595703125,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-airplane1,truck6-boat2,dot,636.6160888671875,744.1751708984375,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-airplane1,bird6-boat2,dot,636.6160888671875,773.4603271484375,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-airplane1,airplane7-boat2,dot,636.6160888671875,798.1656494140625,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-airplane1,bicycle6-boat2,dot,636.6160888671875,707.26513671875,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-airplane1,keyboard6-boat2,dot,636.6160888671875,742.5897827148438,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-airplane1,keyboard10-boat2,dot,636.6160888671875,711.3499145507812,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-airplane1,keyboard7-boat2,dot,636.6160888671875,705.2086181640625,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-airplane1,keyboard9-boat2,dot,636.6160888671875,818.1357421875,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-airplane1,elephant1-boat2,dot,636.6160888671875,794.5575561523438,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-airplane1,elephant8-boat2,dot,636.6160888671875,796.0985107421875,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-knife3,cat9-boat2,dot,515.1859130859375,759.4576416015625,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-knife3,cat2-boat2,dot,515.1859130859375,769.689697265625,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-knife3,bear4-boat2,dot,515.1859130859375,791.235107421875,0,1
resnet50,clock10-boat2,clock10,boat2,clock10-knife3,bear9-boat2,dot,515.1859130859375,768.2720947265625,0,1
