Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,cat5-bear2,dot,786.0244140625,840.2572021484375,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,cat3-bear2,dot,786.0244140625,723.32470703125,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,oven6-bear2,dot,786.0244140625,901.3636474609375,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,oven3-bear2,dot,786.0244140625,870.32861328125,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,oven9-bear2,dot,786.0244140625,907.232666015625,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,chair2-bear2,dot,786.0244140625,830.2632446289062,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,chair4-bear2,dot,786.0244140625,812.2206420898438,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,truck7-bear2,dot,786.0244140625,873.3936767578125,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,truck6-bear2,dot,786.0244140625,781.3480834960938,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,bird10-bear2,dot,786.0244140625,809.6036987304688,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,airplane5-bear2,dot,786.0244140625,819.2252197265625,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,bicycle8-bear2,dot,786.0244140625,814.628662109375,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,bicycle7-bear2,dot,786.0244140625,839.4410400390625,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,bottle3-bear2,dot,786.0244140625,802.51318359375,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,bottle10-bear2,dot,786.0244140625,894.7095947265625,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,bottle6-bear2,dot,786.0244140625,817.0762939453125,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,keyboard6-bear2,dot,786.0244140625,810.3013305664062,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,keyboard1-bear2,dot,786.0244140625,798.9344482421875,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,keyboard7-bear2,dot,786.0244140625,783.2772216796875,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,keyboard9-bear2,dot,786.0244140625,801.4238891601562,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,clock2-bear2,dot,786.0244140625,879.4462280273438,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,clock8-bear2,dot,786.0244140625,900.4454956054688,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,knife2-bear2,dot,786.0244140625,733.965087890625,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,knife3-bear2,dot,786.0244140625,783.9853515625,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,elephant1-bear2,dot,786.0244140625,810.529541015625,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-bicycle1,elephant5-bear2,dot,786.0244140625,773.1732788085938,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,cat5-bear2,dot,885.6332397460938,840.2572021484375,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,cat3-bear2,dot,885.6332397460938,723.32470703125,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,oven6-bear2,dot,885.6332397460938,901.3636474609375,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,oven3-bear2,dot,885.6332397460938,870.32861328125,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,oven9-bear2,dot,885.6332397460938,907.232666015625,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,chair2-bear2,dot,885.6332397460938,830.2632446289062,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,chair4-bear2,dot,885.6332397460938,812.2206420898438,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,truck7-bear2,dot,885.6332397460938,873.3936767578125,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,truck6-bear2,dot,885.6332397460938,781.3480834960938,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,bird10-bear2,dot,885.6332397460938,809.6036987304688,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,airplane5-bear2,dot,885.6332397460938,819.2252197265625,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,bicycle8-bear2,dot,885.6332397460938,814.628662109375,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,bicycle7-bear2,dot,885.6332397460938,839.4410400390625,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,bottle3-bear2,dot,885.6332397460938,802.51318359375,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,bottle10-bear2,dot,885.6332397460938,894.7095947265625,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,bottle6-bear2,dot,885.6332397460938,817.0762939453125,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,keyboard6-bear2,dot,885.6332397460938,810.3013305664062,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,keyboard1-bear2,dot,885.6332397460938,798.9344482421875,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,keyboard7-bear2,dot,885.6332397460938,783.2772216796875,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,keyboard9-bear2,dot,885.6332397460938,801.4238891601562,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,clock2-bear2,dot,885.6332397460938,879.4462280273438,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,clock8-bear2,dot,885.6332397460938,900.4454956054688,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,knife2-bear2,dot,885.6332397460938,733.965087890625,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,knife3-bear2,dot,885.6332397460938,783.9853515625,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,elephant1-bear2,dot,885.6332397460938,810.529541015625,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-boat3,elephant5-bear2,dot,885.6332397460938,773.1732788085938,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,cat5-bear2,dot,781.42138671875,840.2572021484375,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,cat3-bear2,dot,781.42138671875,723.32470703125,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,oven6-bear2,dot,781.42138671875,901.3636474609375,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,oven3-bear2,dot,781.42138671875,870.32861328125,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,oven9-bear2,dot,781.42138671875,907.232666015625,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,chair2-bear2,dot,781.42138671875,830.2632446289062,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,chair4-bear2,dot,781.42138671875,812.2206420898438,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,truck7-bear2,dot,781.42138671875,873.3936767578125,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,truck6-bear2,dot,781.42138671875,781.3480834960938,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,bird10-bear2,dot,781.42138671875,809.6036987304688,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,airplane5-bear2,dot,781.42138671875,819.2252197265625,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,bicycle8-bear2,dot,781.42138671875,814.628662109375,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,bicycle7-bear2,dot,781.42138671875,839.4410400390625,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,bottle3-bear2,dot,781.42138671875,802.51318359375,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,bottle10-bear2,dot,781.42138671875,894.7095947265625,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,bottle6-bear2,dot,781.42138671875,817.0762939453125,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,keyboard6-bear2,dot,781.42138671875,810.3013305664062,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,keyboard1-bear2,dot,781.42138671875,798.9344482421875,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,keyboard7-bear2,dot,781.42138671875,783.2772216796875,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,keyboard9-bear2,dot,781.42138671875,801.4238891601562,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,clock2-bear2,dot,781.42138671875,879.4462280273438,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,clock8-bear2,dot,781.42138671875,900.4454956054688,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,knife2-bear2,dot,781.42138671875,733.965087890625,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,knife3-bear2,dot,781.42138671875,783.9853515625,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,elephant1-bear2,dot,781.42138671875,810.529541015625,0,1
resnet50,clock7-bear2,clock7,bear2,clock7-truck3,elephant5-bear2,dot,781.42138671875,773.1732788085938,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-cat2,cat5-bear2,dot,963.3612060546875,840.2572021484375,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-cat2,cat3-bear2,dot,963.3612060546875,723.32470703125,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-cat2,oven6-bear2,dot,963.3612060546875,901.3636474609375,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-cat2,oven3-bear2,dot,963.3612060546875,870.32861328125,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-cat2,oven9-bear2,dot,963.3612060546875,907.232666015625,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-cat2,chair2-bear2,dot,963.3612060546875,830.2632446289062,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-cat2,chair4-bear2,dot,963.3612060546875,812.2206420898438,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-cat2,truck7-bear2,dot,963.3612060546875,873.3936767578125,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-cat2,truck6-bear2,dot,963.3612060546875,781.3480834960938,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-cat2,bird10-bear2,dot,963.3612060546875,809.6036987304688,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-cat2,airplane5-bear2,dot,963.3612060546875,819.2252197265625,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-cat2,bicycle8-bear2,dot,963.3612060546875,814.628662109375,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-cat2,bicycle7-bear2,dot,963.3612060546875,839.4410400390625,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-cat2,bottle3-bear2,dot,963.3612060546875,802.51318359375,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-cat2,bottle10-bear2,dot,963.3612060546875,894.7095947265625,1,0
resnet50,clock7-bear2,clock7,bear2,clock7-cat2,bottle6-bear2,dot,963.3612060546875,817.0762939453125,1,0
