Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,car8-chair1,dot,516.7333374023438,881.9371337890625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,car10-chair1,dot,516.7333374023438,830.8857421875,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,car2-chair1,dot,516.7333374023438,912.831787109375,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,dog4-chair1,dot,516.7333374023438,861.7222290039062,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,bear6-chair1,dot,516.7333374023438,976.537353515625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,bear5-chair1,dot,516.7333374023438,782.57568359375,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,boat7-chair1,dot,516.7333374023438,936.1337890625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,oven9-chair1,dot,516.7333374023438,838.12060546875,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,oven4-chair1,dot,516.7333374023438,929.657470703125,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,oven2-chair1,dot,516.7333374023438,801.2017822265625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,oven8-chair1,dot,516.7333374023438,869.561279296875,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,truck2-chair1,dot,516.7333374023438,932.6651611328125,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,bird8-chair1,dot,516.7333374023438,938.6118774414062,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,bird5-chair1,dot,516.7333374023438,813.1461791992188,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,bird10-chair1,dot,516.7333374023438,930.0571899414062,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,bird9-chair1,dot,516.7333374023438,872.0279541015625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,airplane8-chair1,dot,516.7333374023438,910.92626953125,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,bicycle9-chair1,dot,516.7333374023438,842.262451171875,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,bicycle1-chair1,dot,516.7333374023438,949.2403564453125,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,bottle5-chair1,dot,516.7333374023438,972.3619384765625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,keyboard6-chair1,dot,516.7333374023438,912.9852294921875,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,clock4-chair1,dot,516.7333374023438,903.64892578125,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,knife10-chair1,dot,516.7333374023438,835.3560791015625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,knife1-chair1,dot,516.7333374023438,918.4384765625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,knife9-chair1,dot,516.7333374023438,930.7581787109375,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,elephant1-chair1,dot,516.7333374023438,860.515869140625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-airplane1,elephant3-chair1,dot,516.7333374023438,937.2156982421875,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,car8-chair1,dot,639.0737915039062,881.9371337890625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,car10-chair1,dot,639.0737915039062,830.8857421875,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,car2-chair1,dot,639.0737915039062,912.831787109375,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,dog4-chair1,dot,639.0737915039062,861.7222290039062,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,bear6-chair1,dot,639.0737915039062,976.537353515625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,bear5-chair1,dot,639.0737915039062,782.57568359375,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,boat7-chair1,dot,639.0737915039062,936.1337890625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,oven9-chair1,dot,639.0737915039062,838.12060546875,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,oven4-chair1,dot,639.0737915039062,929.657470703125,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,oven2-chair1,dot,639.0737915039062,801.2017822265625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,oven8-chair1,dot,639.0737915039062,869.561279296875,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,truck2-chair1,dot,639.0737915039062,932.6651611328125,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,bird8-chair1,dot,639.0737915039062,938.6118774414062,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,bird5-chair1,dot,639.0737915039062,813.1461791992188,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,bird10-chair1,dot,639.0737915039062,930.0571899414062,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,bird9-chair1,dot,639.0737915039062,872.0279541015625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,airplane8-chair1,dot,639.0737915039062,910.92626953125,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,bicycle9-chair1,dot,639.0737915039062,842.262451171875,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,bicycle1-chair1,dot,639.0737915039062,949.2403564453125,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,bottle5-chair1,dot,639.0737915039062,972.3619384765625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,keyboard6-chair1,dot,639.0737915039062,912.9852294921875,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,clock4-chair1,dot,639.0737915039062,903.64892578125,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,knife10-chair1,dot,639.0737915039062,835.3560791015625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,knife1-chair1,dot,639.0737915039062,918.4384765625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,knife9-chair1,dot,639.0737915039062,930.7581787109375,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,elephant1-chair1,dot,639.0737915039062,860.515869140625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-car3,elephant3-chair1,dot,639.0737915039062,937.2156982421875,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,car8-chair1,dot,614.7501220703125,881.9371337890625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,car10-chair1,dot,614.7501220703125,830.8857421875,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,car2-chair1,dot,614.7501220703125,912.831787109375,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,dog4-chair1,dot,614.7501220703125,861.7222290039062,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,bear6-chair1,dot,614.7501220703125,976.537353515625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,bear5-chair1,dot,614.7501220703125,782.57568359375,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,boat7-chair1,dot,614.7501220703125,936.1337890625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,oven9-chair1,dot,614.7501220703125,838.12060546875,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,oven4-chair1,dot,614.7501220703125,929.657470703125,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,oven2-chair1,dot,614.7501220703125,801.2017822265625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,oven8-chair1,dot,614.7501220703125,869.561279296875,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,truck2-chair1,dot,614.7501220703125,932.6651611328125,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,bird8-chair1,dot,614.7501220703125,938.6118774414062,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,bird5-chair1,dot,614.7501220703125,813.1461791992188,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,bird10-chair1,dot,614.7501220703125,930.0571899414062,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,bird9-chair1,dot,614.7501220703125,872.0279541015625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,airplane8-chair1,dot,614.7501220703125,910.92626953125,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,bicycle9-chair1,dot,614.7501220703125,842.262451171875,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,bicycle1-chair1,dot,614.7501220703125,949.2403564453125,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,bottle5-chair1,dot,614.7501220703125,972.3619384765625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,keyboard6-chair1,dot,614.7501220703125,912.9852294921875,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,clock4-chair1,dot,614.7501220703125,903.64892578125,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,knife10-chair1,dot,614.7501220703125,835.3560791015625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,knife1-chair1,dot,614.7501220703125,918.4384765625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,knife9-chair1,dot,614.7501220703125,930.7581787109375,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,elephant1-chair1,dot,614.7501220703125,860.515869140625,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-oven2,elephant3-chair1,dot,614.7501220703125,937.2156982421875,0,1
resnet50,dog1-chair1,dog1,chair1,dog10-clock1,car8-chair1,dot,535.591064453125,881.9371337890625,0,1
