Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,cat4-airplane1,dot,527.3262939453125,787.4678344726562,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,cat1-airplane1,dot,527.3262939453125,797.2890014648438,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,car1-airplane1,dot,527.3262939453125,787.4677734375,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,bear3-airplane1,dot,527.3262939453125,910.8639526367188,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,bear8-airplane1,dot,527.3262939453125,920.12548828125,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,bear2-airplane1,dot,527.3262939453125,842.6962280273438,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,boat2-airplane1,dot,527.3262939453125,731.658447265625,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,boat5-airplane1,dot,527.3262939453125,812.8486328125,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,oven3-airplane1,dot,527.3262939453125,860.4779052734375,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,oven5-airplane1,dot,527.3262939453125,919.6635131835938,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,chair7-airplane1,dot,527.3262939453125,853.8681030273438,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,chair8-airplane1,dot,527.3262939453125,881.8960571289062,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,truck10-airplane1,dot,527.3262939453125,753.7014770507812,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,bird4-airplane1,dot,527.3262939453125,861.9288330078125,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,bicycle4-airplane1,dot,527.3262939453125,857.55224609375,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,bottle4-airplane1,dot,527.3262939453125,845.7857666015625,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,bottle6-airplane1,dot,527.3262939453125,799.2388305664062,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,bottle5-airplane1,dot,527.3262939453125,837.5565185546875,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,clock4-airplane1,dot,527.3262939453125,715.5360107421875,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,clock9-airplane1,dot,527.3262939453125,696.4721069335938,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,clock10-airplane1,dot,527.3262939453125,702.2835083007812,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,clock5-airplane1,dot,527.3262939453125,606.282958984375,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,knife6-airplane1,dot,527.3262939453125,812.95166015625,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-car3,knife1-airplane1,dot,527.3262939453125,816.3687744140625,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,cat4-airplane1,dot,566.52490234375,787.4678344726562,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,cat1-airplane1,dot,566.52490234375,797.2890014648438,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,car1-airplane1,dot,566.52490234375,787.4677734375,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,bear3-airplane1,dot,566.52490234375,910.8639526367188,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,bear8-airplane1,dot,566.52490234375,920.12548828125,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,bear2-airplane1,dot,566.52490234375,842.6962280273438,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,boat2-airplane1,dot,566.52490234375,731.658447265625,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,boat5-airplane1,dot,566.52490234375,812.8486328125,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,oven3-airplane1,dot,566.52490234375,860.4779052734375,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,oven5-airplane1,dot,566.52490234375,919.6635131835938,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,chair7-airplane1,dot,566.52490234375,853.8681030273438,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,chair8-airplane1,dot,566.52490234375,881.8960571289062,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,truck10-airplane1,dot,566.52490234375,753.7014770507812,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,bird4-airplane1,dot,566.52490234375,861.9288330078125,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,bicycle4-airplane1,dot,566.52490234375,857.55224609375,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,bottle4-airplane1,dot,566.52490234375,845.7857666015625,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,bottle6-airplane1,dot,566.52490234375,799.2388305664062,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,bottle5-airplane1,dot,566.52490234375,837.5565185546875,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,clock4-airplane1,dot,566.52490234375,715.5360107421875,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,clock9-airplane1,dot,566.52490234375,696.4721069335938,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,clock10-airplane1,dot,566.52490234375,702.2835083007812,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,clock5-airplane1,dot,566.52490234375,606.282958984375,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,knife6-airplane1,dot,566.52490234375,812.95166015625,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-oven2,knife1-airplane1,dot,566.52490234375,816.3687744140625,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,cat4-airplane1,dot,642.1185302734375,787.4678344726562,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,cat1-airplane1,dot,642.1185302734375,797.2890014648438,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,car1-airplane1,dot,642.1185302734375,787.4677734375,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,bear3-airplane1,dot,642.1185302734375,910.8639526367188,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,bear8-airplane1,dot,642.1185302734375,920.12548828125,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,bear2-airplane1,dot,642.1185302734375,842.6962280273438,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,boat2-airplane1,dot,642.1185302734375,731.658447265625,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,boat5-airplane1,dot,642.1185302734375,812.8486328125,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,oven3-airplane1,dot,642.1185302734375,860.4779052734375,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,oven5-airplane1,dot,642.1185302734375,919.6635131835938,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,chair7-airplane1,dot,642.1185302734375,853.8681030273438,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,chair8-airplane1,dot,642.1185302734375,881.8960571289062,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,truck10-airplane1,dot,642.1185302734375,753.7014770507812,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,bird4-airplane1,dot,642.1185302734375,861.9288330078125,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,bicycle4-airplane1,dot,642.1185302734375,857.55224609375,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,bottle4-airplane1,dot,642.1185302734375,845.7857666015625,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,bottle6-airplane1,dot,642.1185302734375,799.2388305664062,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,bottle5-airplane1,dot,642.1185302734375,837.5565185546875,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,clock4-airplane1,dot,642.1185302734375,715.5360107421875,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,clock9-airplane1,dot,642.1185302734375,696.4721069335938,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,clock10-airplane1,dot,642.1185302734375,702.2835083007812,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,clock5-airplane1,dot,642.1185302734375,606.282958984375,1,0
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,knife6-airplane1,dot,642.1185302734375,812.95166015625,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-clock1,knife1-airplane1,dot,642.1185302734375,816.3687744140625,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,cat4-airplane1,dot,651.4613647460938,787.4678344726562,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,cat1-airplane1,dot,651.4613647460938,797.2890014648438,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,car1-airplane1,dot,651.4613647460938,787.4677734375,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,bear3-airplane1,dot,651.4613647460938,910.8639526367188,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,bear8-airplane1,dot,651.4613647460938,920.12548828125,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,bear2-airplane1,dot,651.4613647460938,842.6962280273438,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,boat2-airplane1,dot,651.4613647460938,731.658447265625,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,boat5-airplane1,dot,651.4613647460938,812.8486328125,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,oven3-airplane1,dot,651.4613647460938,860.4779052734375,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,oven5-airplane1,dot,651.4613647460938,919.6635131835938,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,chair7-airplane1,dot,651.4613647460938,853.8681030273438,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,chair8-airplane1,dot,651.4613647460938,881.8960571289062,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,truck10-airplane1,dot,651.4613647460938,753.7014770507812,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,bird4-airplane1,dot,651.4613647460938,861.9288330078125,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,bicycle4-airplane1,dot,651.4613647460938,857.55224609375,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,bottle4-airplane1,dot,651.4613647460938,845.7857666015625,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,bottle6-airplane1,dot,651.4613647460938,799.2388305664062,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,bottle5-airplane1,dot,651.4613647460938,837.5565185546875,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,clock4-airplane1,dot,651.4613647460938,715.5360107421875,0,1
resnet50,dog10-airplane1,dog10,airplane1,dog10-bottle1,clock9-airplane1,dot,651.4613647460938,696.4721069335938,0,1
