Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,cat4-keyboard2,dot,732.8890380859375,949.9622802734375,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,car1-keyboard2,dot,732.8890380859375,788.8045043945312,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,car10-keyboard2,dot,732.8890380859375,792.37890625,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,car9-keyboard2,dot,732.8890380859375,767.521240234375,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,dog10-keyboard2,dot,732.8890380859375,850.9864501953125,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,bear2-keyboard2,dot,732.8890380859375,837.010986328125,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,bear3-keyboard2,dot,732.8890380859375,846.8787841796875,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,boat9-keyboard2,dot,732.8890380859375,818.9842529296875,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,boat3-keyboard2,dot,732.8890380859375,860.833740234375,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,oven5-keyboard2,dot,732.8890380859375,759.5286865234375,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,chair5-keyboard2,dot,732.8890380859375,827.2413330078125,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,chair2-keyboard2,dot,732.8890380859375,780.5121459960938,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,chair4-keyboard2,dot,732.8890380859375,802.1071166992188,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,chair9-keyboard2,dot,732.8890380859375,815.861083984375,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,truck8-keyboard2,dot,732.8890380859375,805.5474853515625,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,bird8-keyboard2,dot,732.8890380859375,785.75146484375,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,bird5-keyboard2,dot,732.8890380859375,851.7974853515625,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,airplane3-keyboard2,dot,732.8890380859375,833.1259765625,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,airplane9-keyboard2,dot,732.8890380859375,797.2828979492188,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,bicycle2-keyboard2,dot,732.8890380859375,829.875,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,bottle5-keyboard2,dot,732.8890380859375,953.0192260742188,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,bottle7-keyboard2,dot,732.8890380859375,921.4036865234375,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,clock7-keyboard2,dot,732.8890380859375,867.513427734375,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,clock9-keyboard2,dot,732.8890380859375,724.7488403320312,1,0
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-bicycle1,elephant3-keyboard2,dot,732.8890380859375,777.6079711914062,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-cat3,cat4-keyboard2,dot,649.7705688476562,949.9622802734375,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-cat3,car1-keyboard2,dot,649.7705688476562,788.8045043945312,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-cat3,car10-keyboard2,dot,649.7705688476562,792.37890625,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-cat3,car9-keyboard2,dot,649.7705688476562,767.521240234375,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-cat3,dog10-keyboard2,dot,649.7705688476562,850.9864501953125,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-cat3,bear2-keyboard2,dot,649.7705688476562,837.010986328125,0,1
resnet50,dog4-keyboard2,dog4,keyboard2,dog4-cat3,bear3-keyboard2,dot,649.7705688476562,846.8787841796875,0,1
