Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,cat1-bird1,dot,438.7568359375,608.6701049804688,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,car9-bird1,dot,438.7568359375,662.875244140625,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,car4-bird1,dot,438.7568359375,674.107177734375,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,dog4-bird1,dot,438.7568359375,781.9284057617188,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,dog1-bird1,dot,438.7568359375,697.4862060546875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,bear5-bird1,dot,438.7568359375,629.7928466796875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,boat2-bird1,dot,438.7568359375,556.79833984375,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,boat4-bird1,dot,438.7568359375,538.037841796875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,boat9-bird1,dot,438.7568359375,528.2158203125,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,oven6-bird1,dot,438.7568359375,642.1901245117188,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,oven5-bird1,dot,438.7568359375,620.1915283203125,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,chair5-bird1,dot,438.7568359375,702.205810546875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,chair7-bird1,dot,438.7568359375,584.042724609375,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,truck1-bird1,dot,438.7568359375,617.01513671875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,airplane8-bird1,dot,438.7568359375,699.0244140625,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,bicycle3-bird1,dot,438.7568359375,736.1781005859375,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,bicycle1-bird1,dot,438.7568359375,683.576904296875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,bottle3-bird1,dot,438.7568359375,550.510498046875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,bottle8-bird1,dot,438.7568359375,522.2889404296875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,bottle6-bird1,dot,438.7568359375,688.7190551757812,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,keyboard9-bird1,dot,438.7568359375,700.9627685546875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,keyboard4-bird1,dot,438.7568359375,699.2734375,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,clock3-bird1,dot,438.7568359375,560.1762084960938,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,knife6-bird1,dot,438.7568359375,636.9296264648438,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,knife9-bird1,dot,438.7568359375,623.4617919921875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,knife2-bird1,dot,438.7568359375,653.3939819335938,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,elephant6-bird1,dot,438.7568359375,608.5511474609375,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,elephant7-bird1,dot,438.7568359375,652.4976806640625,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,elephant4-bird1,dot,438.7568359375,625.666259765625,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-clock1,elephant2-bird1,dot,438.7568359375,548.6805419921875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,cat1-bird1,dot,503.4557800292969,608.6701049804688,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,car9-bird1,dot,503.4557800292969,662.875244140625,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,car4-bird1,dot,503.4557800292969,674.107177734375,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,dog4-bird1,dot,503.4557800292969,781.9284057617188,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,dog1-bird1,dot,503.4557800292969,697.4862060546875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,bear5-bird1,dot,503.4557800292969,629.7928466796875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,boat2-bird1,dot,503.4557800292969,556.79833984375,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,boat4-bird1,dot,503.4557800292969,538.037841796875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,boat9-bird1,dot,503.4557800292969,528.2158203125,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,oven6-bird1,dot,503.4557800292969,642.1901245117188,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,oven5-bird1,dot,503.4557800292969,620.1915283203125,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,chair5-bird1,dot,503.4557800292969,702.205810546875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,chair7-bird1,dot,503.4557800292969,584.042724609375,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,truck1-bird1,dot,503.4557800292969,617.01513671875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,airplane8-bird1,dot,503.4557800292969,699.0244140625,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,bicycle3-bird1,dot,503.4557800292969,736.1781005859375,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,bicycle1-bird1,dot,503.4557800292969,683.576904296875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,bottle3-bird1,dot,503.4557800292969,550.510498046875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,bottle8-bird1,dot,503.4557800292969,522.2889404296875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,bottle6-bird1,dot,503.4557800292969,688.7190551757812,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,keyboard9-bird1,dot,503.4557800292969,700.9627685546875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,keyboard4-bird1,dot,503.4557800292969,699.2734375,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,clock3-bird1,dot,503.4557800292969,560.1762084960938,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,knife6-bird1,dot,503.4557800292969,636.9296264648438,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,knife9-bird1,dot,503.4557800292969,623.4617919921875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,knife2-bird1,dot,503.4557800292969,653.3939819335938,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,elephant6-bird1,dot,503.4557800292969,608.5511474609375,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,elephant7-bird1,dot,503.4557800292969,652.4976806640625,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,elephant4-bird1,dot,503.4557800292969,625.666259765625,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-cat1,elephant2-bird1,dot,503.4557800292969,548.6805419921875,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-bicycle1,cat1-bird1,dot,446.3297119140625,608.6701049804688,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-bicycle1,car9-bird1,dot,446.3297119140625,662.875244140625,0,1
resnet50,dog6-bird1,dog6,bird1,dog6-bicycle1,car4-bird1,dot,446.3297119140625,674.107177734375,0,1
