Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,cat1-dog1,dot,440.119140625,818.7691650390625,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,car8-dog1,dot,440.119140625,797.9610595703125,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,car10-dog1,dot,440.119140625,747.4537963867188,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,bear2-dog1,dot,440.119140625,941.99560546875,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,bear8-dog1,dot,440.119140625,864.7258911132812,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,bear9-dog1,dot,440.119140625,878.9122314453125,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,boat6-dog1,dot,440.119140625,846.9034423828125,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,oven4-dog1,dot,440.119140625,907.291748046875,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,chair10-dog1,dot,440.119140625,873.2048950195312,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,chair1-dog1,dot,440.119140625,830.394287109375,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,chair6-dog1,dot,440.119140625,862.1761474609375,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,truck1-dog1,dot,440.119140625,783.3296508789062,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,bird3-dog1,dot,440.119140625,898.586669921875,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,airplane2-dog1,dot,440.119140625,802.2882080078125,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,airplane3-dog1,dot,440.119140625,796.8607177734375,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,bicycle2-dog1,dot,440.119140625,832.96484375,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,bottle10-dog1,dot,440.119140625,854.869384765625,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,keyboard7-dog1,dot,440.119140625,881.04296875,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,clock2-dog1,dot,440.119140625,756.6195068359375,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,knife1-dog1,dot,440.119140625,796.218017578125,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,knife5-dog1,dot,440.119140625,793.891357421875,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,knife10-dog1,dot,440.119140625,698.0233154296875,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,knife2-dog1,dot,440.119140625,867.1776123046875,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-bicycle3,elephant7-dog1,dot,440.119140625,794.7573852539062,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-truck3,cat1-dog1,dot,519.0684204101562,818.7691650390625,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-truck3,car8-dog1,dot,519.0684204101562,797.9610595703125,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-truck3,car10-dog1,dot,519.0684204101562,747.4537963867188,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-truck3,bear2-dog1,dot,519.0684204101562,941.99560546875,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-truck3,bear8-dog1,dot,519.0684204101562,864.7258911132812,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-truck3,bear9-dog1,dot,519.0684204101562,878.9122314453125,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-truck3,boat6-dog1,dot,519.0684204101562,846.9034423828125,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-truck3,oven4-dog1,dot,519.0684204101562,907.291748046875,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-truck3,chair10-dog1,dot,519.0684204101562,873.2048950195312,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-truck3,chair1-dog1,dot,519.0684204101562,830.394287109375,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-truck3,chair6-dog1,dot,519.0684204101562,862.1761474609375,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-truck3,truck1-dog1,dot,519.0684204101562,783.3296508789062,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-truck3,bird3-dog1,dot,519.0684204101562,898.586669921875,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-truck3,airplane2-dog1,dot,519.0684204101562,802.2882080078125,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-truck3,airplane3-dog1,dot,519.0684204101562,796.8607177734375,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-truck3,bicycle2-dog1,dot,519.0684204101562,832.96484375,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-truck3,bottle10-dog1,dot,519.0684204101562,854.869384765625,0,1
resnet50,elephant8-dog1,elephant8,dog1,elephant8-truck3,keyboard7-dog1,dot,519.0684204101562,881.04296875,0,1
