Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,cat7-boat3,dot,705.8994140625,912.048583984375,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,car8-boat3,dot,705.8994140625,790.7914428710938,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,car7-boat3,dot,705.8994140625,759.6370239257812,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,dog8-boat3,dot,705.8994140625,792.7156982421875,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,dog5-boat3,dot,705.8994140625,862.2553100585938,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,dog1-boat3,dot,705.8994140625,852.7059326171875,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,bear6-boat3,dot,705.8994140625,859.4509887695312,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,oven1-boat3,dot,705.8994140625,742.0946044921875,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,oven3-boat3,dot,705.8994140625,747.1700439453125,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,oven2-boat3,dot,705.8994140625,757.037109375,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,chair5-boat3,dot,705.8994140625,885.1814575195312,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,chair7-boat3,dot,705.8994140625,843.2418212890625,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,truck4-boat3,dot,705.8994140625,831.5075073242188,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,truck9-boat3,dot,705.8994140625,727.10546875,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,truck2-boat3,dot,705.8994140625,764.2137451171875,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,bird3-boat3,dot,705.8994140625,865.3896484375,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,bird8-boat3,dot,705.8994140625,836.632568359375,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,airplane10-boat3,dot,705.8994140625,876.4365234375,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,airplane5-boat3,dot,705.8994140625,889.3452758789062,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,airplane4-boat3,dot,705.8994140625,919.9393920898438,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,bicycle10-boat3,dot,705.8994140625,793.260986328125,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,bicycle1-boat3,dot,705.8994140625,871.4096069335938,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,bottle3-boat3,dot,705.8994140625,794.8030395507812,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,bottle7-boat3,dot,705.8994140625,782.852294921875,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,bottle10-boat3,dot,705.8994140625,824.5094604492188,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,bottle6-boat3,dot,705.8994140625,854.740478515625,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,clock7-boat3,dot,705.8994140625,794.0914306640625,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,clock1-boat3,dot,705.8994140625,866.3807373046875,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,clock4-boat3,dot,705.8994140625,850.2392578125,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,knife6-boat3,dot,705.8994140625,881.6572265625,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,knife7-boat3,dot,705.8994140625,856.6491088867188,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-chair2,elephant4-boat3,dot,705.8994140625,887.5620727539062,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,cat7-boat3,dot,744.573974609375,912.048583984375,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,car8-boat3,dot,744.573974609375,790.7914428710938,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,car7-boat3,dot,744.573974609375,759.6370239257812,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,dog8-boat3,dot,744.573974609375,792.7156982421875,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,dog5-boat3,dot,744.573974609375,862.2553100585938,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,dog1-boat3,dot,744.573974609375,852.7059326171875,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,bear6-boat3,dot,744.573974609375,859.4509887695312,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,oven1-boat3,dot,744.573974609375,742.0946044921875,1,0
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,oven3-boat3,dot,744.573974609375,747.1700439453125,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,oven2-boat3,dot,744.573974609375,757.037109375,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,chair5-boat3,dot,744.573974609375,885.1814575195312,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,chair7-boat3,dot,744.573974609375,843.2418212890625,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,truck4-boat3,dot,744.573974609375,831.5075073242188,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,truck9-boat3,dot,744.573974609375,727.10546875,1,0
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,truck2-boat3,dot,744.573974609375,764.2137451171875,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,bird3-boat3,dot,744.573974609375,865.3896484375,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,bird8-boat3,dot,744.573974609375,836.632568359375,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,airplane10-boat3,dot,744.573974609375,876.4365234375,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,airplane5-boat3,dot,744.573974609375,889.3452758789062,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,airplane4-boat3,dot,744.573974609375,919.9393920898438,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,bicycle10-boat3,dot,744.573974609375,793.260986328125,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,bicycle1-boat3,dot,744.573974609375,871.4096069335938,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,bottle3-boat3,dot,744.573974609375,794.8030395507812,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,bottle7-boat3,dot,744.573974609375,782.852294921875,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,bottle10-boat3,dot,744.573974609375,824.5094604492188,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,bottle6-boat3,dot,744.573974609375,854.740478515625,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,clock7-boat3,dot,744.573974609375,794.0914306640625,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,clock1-boat3,dot,744.573974609375,866.3807373046875,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,clock4-boat3,dot,744.573974609375,850.2392578125,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,knife6-boat3,dot,744.573974609375,881.6572265625,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,knife7-boat3,dot,744.573974609375,856.6491088867188,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-bicycle2,elephant4-boat3,dot,744.573974609375,887.5620727539062,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,cat7-boat3,dot,630.5211791992188,912.048583984375,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,car8-boat3,dot,630.5211791992188,790.7914428710938,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,car7-boat3,dot,630.5211791992188,759.6370239257812,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,dog8-boat3,dot,630.5211791992188,792.7156982421875,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,dog5-boat3,dot,630.5211791992188,862.2553100585938,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,dog1-boat3,dot,630.5211791992188,852.7059326171875,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,bear6-boat3,dot,630.5211791992188,859.4509887695312,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,oven1-boat3,dot,630.5211791992188,742.0946044921875,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,oven3-boat3,dot,630.5211791992188,747.1700439453125,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,oven2-boat3,dot,630.5211791992188,757.037109375,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,chair5-boat3,dot,630.5211791992188,885.1814575195312,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,chair7-boat3,dot,630.5211791992188,843.2418212890625,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,truck4-boat3,dot,630.5211791992188,831.5075073242188,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,truck9-boat3,dot,630.5211791992188,727.10546875,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,truck2-boat3,dot,630.5211791992188,764.2137451171875,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,bird3-boat3,dot,630.5211791992188,865.3896484375,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,bird8-boat3,dot,630.5211791992188,836.632568359375,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,airplane10-boat3,dot,630.5211791992188,876.4365234375,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,airplane5-boat3,dot,630.5211791992188,889.3452758789062,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,airplane4-boat3,dot,630.5211791992188,919.9393920898438,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,bicycle10-boat3,dot,630.5211791992188,793.260986328125,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,bicycle1-boat3,dot,630.5211791992188,871.4096069335938,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,bottle3-boat3,dot,630.5211791992188,794.8030395507812,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,bottle7-boat3,dot,630.5211791992188,782.852294921875,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,bottle10-boat3,dot,630.5211791992188,824.5094604492188,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,bottle6-boat3,dot,630.5211791992188,854.740478515625,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,clock7-boat3,dot,630.5211791992188,794.0914306640625,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,clock1-boat3,dot,630.5211791992188,866.3807373046875,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,clock4-boat3,dot,630.5211791992188,850.2392578125,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,knife6-boat3,dot,630.5211791992188,881.6572265625,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,knife7-boat3,dot,630.5211791992188,856.6491088867188,0,1
resnet50,elephant9-boat3,elephant9,boat3,elephant9-airplane2,elephant4-boat3,dot,630.5211791992188,887.5620727539062,0,1
