Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,cat4-knife1,dot,650.8905029296875,707.6951293945312,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,car9-knife1,dot,650.8905029296875,632.4615478515625,1,0
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,car6-knife1,dot,650.8905029296875,618.6944580078125,1,0
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,bear4-knife1,dot,650.8905029296875,779.0068359375,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,boat8-knife1,dot,650.8905029296875,682.3890380859375,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,oven3-knife1,dot,650.8905029296875,701.8944091796875,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,chair3-knife1,dot,650.8905029296875,756.1685791015625,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,chair2-knife1,dot,650.8905029296875,745.187744140625,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,truck1-knife1,dot,650.8905029296875,663.868896484375,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,truck4-knife1,dot,650.8905029296875,697.9686279296875,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,bird2-knife1,dot,650.8905029296875,712.0745849609375,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,airplane5-knife1,dot,650.8905029296875,776.1751708984375,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,airplane6-knife1,dot,650.8905029296875,722.648193359375,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,airplane4-knife1,dot,650.8905029296875,758.5875244140625,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,bottle8-knife1,dot,650.8905029296875,724.5511474609375,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,bottle5-knife1,dot,650.8905029296875,762.7840576171875,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,keyboard7-knife1,dot,650.8905029296875,678.0281982421875,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,clock4-knife1,dot,650.8905029296875,658.716796875,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,clock2-knife1,dot,650.8905029296875,641.5380859375,1,0
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,clock8-knife1,dot,650.8905029296875,617.77685546875,1,0
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bottle1,elephant3-knife1,dot,650.8905029296875,774.4061279296875,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,cat4-knife1,dot,532.7454833984375,707.6951293945312,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,car9-knife1,dot,532.7454833984375,632.4615478515625,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,car6-knife1,dot,532.7454833984375,618.6944580078125,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,bear4-knife1,dot,532.7454833984375,779.0068359375,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,boat8-knife1,dot,532.7454833984375,682.3890380859375,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,oven3-knife1,dot,532.7454833984375,701.8944091796875,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,chair3-knife1,dot,532.7454833984375,756.1685791015625,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,chair2-knife1,dot,532.7454833984375,745.187744140625,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,truck1-knife1,dot,532.7454833984375,663.868896484375,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,truck4-knife1,dot,532.7454833984375,697.9686279296875,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,bird2-knife1,dot,532.7454833984375,712.0745849609375,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,airplane5-knife1,dot,532.7454833984375,776.1751708984375,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,airplane6-knife1,dot,532.7454833984375,722.648193359375,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,airplane4-knife1,dot,532.7454833984375,758.5875244140625,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,bottle8-knife1,dot,532.7454833984375,724.5511474609375,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,bottle5-knife1,dot,532.7454833984375,762.7840576171875,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,keyboard7-knife1,dot,532.7454833984375,678.0281982421875,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,clock4-knife1,dot,532.7454833984375,658.716796875,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,clock2-knife1,dot,532.7454833984375,641.5380859375,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,clock8-knife1,dot,532.7454833984375,617.77685546875,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-bicycle3,elephant3-knife1,dot,532.7454833984375,774.4061279296875,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-clock1,cat4-knife1,dot,674.1375732421875,707.6951293945312,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-clock1,car9-knife1,dot,674.1375732421875,632.4615478515625,1,0
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-clock1,car6-knife1,dot,674.1375732421875,618.6944580078125,1,0
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-clock1,bear4-knife1,dot,674.1375732421875,779.0068359375,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-clock1,boat8-knife1,dot,674.1375732421875,682.3890380859375,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-clock1,oven3-knife1,dot,674.1375732421875,701.8944091796875,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-clock1,chair3-knife1,dot,674.1375732421875,756.1685791015625,0,1
resnet50,keyboard2-knife1,keyboard2,knife1,keyboard2-clock1,chair2-knife1,dot,674.1375732421875,745.187744140625,0,1
