Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,cat9-bird3,dot,796.4151611328125,963.339111328125,0,1
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,car2-bird3,dot,796.4151611328125,1110.06298828125,0,1
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,car7-bird3,dot,796.4151611328125,881.6202392578125,0,1
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,dog7-bird3,dot,796.4151611328125,835.7103881835938,0,1
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,bear2-bird3,dot,796.4151611328125,770.859375,1,0
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,bear3-bird3,dot,796.4151611328125,858.8897705078125,0,1
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,boat1-bird3,dot,796.4151611328125,1068.3634033203125,0,1
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,oven1-bird3,dot,796.4151611328125,933.5916137695312,0,1
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,oven9-bird3,dot,796.4151611328125,790.4779052734375,1,0
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,chair9-bird3,dot,796.4151611328125,840.6953125,0,1
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,chair10-bird3,dot,796.4151611328125,827.8089599609375,0,1
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,airplane4-bird3,dot,796.4151611328125,1092.519287109375,0,1
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,airplane2-bird3,dot,796.4151611328125,1032.7371826171875,0,1
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,airplane7-bird3,dot,796.4151611328125,1110.33740234375,0,1
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,bicycle9-bird3,dot,796.4151611328125,814.31787109375,0,1
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,bicycle2-bird3,dot,796.4151611328125,886.0549926757812,0,1
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,bottle5-bird3,dot,796.4151611328125,755.761474609375,1,0
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,bottle1-bird3,dot,796.4151611328125,732.51806640625,1,0
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,keyboard5-bird3,dot,796.4151611328125,1035.1788330078125,0,1
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,clock6-bird3,dot,796.4151611328125,781.629638671875,1,0
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,clock10-bird3,dot,796.4151611328125,818.000244140625,0,1
resnet50,keyboard3-bird3,keyboard3,bird3,keyboard3-bicycle2,clock4-bird3,dot,796.4151611328125,763.8460693359375,1,0
