Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,cat10-bicycle1,dot,636.9309692382812,969.8738403320312,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,cat9-bicycle1,dot,636.9309692382812,947.0244750976562,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,cat3-bicycle1,dot,636.9309692382812,1068.10009765625,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,dog4-bicycle1,dot,636.9309692382812,971.8003540039062,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,dog6-bicycle1,dot,636.9309692382812,791.2431640625,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,dog10-bicycle1,dot,636.9309692382812,892.15771484375,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,oven6-bicycle1,dot,636.9309692382812,846.0477905273438,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,oven10-bicycle1,dot,636.9309692382812,1028.546142578125,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,oven2-bicycle1,dot,636.9309692382812,969.3862915039062,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,oven5-bicycle1,dot,636.9309692382812,1080.691650390625,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,chair5-bicycle1,dot,636.9309692382812,974.5931396484375,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,chair10-bicycle1,dot,636.9309692382812,950.7578735351562,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,truck3-bicycle1,dot,636.9309692382812,915.08056640625,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,truck6-bicycle1,dot,636.9309692382812,947.541015625,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,truck10-bicycle1,dot,636.9309692382812,787.5029296875,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,bird5-bicycle1,dot,636.9309692382812,892.0855712890625,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,bird10-bicycle1,dot,636.9309692382812,941.3281860351562,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,airplane2-bicycle1,dot,636.9309692382812,938.457275390625,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,airplane5-bicycle1,dot,636.9309692382812,1027.6761474609375,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,bottle4-bicycle1,dot,636.9309692382812,897.1036987304688,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,bottle8-bicycle1,dot,636.9309692382812,954.0780639648438,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,bottle9-bicycle1,dot,636.9309692382812,877.886474609375,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,keyboard6-bicycle1,dot,636.9309692382812,1128.708251953125,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,clock7-bicycle1,dot,636.9309692382812,814.1959228515625,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,clock6-bicycle1,dot,636.9309692382812,615.5733642578125,1,0
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,clock2-bicycle1,dot,636.9309692382812,693.0400390625,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,clock5-bicycle1,dot,636.9309692382812,734.7141723632812,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,knife6-bicycle1,dot,636.9309692382812,1045.0478515625,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,knife8-bicycle1,dot,636.9309692382812,1049.88525390625,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,knife9-bicycle1,dot,636.9309692382812,1016.0081176757812,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-knife2,elephant6-bicycle1,dot,636.9309692382812,893.2565307617188,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-oven2,cat10-bicycle1,dot,577.2945556640625,969.8738403320312,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-oven2,cat9-bicycle1,dot,577.2945556640625,947.0244750976562,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-oven2,cat3-bicycle1,dot,577.2945556640625,1068.10009765625,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-oven2,dog4-bicycle1,dot,577.2945556640625,971.8003540039062,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-oven2,dog6-bicycle1,dot,577.2945556640625,791.2431640625,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-oven2,dog10-bicycle1,dot,577.2945556640625,892.15771484375,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-oven2,oven6-bicycle1,dot,577.2945556640625,846.0477905273438,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-oven2,oven10-bicycle1,dot,577.2945556640625,1028.546142578125,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-oven2,oven2-bicycle1,dot,577.2945556640625,969.3862915039062,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-oven2,oven5-bicycle1,dot,577.2945556640625,1080.691650390625,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-oven2,chair5-bicycle1,dot,577.2945556640625,974.5931396484375,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-oven2,chair10-bicycle1,dot,577.2945556640625,950.7578735351562,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-oven2,truck3-bicycle1,dot,577.2945556640625,915.08056640625,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-oven2,truck6-bicycle1,dot,577.2945556640625,947.541015625,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-oven2,truck10-bicycle1,dot,577.2945556640625,787.5029296875,0,1
resnet50,keyboard5-bicycle1,keyboard5,bicycle1,keyboard5-oven2,bird5-bicycle1,dot,577.2945556640625,892.0855712890625,0,1
