Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,cat7-airplane2,dot,426.41229248046875,565.184326171875,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,cat5-airplane2,dot,426.41229248046875,494.37261962890625,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,car7-airplane2,dot,426.41229248046875,489.31951904296875,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,dog2-airplane2,dot,426.41229248046875,571.2515869140625,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,boat9-airplane2,dot,426.41229248046875,516.785888671875,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,boat3-airplane2,dot,426.41229248046875,514.2669677734375,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,boat6-airplane2,dot,426.41229248046875,536.7392578125,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,oven9-airplane2,dot,426.41229248046875,525.3408813476562,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,oven10-airplane2,dot,426.41229248046875,551.1590576171875,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,chair3-airplane2,dot,426.41229248046875,561.8160400390625,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,chair10-airplane2,dot,426.41229248046875,622.1538696289062,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,chair1-airplane2,dot,426.41229248046875,614.6829223632812,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,truck9-airplane2,dot,426.41229248046875,553.5341186523438,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,truck5-airplane2,dot,426.41229248046875,550.1546630859375,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,bird6-airplane2,dot,426.41229248046875,559.9321899414062,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,bird1-airplane2,dot,426.41229248046875,575.7578125,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,bicycle9-airplane2,dot,426.41229248046875,520.2159423828125,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,bicycle1-airplane2,dot,426.41229248046875,580.0302734375,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,bicycle6-airplane2,dot,426.41229248046875,548.1473999023438,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,bicycle10-airplane2,dot,426.41229248046875,560.6685180664062,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,bottle3-airplane2,dot,426.41229248046875,590.0003662109375,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,keyboard1-airplane2,dot,426.41229248046875,598.9627685546875,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,clock8-airplane2,dot,426.41229248046875,527.3507080078125,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,knife9-airplane2,dot,426.41229248046875,549.861572265625,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,elephant9-airplane2,dot,426.41229248046875,589.1858520507812,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-chair2,elephant1-airplane2,dot,426.41229248046875,619.9368896484375,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,cat7-airplane2,dot,452.5654296875,565.184326171875,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,cat5-airplane2,dot,452.5654296875,494.37261962890625,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,car7-airplane2,dot,452.5654296875,489.31951904296875,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,dog2-airplane2,dot,452.5654296875,571.2515869140625,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,boat9-airplane2,dot,452.5654296875,516.785888671875,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,boat3-airplane2,dot,452.5654296875,514.2669677734375,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,boat6-airplane2,dot,452.5654296875,536.7392578125,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,oven9-airplane2,dot,452.5654296875,525.3408813476562,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,oven10-airplane2,dot,452.5654296875,551.1590576171875,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,chair3-airplane2,dot,452.5654296875,561.8160400390625,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,chair10-airplane2,dot,452.5654296875,622.1538696289062,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,chair1-airplane2,dot,452.5654296875,614.6829223632812,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,truck9-airplane2,dot,452.5654296875,553.5341186523438,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,truck5-airplane2,dot,452.5654296875,550.1546630859375,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,bird6-airplane2,dot,452.5654296875,559.9321899414062,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,bird1-airplane2,dot,452.5654296875,575.7578125,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,bicycle9-airplane2,dot,452.5654296875,520.2159423828125,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,bicycle1-airplane2,dot,452.5654296875,580.0302734375,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,bicycle6-airplane2,dot,452.5654296875,548.1473999023438,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,bicycle10-airplane2,dot,452.5654296875,560.6685180664062,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,bottle3-airplane2,dot,452.5654296875,590.0003662109375,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,keyboard1-airplane2,dot,452.5654296875,598.9627685546875,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,clock8-airplane2,dot,452.5654296875,527.3507080078125,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,knife9-airplane2,dot,452.5654296875,549.861572265625,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,elephant9-airplane2,dot,452.5654296875,589.1858520507812,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-oven1,elephant1-airplane2,dot,452.5654296875,619.9368896484375,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-dog3,cat7-airplane2,dot,383.43231201171875,565.184326171875,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-dog3,cat5-airplane2,dot,383.43231201171875,494.37261962890625,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-dog3,car7-airplane2,dot,383.43231201171875,489.31951904296875,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-dog3,dog2-airplane2,dot,383.43231201171875,571.2515869140625,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-dog3,boat9-airplane2,dot,383.43231201171875,516.785888671875,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-dog3,boat3-airplane2,dot,383.43231201171875,514.2669677734375,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-dog3,boat6-airplane2,dot,383.43231201171875,536.7392578125,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-dog3,oven9-airplane2,dot,383.43231201171875,525.3408813476562,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-dog3,oven10-airplane2,dot,383.43231201171875,551.1590576171875,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-dog3,chair3-airplane2,dot,383.43231201171875,561.8160400390625,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-dog3,chair10-airplane2,dot,383.43231201171875,622.1538696289062,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-dog3,chair1-airplane2,dot,383.43231201171875,614.6829223632812,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-dog3,truck9-airplane2,dot,383.43231201171875,553.5341186523438,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-dog3,truck5-airplane2,dot,383.43231201171875,550.1546630859375,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-dog3,bird6-airplane2,dot,383.43231201171875,559.9321899414062,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-dog3,bird1-airplane2,dot,383.43231201171875,575.7578125,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-dog3,bicycle9-airplane2,dot,383.43231201171875,520.2159423828125,0,1
resnet50,keyboard8-airplane2,keyboard8,airplane2,keyboard8-dog3,bicycle1-airplane2,dot,383.43231201171875,580.0302734375,0,1
