Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,cat1-dog1,dot,466.0483703613281,666.0325927734375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,car8-dog1,dot,466.0483703613281,668.691650390625,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,car10-dog1,dot,466.0483703613281,680.3698120117188,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,bear2-dog1,dot,466.0483703613281,752.0556640625,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,bear8-dog1,dot,466.0483703613281,640.8297119140625,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,bear9-dog1,dot,466.0483703613281,701.0310668945312,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,boat6-dog1,dot,466.0483703613281,803.5352172851562,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,oven4-dog1,dot,466.0483703613281,731.33984375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,chair10-dog1,dot,466.0483703613281,741.4366455078125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,chair1-dog1,dot,466.0483703613281,695.0284423828125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,chair6-dog1,dot,466.0483703613281,725.1743774414062,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,truck1-dog1,dot,466.0483703613281,684.97412109375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,bird3-dog1,dot,466.0483703613281,791.9373779296875,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,airplane2-dog1,dot,466.0483703613281,795.6005859375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,airplane3-dog1,dot,466.0483703613281,796.5326538085938,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,bicycle2-dog1,dot,466.0483703613281,754.044677734375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,bottle10-dog1,dot,466.0483703613281,686.6925048828125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,keyboard7-dog1,dot,466.0483703613281,718.2630004882812,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,clock2-dog1,dot,466.0483703613281,690.94580078125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,knife1-dog1,dot,466.0483703613281,750.4671630859375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,knife5-dog1,dot,466.0483703613281,741.421142578125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,knife2-dog1,dot,466.0483703613281,821.9189453125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,elephant7-dog1,dot,466.0483703613281,686.705322265625,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-chair1,elephant8-dog1,dot,466.0483703613281,698.0233154296875,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,cat1-dog1,dot,460.08465576171875,666.0325927734375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,car8-dog1,dot,460.08465576171875,668.691650390625,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,car10-dog1,dot,460.08465576171875,680.3698120117188,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,bear2-dog1,dot,460.08465576171875,752.0556640625,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,bear8-dog1,dot,460.08465576171875,640.8297119140625,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,bear9-dog1,dot,460.08465576171875,701.0310668945312,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,boat6-dog1,dot,460.08465576171875,803.5352172851562,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,oven4-dog1,dot,460.08465576171875,731.33984375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,chair10-dog1,dot,460.08465576171875,741.4366455078125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,chair1-dog1,dot,460.08465576171875,695.0284423828125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,chair6-dog1,dot,460.08465576171875,725.1743774414062,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,truck1-dog1,dot,460.08465576171875,684.97412109375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,bird3-dog1,dot,460.08465576171875,791.9373779296875,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,airplane2-dog1,dot,460.08465576171875,795.6005859375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,airplane3-dog1,dot,460.08465576171875,796.5326538085938,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,bicycle2-dog1,dot,460.08465576171875,754.044677734375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,bottle10-dog1,dot,460.08465576171875,686.6925048828125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,keyboard7-dog1,dot,460.08465576171875,718.2630004882812,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,clock2-dog1,dot,460.08465576171875,690.94580078125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,knife1-dog1,dot,460.08465576171875,750.4671630859375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,knife5-dog1,dot,460.08465576171875,741.421142578125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,knife2-dog1,dot,460.08465576171875,821.9189453125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,elephant7-dog1,dot,460.08465576171875,686.705322265625,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-keyboard3,elephant8-dog1,dot,460.08465576171875,698.0233154296875,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,cat1-dog1,dot,665.3215942382812,666.0325927734375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,car8-dog1,dot,665.3215942382812,668.691650390625,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,car10-dog1,dot,665.3215942382812,680.3698120117188,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,bear2-dog1,dot,665.3215942382812,752.0556640625,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,bear8-dog1,dot,665.3215942382812,640.8297119140625,1,0
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,bear9-dog1,dot,665.3215942382812,701.0310668945312,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,boat6-dog1,dot,665.3215942382812,803.5352172851562,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,oven4-dog1,dot,665.3215942382812,731.33984375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,chair10-dog1,dot,665.3215942382812,741.4366455078125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,chair1-dog1,dot,665.3215942382812,695.0284423828125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,chair6-dog1,dot,665.3215942382812,725.1743774414062,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,truck1-dog1,dot,665.3215942382812,684.97412109375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,bird3-dog1,dot,665.3215942382812,791.9373779296875,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,airplane2-dog1,dot,665.3215942382812,795.6005859375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,airplane3-dog1,dot,665.3215942382812,796.5326538085938,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,bicycle2-dog1,dot,665.3215942382812,754.044677734375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,bottle10-dog1,dot,665.3215942382812,686.6925048828125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,keyboard7-dog1,dot,665.3215942382812,718.2630004882812,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,clock2-dog1,dot,665.3215942382812,690.94580078125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,knife1-dog1,dot,665.3215942382812,750.4671630859375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,knife5-dog1,dot,665.3215942382812,741.421142578125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,knife2-dog1,dot,665.3215942382812,821.9189453125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,elephant7-dog1,dot,665.3215942382812,686.705322265625,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-bear3,elephant8-dog1,dot,665.3215942382812,698.0233154296875,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,cat1-dog1,dot,445.3276672363281,666.0325927734375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,car8-dog1,dot,445.3276672363281,668.691650390625,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,car10-dog1,dot,445.3276672363281,680.3698120117188,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,bear2-dog1,dot,445.3276672363281,752.0556640625,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,bear8-dog1,dot,445.3276672363281,640.8297119140625,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,bear9-dog1,dot,445.3276672363281,701.0310668945312,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,boat6-dog1,dot,445.3276672363281,803.5352172851562,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,oven4-dog1,dot,445.3276672363281,731.33984375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,chair10-dog1,dot,445.3276672363281,741.4366455078125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,chair1-dog1,dot,445.3276672363281,695.0284423828125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,chair6-dog1,dot,445.3276672363281,725.1743774414062,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,truck1-dog1,dot,445.3276672363281,684.97412109375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,bird3-dog1,dot,445.3276672363281,791.9373779296875,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,airplane2-dog1,dot,445.3276672363281,795.6005859375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,airplane3-dog1,dot,445.3276672363281,796.5326538085938,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,bicycle2-dog1,dot,445.3276672363281,754.044677734375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,bottle10-dog1,dot,445.3276672363281,686.6925048828125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,keyboard7-dog1,dot,445.3276672363281,718.2630004882812,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,clock2-dog1,dot,445.3276672363281,690.94580078125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,knife1-dog1,dot,445.3276672363281,750.4671630859375,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,knife5-dog1,dot,445.3276672363281,741.421142578125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,knife2-dog1,dot,445.3276672363281,821.9189453125,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,elephant7-dog1,dot,445.3276672363281,686.705322265625,0,1
resnet50,knife10-dog1,knife10,dog1,knife10-oven3,elephant8-dog1,dot,445.3276672363281,698.0233154296875,0,1
