Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,cat2-bottle3,dot,560.4773559570312,1024.766357421875,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,car10-bottle3,dot,560.4773559570312,1169.056640625,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,car3-bottle3,dot,560.4773559570312,1126.308349609375,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,bear6-bottle3,dot,560.4773559570312,1218.42529296875,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,oven3-bottle3,dot,560.4773559570312,911.1060791015625,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,oven5-bottle3,dot,560.4773559570312,949.8629150390625,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,chair10-bottle3,dot,560.4773559570312,1155.71533203125,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,chair5-bottle3,dot,560.4773559570312,1129.910888671875,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,chair9-bottle3,dot,560.4773559570312,1009.601318359375,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,chair3-bottle3,dot,560.4773559570312,1085.36083984375,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,truck2-bottle3,dot,560.4773559570312,1098.765869140625,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,truck6-bottle3,dot,560.4773559570312,1214.898681640625,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,bird9-bottle3,dot,560.4773559570312,1020.1001586914062,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,bird6-bottle3,dot,560.4773559570312,1139.055908203125,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,airplane7-bottle3,dot,560.4773559570312,1124.55126953125,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,airplane5-bottle3,dot,560.4773559570312,1205.1312255859375,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,bicycle5-bottle3,dot,560.4773559570312,1067.3499755859375,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,bicycle1-bottle3,dot,560.4773559570312,998.4573974609375,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,clock2-bottle3,dot,560.4773559570312,793.93359375,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,clock4-bottle3,dot,560.4773559570312,914.3079833984375,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,knife8-bottle3,dot,560.4773559570312,1125.88671875,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,knife7-bottle3,dot,560.4773559570312,1202.2431640625,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,elephant7-bottle3,dot,560.4773559570312,1161.344970703125,0,1
resnet50,knife6-bottle3,knife6,bottle3,knife6-bird1,elephant2-bottle3,dot,560.4773559570312,1062.02978515625,0,1
