Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,oven2-car1,oven2,car1,oven2-dog3,dog9-car1,dot,571.9765014648438,864.6485595703125,0,1
resnet50,oven2-car1,oven2,car1,oven2-dog3,boat6-car1,dot,571.9765014648438,831.1935424804688,0,1
resnet50,oven2-car1,oven2,car1,oven2-dog3,oven4-car1,dot,571.9765014648438,764.871337890625,0,1
resnet50,oven2-car1,oven2,car1,oven2-dog3,chair8-car1,dot,571.9765014648438,877.95068359375,0,1
resnet50,oven2-car1,oven2,car1,oven2-dog3,chair5-car1,dot,571.9765014648438,782.0741577148438,0,1
resnet50,oven2-car1,oven2,car1,oven2-dog3,truck5-car1,dot,571.9765014648438,701.505126953125,0,1
resnet50,oven2-car1,oven2,car1,oven2-dog3,airplane7-car1,dot,571.9765014648438,802.576416015625,0,1
resnet50,oven2-car1,oven2,car1,oven2-dog3,airplane4-car1,dot,571.9765014648438,789.74169921875,0,1
resnet50,oven2-car1,oven2,car1,oven2-dog3,airplane3-car1,dot,571.9765014648438,810.96630859375,0,1
resnet50,oven2-car1,oven2,car1,oven2-dog3,bicycle9-car1,dot,571.9765014648438,780.2947998046875,0,1
resnet50,oven2-car1,oven2,car1,oven2-dog3,bottle1-car1,dot,571.9765014648438,935.5631713867188,0,1
resnet50,oven2-car1,oven2,car1,oven2-dog3,bottle10-car1,dot,571.9765014648438,903.5674438476562,0,1
resnet50,oven2-car1,oven2,car1,oven2-dog3,keyboard10-car1,dot,571.9765014648438,847.3028564453125,0,1
resnet50,oven2-car1,oven2,car1,oven2-dog3,clock1-car1,dot,571.9765014648438,811.141845703125,0,1
resnet50,oven2-car1,oven2,car1,oven2-dog3,clock7-car1,dot,571.9765014648438,775.2841796875,0,1
resnet50,oven2-car1,oven2,car1,oven2-dog3,elephant5-car1,dot,571.9765014648438,819.6414794921875,0,1
resnet50,oven2-car1,oven2,car1,oven2-truck3,dog9-car1,dot,610.5147094726562,864.6485595703125,0,1
resnet50,oven2-car1,oven2,car1,oven2-truck3,boat6-car1,dot,610.5147094726562,831.1935424804688,0,1
resnet50,oven2-car1,oven2,car1,oven2-truck3,oven4-car1,dot,610.5147094726562,764.871337890625,0,1
resnet50,oven2-car1,oven2,car1,oven2-truck3,chair8-car1,dot,610.5147094726562,877.95068359375,0,1
resnet50,oven2-car1,oven2,car1,oven2-truck3,chair5-car1,dot,610.5147094726562,782.0741577148438,0,1
resnet50,oven2-car1,oven2,car1,oven2-truck3,truck5-car1,dot,610.5147094726562,701.505126953125,0,1
resnet50,oven2-car1,oven2,car1,oven2-truck3,airplane7-car1,dot,610.5147094726562,802.576416015625,0,1
resnet50,oven2-car1,oven2,car1,oven2-truck3,airplane4-car1,dot,610.5147094726562,789.74169921875,0,1
resnet50,oven2-car1,oven2,car1,oven2-truck3,airplane3-car1,dot,610.5147094726562,810.96630859375,0,1
resnet50,oven2-car1,oven2,car1,oven2-truck3,bicycle9-car1,dot,610.5147094726562,780.2947998046875,0,1
resnet50,oven2-car1,oven2,car1,oven2-truck3,bottle1-car1,dot,610.5147094726562,935.5631713867188,0,1
resnet50,oven2-car1,oven2,car1,oven2-truck3,bottle10-car1,dot,610.5147094726562,903.5674438476562,0,1
resnet50,oven2-car1,oven2,car1,oven2-truck3,keyboard10-car1,dot,610.5147094726562,847.3028564453125,0,1
resnet50,oven2-car1,oven2,car1,oven2-truck3,clock1-car1,dot,610.5147094726562,811.141845703125,0,1
resnet50,oven2-car1,oven2,car1,oven2-truck3,clock7-car1,dot,610.5147094726562,775.2841796875,0,1
resnet50,oven2-car1,oven2,car1,oven2-truck3,elephant5-car1,dot,610.5147094726562,819.6414794921875,0,1
resnet50,oven2-car1,oven2,car1,oven2-chair1,dog9-car1,dot,511.3265380859375,864.6485595703125,0,1
resnet50,oven2-car1,oven2,car1,oven2-chair1,boat6-car1,dot,511.3265380859375,831.1935424804688,0,1
resnet50,oven2-car1,oven2,car1,oven2-chair1,oven4-car1,dot,511.3265380859375,764.871337890625,0,1
resnet50,oven2-car1,oven2,car1,oven2-chair1,chair8-car1,dot,511.3265380859375,877.95068359375,0,1
resnet50,oven2-car1,oven2,car1,oven2-chair1,chair5-car1,dot,511.3265380859375,782.0741577148438,0,1
resnet50,oven2-car1,oven2,car1,oven2-chair1,truck5-car1,dot,511.3265380859375,701.505126953125,0,1
resnet50,oven2-car1,oven2,car1,oven2-chair1,airplane7-car1,dot,511.3265380859375,802.576416015625,0,1
resnet50,oven2-car1,oven2,car1,oven2-chair1,airplane4-car1,dot,511.3265380859375,789.74169921875,0,1
resnet50,oven2-car1,oven2,car1,oven2-chair1,airplane3-car1,dot,511.3265380859375,810.96630859375,0,1
resnet50,oven2-car1,oven2,car1,oven2-chair1,bicycle9-car1,dot,511.3265380859375,780.2947998046875,0,1
resnet50,oven2-car1,oven2,car1,oven2-chair1,bottle1-car1,dot,511.3265380859375,935.5631713867188,0,1
resnet50,oven2-car1,oven2,car1,oven2-chair1,bottle10-car1,dot,511.3265380859375,903.5674438476562,0,1
resnet50,oven2-car1,oven2,car1,oven2-chair1,keyboard10-car1,dot,511.3265380859375,847.3028564453125,0,1
resnet50,oven2-car1,oven2,car1,oven2-chair1,clock1-car1,dot,511.3265380859375,811.141845703125,0,1
resnet50,oven2-car1,oven2,car1,oven2-chair1,clock7-car1,dot,511.3265380859375,775.2841796875,0,1
resnet50,oven2-car1,oven2,car1,oven2-chair1,elephant5-car1,dot,511.3265380859375,819.6414794921875,0,1
