Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bottle3,cat10-keyboard1,dot,709.7034912109375,825.9895629882812,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bottle3,dog3-keyboard1,dot,709.7034912109375,737.884521484375,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bottle3,boat2-keyboard1,dot,709.7034912109375,755.0684204101562,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bottle3,oven9-keyboard1,dot,709.7034912109375,832.6812744140625,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bottle3,oven7-keyboard1,dot,709.7034912109375,736.005615234375,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bottle3,truck5-keyboard1,dot,709.7034912109375,977.4458618164062,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bottle3,bird9-keyboard1,dot,709.7034912109375,756.2784423828125,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bottle3,airplane7-keyboard1,dot,709.7034912109375,805.359375,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bottle3,bicycle3-keyboard1,dot,709.7034912109375,823.658203125,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bottle3,bottle9-keyboard1,dot,709.7034912109375,790.5343627929688,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bottle3,clock8-keyboard1,dot,709.7034912109375,652.1902465820312,1,0
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bottle3,clock5-keyboard1,dot,709.7034912109375,754.7288208007812,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bottle3,knife4-keyboard1,dot,709.7034912109375,839.0833740234375,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bottle3,elephant10-keyboard1,dot,709.7034912109375,820.4381713867188,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bicycle2,cat10-keyboard1,dot,780.9121704101562,825.9895629882812,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bicycle2,dog3-keyboard1,dot,780.9121704101562,737.884521484375,1,0
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bicycle2,boat2-keyboard1,dot,780.9121704101562,755.0684204101562,1,0
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bicycle2,oven9-keyboard1,dot,780.9121704101562,832.6812744140625,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bicycle2,oven7-keyboard1,dot,780.9121704101562,736.005615234375,1,0
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bicycle2,truck5-keyboard1,dot,780.9121704101562,977.4458618164062,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bicycle2,bird9-keyboard1,dot,780.9121704101562,756.2784423828125,1,0
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bicycle2,airplane7-keyboard1,dot,780.9121704101562,805.359375,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bicycle2,bicycle3-keyboard1,dot,780.9121704101562,823.658203125,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bicycle2,bottle9-keyboard1,dot,780.9121704101562,790.5343627929688,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bicycle2,clock8-keyboard1,dot,780.9121704101562,652.1902465820312,1,0
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bicycle2,clock5-keyboard1,dot,780.9121704101562,754.7288208007812,1,0
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bicycle2,knife4-keyboard1,dot,780.9121704101562,839.0833740234375,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-bicycle2,elephant10-keyboard1,dot,780.9121704101562,820.4381713867188,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-clock1,cat10-keyboard1,dot,725.7317504882812,825.9895629882812,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-clock1,dog3-keyboard1,dot,725.7317504882812,737.884521484375,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-clock1,boat2-keyboard1,dot,725.7317504882812,755.0684204101562,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-clock1,oven9-keyboard1,dot,725.7317504882812,832.6812744140625,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-clock1,oven7-keyboard1,dot,725.7317504882812,736.005615234375,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-clock1,truck5-keyboard1,dot,725.7317504882812,977.4458618164062,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-clock1,bird9-keyboard1,dot,725.7317504882812,756.2784423828125,0,1
resnet50,truck2-keyboard1,truck2,keyboard1,truck2-clock1,airplane7-keyboard1,dot,725.7317504882812,805.359375,0,1
