Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,cat7-elephant1,dot,300.1216125488281,589.741943359375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,cat2-elephant1,dot,300.1216125488281,573.2928466796875,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,dog10-elephant1,dot,300.1216125488281,600.8541259765625,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,dog5-elephant1,dot,300.1216125488281,551.2734375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,bear10-elephant1,dot,300.1216125488281,587.0963745117188,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,bear2-elephant1,dot,300.1216125488281,562.7645263671875,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,bear1-elephant1,dot,300.1216125488281,605.4564208984375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,boat8-elephant1,dot,300.1216125488281,672.1068115234375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,oven7-elephant1,dot,300.1216125488281,529.6522827148438,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,oven5-elephant1,dot,300.1216125488281,568.8741455078125,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,chair9-elephant1,dot,300.1216125488281,529.7854614257812,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,chair7-elephant1,dot,300.1216125488281,523.1008911132812,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,chair1-elephant1,dot,300.1216125488281,538.9937133789062,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,chair8-elephant1,dot,300.1216125488281,542.6895751953125,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,truck9-elephant1,dot,300.1216125488281,544.7239990234375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,truck2-elephant1,dot,300.1216125488281,544.5068359375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,bird8-elephant1,dot,300.1216125488281,598.725830078125,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,airplane1-elephant1,dot,300.1216125488281,576.976806640625,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,airplane4-elephant1,dot,300.1216125488281,589.1577758789062,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,airplane10-elephant1,dot,300.1216125488281,584.423095703125,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,airplane3-elephant1,dot,300.1216125488281,587.1254272460938,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,bicycle5-elephant1,dot,300.1216125488281,534.5782470703125,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,bottle5-elephant1,dot,300.1216125488281,552.6866455078125,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,bottle2-elephant1,dot,300.1216125488281,626.7952270507812,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,keyboard2-elephant1,dot,300.1216125488281,643.895263671875,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,keyboard6-elephant1,dot,300.1216125488281,585.9271850585938,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-keyboard2,knife1-elephant1,dot,300.1216125488281,613.7973022460938,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,cat7-elephant1,dot,354.70391845703125,589.741943359375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,cat2-elephant1,dot,354.70391845703125,573.2928466796875,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,dog10-elephant1,dot,354.70391845703125,600.8541259765625,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,dog5-elephant1,dot,354.70391845703125,551.2734375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,bear10-elephant1,dot,354.70391845703125,587.0963745117188,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,bear2-elephant1,dot,354.70391845703125,562.7645263671875,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,bear1-elephant1,dot,354.70391845703125,605.4564208984375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,boat8-elephant1,dot,354.70391845703125,672.1068115234375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,oven7-elephant1,dot,354.70391845703125,529.6522827148438,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,oven5-elephant1,dot,354.70391845703125,568.8741455078125,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,chair9-elephant1,dot,354.70391845703125,529.7854614257812,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,chair7-elephant1,dot,354.70391845703125,523.1008911132812,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,chair1-elephant1,dot,354.70391845703125,538.9937133789062,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,chair8-elephant1,dot,354.70391845703125,542.6895751953125,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,truck9-elephant1,dot,354.70391845703125,544.7239990234375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,truck2-elephant1,dot,354.70391845703125,544.5068359375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,bird8-elephant1,dot,354.70391845703125,598.725830078125,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,airplane1-elephant1,dot,354.70391845703125,576.976806640625,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,airplane4-elephant1,dot,354.70391845703125,589.1577758789062,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,airplane10-elephant1,dot,354.70391845703125,584.423095703125,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,airplane3-elephant1,dot,354.70391845703125,587.1254272460938,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,bicycle5-elephant1,dot,354.70391845703125,534.5782470703125,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,bottle5-elephant1,dot,354.70391845703125,552.6866455078125,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,bottle2-elephant1,dot,354.70391845703125,626.7952270507812,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,keyboard2-elephant1,dot,354.70391845703125,643.895263671875,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,keyboard6-elephant1,dot,354.70391845703125,585.9271850585938,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-bottle2,knife1-elephant1,dot,354.70391845703125,613.7973022460938,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,cat7-elephant1,dot,346.93511962890625,589.741943359375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,cat2-elephant1,dot,346.93511962890625,573.2928466796875,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,dog10-elephant1,dot,346.93511962890625,600.8541259765625,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,dog5-elephant1,dot,346.93511962890625,551.2734375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,bear10-elephant1,dot,346.93511962890625,587.0963745117188,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,bear2-elephant1,dot,346.93511962890625,562.7645263671875,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,bear1-elephant1,dot,346.93511962890625,605.4564208984375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,boat8-elephant1,dot,346.93511962890625,672.1068115234375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,oven7-elephant1,dot,346.93511962890625,529.6522827148438,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,oven5-elephant1,dot,346.93511962890625,568.8741455078125,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,chair9-elephant1,dot,346.93511962890625,529.7854614257812,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,chair7-elephant1,dot,346.93511962890625,523.1008911132812,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,chair1-elephant1,dot,346.93511962890625,538.9937133789062,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,chair8-elephant1,dot,346.93511962890625,542.6895751953125,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,truck9-elephant1,dot,346.93511962890625,544.7239990234375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,truck2-elephant1,dot,346.93511962890625,544.5068359375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,bird8-elephant1,dot,346.93511962890625,598.725830078125,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,airplane1-elephant1,dot,346.93511962890625,576.976806640625,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,airplane4-elephant1,dot,346.93511962890625,589.1577758789062,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,airplane10-elephant1,dot,346.93511962890625,584.423095703125,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,airplane3-elephant1,dot,346.93511962890625,587.1254272460938,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,bicycle5-elephant1,dot,346.93511962890625,534.5782470703125,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,bottle5-elephant1,dot,346.93511962890625,552.6866455078125,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,bottle2-elephant1,dot,346.93511962890625,626.7952270507812,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,keyboard2-elephant1,dot,346.93511962890625,643.895263671875,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,keyboard6-elephant1,dot,346.93511962890625,585.9271850585938,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-cat2,knife1-elephant1,dot,346.93511962890625,613.7973022460938,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-dog3,cat7-elephant1,dot,389.846435546875,589.741943359375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-dog3,cat2-elephant1,dot,389.846435546875,573.2928466796875,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-dog3,dog10-elephant1,dot,389.846435546875,600.8541259765625,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-dog3,dog5-elephant1,dot,389.846435546875,551.2734375,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-dog3,bear10-elephant1,dot,389.846435546875,587.0963745117188,0,1
resnet50,truck8-elephant1,truck8,elephant1,truck8-dog3,bear2-elephant1,dot,389.846435546875,562.7645263671875,0,1
