Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,cat2-knife3,dot,805.1387329101562,788.1439208984375,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,car2-knife3,dot,805.1387329101562,766.851806640625,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,dog3-knife3,dot,805.1387329101562,724.9085083007812,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,dog1-knife3,dot,805.1387329101562,777.2537841796875,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,dog2-knife3,dot,805.1387329101562,840.0250244140625,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,dog7-knife3,dot,805.1387329101562,766.2623291015625,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,bear8-knife3,dot,805.1387329101562,724.5711059570312,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,oven6-knife3,dot,805.1387329101562,771.1968383789062,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,oven9-knife3,dot,805.1387329101562,790.830810546875,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,chair5-knife3,dot,805.1387329101562,747.961181640625,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,truck5-knife3,dot,805.1387329101562,886.572265625,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,bird1-knife3,dot,805.1387329101562,775.055908203125,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,bird3-knife3,dot,805.1387329101562,843.6231689453125,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,airplane9-knife3,dot,805.1387329101562,878.6341552734375,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,bicycle4-knife3,dot,805.1387329101562,815.3077392578125,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,bicycle9-knife3,dot,805.1387329101562,668.1962280273438,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,bicycle1-knife3,dot,805.1387329101562,806.7918701171875,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,bottle6-knife3,dot,805.1387329101562,636.6861572265625,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,bottle3-knife3,dot,805.1387329101562,659.669677734375,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,bottle2-knife3,dot,805.1387329101562,636.407958984375,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,clock10-knife3,dot,805.1387329101562,738.3591918945312,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-boat3,elephant10-knife3,dot,805.1387329101562,840.077392578125,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,cat2-knife3,dot,735.432861328125,788.1439208984375,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,car2-knife3,dot,735.432861328125,766.851806640625,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,dog3-knife3,dot,735.432861328125,724.9085083007812,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,dog1-knife3,dot,735.432861328125,777.2537841796875,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,dog2-knife3,dot,735.432861328125,840.0250244140625,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,dog7-knife3,dot,735.432861328125,766.2623291015625,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,bear8-knife3,dot,735.432861328125,724.5711059570312,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,oven6-knife3,dot,735.432861328125,771.1968383789062,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,oven9-knife3,dot,735.432861328125,790.830810546875,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,chair5-knife3,dot,735.432861328125,747.961181640625,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,truck5-knife3,dot,735.432861328125,886.572265625,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,bird1-knife3,dot,735.432861328125,775.055908203125,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,bird3-knife3,dot,735.432861328125,843.6231689453125,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,airplane9-knife3,dot,735.432861328125,878.6341552734375,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,bicycle4-knife3,dot,735.432861328125,815.3077392578125,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,bicycle9-knife3,dot,735.432861328125,668.1962280273438,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,bicycle1-knife3,dot,735.432861328125,806.7918701171875,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,bottle6-knife3,dot,735.432861328125,636.6861572265625,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,bottle3-knife3,dot,735.432861328125,659.669677734375,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,bottle2-knife3,dot,735.432861328125,636.407958984375,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,clock10-knife3,dot,735.432861328125,738.3591918945312,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-bear3,elephant10-knife3,dot,735.432861328125,840.077392578125,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,cat2-knife3,dot,671.2212524414062,788.1439208984375,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,car2-knife3,dot,671.2212524414062,766.851806640625,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,dog3-knife3,dot,671.2212524414062,724.9085083007812,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,dog1-knife3,dot,671.2212524414062,777.2537841796875,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,dog2-knife3,dot,671.2212524414062,840.0250244140625,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,dog7-knife3,dot,671.2212524414062,766.2623291015625,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,bear8-knife3,dot,671.2212524414062,724.5711059570312,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,oven6-knife3,dot,671.2212524414062,771.1968383789062,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,oven9-knife3,dot,671.2212524414062,790.830810546875,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,chair5-knife3,dot,671.2212524414062,747.961181640625,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,truck5-knife3,dot,671.2212524414062,886.572265625,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,bird1-knife3,dot,671.2212524414062,775.055908203125,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,bird3-knife3,dot,671.2212524414062,843.6231689453125,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,airplane9-knife3,dot,671.2212524414062,878.6341552734375,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,bicycle4-knife3,dot,671.2212524414062,815.3077392578125,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,bicycle9-knife3,dot,671.2212524414062,668.1962280273438,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,bicycle1-knife3,dot,671.2212524414062,806.7918701171875,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,bottle6-knife3,dot,671.2212524414062,636.6861572265625,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,bottle3-knife3,dot,671.2212524414062,659.669677734375,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,bottle2-knife3,dot,671.2212524414062,636.407958984375,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,clock10-knife3,dot,671.2212524414062,738.3591918945312,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-car3,elephant10-knife3,dot,671.2212524414062,840.077392578125,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,cat2-knife3,dot,702.26123046875,788.1439208984375,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,car2-knife3,dot,702.26123046875,766.851806640625,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,dog3-knife3,dot,702.26123046875,724.9085083007812,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,dog1-knife3,dot,702.26123046875,777.2537841796875,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,dog2-knife3,dot,702.26123046875,840.0250244140625,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,dog7-knife3,dot,702.26123046875,766.2623291015625,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,bear8-knife3,dot,702.26123046875,724.5711059570312,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,oven6-knife3,dot,702.26123046875,771.1968383789062,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,oven9-knife3,dot,702.26123046875,790.830810546875,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,chair5-knife3,dot,702.26123046875,747.961181640625,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,truck5-knife3,dot,702.26123046875,886.572265625,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,bird1-knife3,dot,702.26123046875,775.055908203125,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,bird3-knife3,dot,702.26123046875,843.6231689453125,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,airplane9-knife3,dot,702.26123046875,878.6341552734375,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,bicycle4-knife3,dot,702.26123046875,815.3077392578125,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,bicycle9-knife3,dot,702.26123046875,668.1962280273438,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,bicycle1-knife3,dot,702.26123046875,806.7918701171875,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,bottle6-knife3,dot,702.26123046875,636.6861572265625,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,bottle3-knife3,dot,702.26123046875,659.669677734375,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,bottle2-knife3,dot,702.26123046875,636.407958984375,1,0
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,clock10-knife3,dot,702.26123046875,738.3591918945312,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-dog3,elephant10-knife3,dot,702.26123046875,840.077392578125,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-cat2,cat2-knife3,dot,488.3424072265625,788.1439208984375,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-cat2,car2-knife3,dot,488.3424072265625,766.851806640625,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-cat2,dog3-knife3,dot,488.3424072265625,724.9085083007812,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-cat2,dog1-knife3,dot,488.3424072265625,777.2537841796875,0,1
resnet50,airplane10-knife3,airplane10,knife3,airplane10-cat2,dog2-knife3,dot,488.3424072265625,840.0250244140625,0,1
