Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,car5-cat1,dot,580.820556640625,776.3768920898438,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,car9-cat1,dot,580.820556640625,873.5086669921875,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,car8-cat1,dot,580.820556640625,836.83251953125,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,dog2-cat1,dot,580.820556640625,745.381103515625,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,dog9-cat1,dot,580.820556640625,772.9569091796875,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,dog6-cat1,dot,580.820556640625,734.0966796875,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,bear3-cat1,dot,580.820556640625,702.0657958984375,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,boat6-cat1,dot,580.820556640625,877.5391235351562,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,boat10-cat1,dot,580.820556640625,827.6322631835938,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,oven7-cat1,dot,580.820556640625,771.9204711914062,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,oven1-cat1,dot,580.820556640625,762.3873291015625,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,chair10-cat1,dot,580.820556640625,764.2037353515625,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,chair7-cat1,dot,580.820556640625,732.8653564453125,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,truck1-cat1,dot,580.820556640625,810.44189453125,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,truck3-cat1,dot,580.820556640625,783.096435546875,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,bird10-cat1,dot,580.820556640625,783.9730224609375,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,bird3-cat1,dot,580.820556640625,839.454833984375,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,airplane2-cat1,dot,580.820556640625,942.302490234375,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,bicycle4-cat1,dot,580.820556640625,812.0736694335938,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,bicycle5-cat1,dot,580.820556640625,860.5223388671875,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,bicycle7-cat1,dot,580.820556640625,841.911376953125,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,bicycle6-cat1,dot,580.820556640625,794.42529296875,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,bottle5-cat1,dot,580.820556640625,784.3043212890625,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,keyboard5-cat1,dot,580.820556640625,733.4832763671875,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,keyboard3-cat1,dot,580.820556640625,845.4486694335938,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,keyboard9-cat1,dot,580.820556640625,776.7074584960938,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,clock3-cat1,dot,580.820556640625,729.6151123046875,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,clock9-cat1,dot,580.820556640625,810.3287353515625,0,1
resnet50,airplane3-cat1,airplane3,cat1,airplane3-keyboard2,clock8-cat1,dot,580.820556640625,720.2962646484375,0,1
