Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,cat2-bottle3,dot,670.760009765625,963.612060546875,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,car10-bottle3,dot,670.760009765625,1164.490234375,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,car3-bottle3,dot,670.760009765625,1094.5263671875,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,bear6-bottle3,dot,670.760009765625,1115.0059814453125,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,oven3-bottle3,dot,670.760009765625,932.1137084960938,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,oven5-bottle3,dot,670.760009765625,927.0250854492188,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,chair10-bottle3,dot,670.760009765625,1069.40576171875,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,chair5-bottle3,dot,670.760009765625,1085.643310546875,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,chair9-bottle3,dot,670.760009765625,989.5164184570312,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,chair3-bottle3,dot,670.760009765625,1060.406494140625,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,truck2-bottle3,dot,670.760009765625,1118.5543212890625,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,truck6-bottle3,dot,670.760009765625,1221.292236328125,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,bird9-bottle3,dot,670.760009765625,938.7232666015625,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,bird6-bottle3,dot,670.760009765625,1150.80419921875,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,airplane5-bottle3,dot,670.760009765625,1211.9986572265625,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,bicycle5-bottle3,dot,670.760009765625,1114.47900390625,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,bicycle1-bottle3,dot,670.760009765625,929.3427734375,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,clock2-bottle3,dot,670.760009765625,832.40966796875,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,clock4-bottle3,dot,670.760009765625,978.082763671875,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,knife6-bottle3,dot,670.760009765625,1069.0390625,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,knife8-bottle3,dot,670.760009765625,1066.0318603515625,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,knife7-bottle3,dot,670.760009765625,1139.7781982421875,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,elephant7-bottle3,dot,670.760009765625,1060.821533203125,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-car1,elephant2-bottle3,dot,670.760009765625,990.6074829101562,0,1
resnet50,airplane7-bottle3,airplane7,bottle3,airplane7-clock3,cat2-bottle3,dot,795.783935546875,963.612060546875,0,1
