Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,car8-bicycle2,dot,722.2893676757812,872.92578125,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,car9-bicycle2,dot,722.2893676757812,879.2530517578125,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,car10-bicycle2,dot,722.2893676757812,906.989990234375,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,dog2-bicycle2,dot,722.2893676757812,1034.083984375,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,bear7-bicycle2,dot,722.2893676757812,922.0820922851562,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,boat3-bicycle2,dot,722.2893676757812,1005.6121215820312,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,boat6-bicycle2,dot,722.2893676757812,918.47705078125,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,boat1-bicycle2,dot,722.2893676757812,916.9711303710938,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,oven4-bicycle2,dot,722.2893676757812,1048.68603515625,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,truck2-bicycle2,dot,722.2893676757812,1113.071044921875,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,bird4-bicycle2,dot,722.2893676757812,1026.7855224609375,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,bird1-bicycle2,dot,722.2893676757812,1061.841796875,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,airplane4-bicycle2,dot,722.2893676757812,1037.523681640625,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,airplane1-bicycle2,dot,722.2893676757812,879.2779541015625,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,keyboard3-bicycle2,dot,722.2893676757812,1099.072998046875,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,keyboard9-bicycle2,dot,722.2893676757812,1018.183349609375,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,clock3-bicycle2,dot,722.2893676757812,702.56787109375,1,0
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,knife5-bicycle2,dot,722.2893676757812,1029.4639892578125,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,elephant9-bicycle2,dot,722.2893676757812,1105.932861328125,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-airplane1,elephant4-bicycle2,dot,722.2893676757812,1151.238037109375,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,car8-bicycle2,dot,624.4078979492188,872.92578125,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,car9-bicycle2,dot,624.4078979492188,879.2530517578125,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,car10-bicycle2,dot,624.4078979492188,906.989990234375,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,dog2-bicycle2,dot,624.4078979492188,1034.083984375,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,bear7-bicycle2,dot,624.4078979492188,922.0820922851562,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,boat3-bicycle2,dot,624.4078979492188,1005.6121215820312,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,boat6-bicycle2,dot,624.4078979492188,918.47705078125,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,boat1-bicycle2,dot,624.4078979492188,916.9711303710938,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,oven4-bicycle2,dot,624.4078979492188,1048.68603515625,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,truck2-bicycle2,dot,624.4078979492188,1113.071044921875,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,bird4-bicycle2,dot,624.4078979492188,1026.7855224609375,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,bird1-bicycle2,dot,624.4078979492188,1061.841796875,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,airplane4-bicycle2,dot,624.4078979492188,1037.523681640625,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,airplane1-bicycle2,dot,624.4078979492188,879.2779541015625,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,keyboard3-bicycle2,dot,624.4078979492188,1099.072998046875,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,keyboard9-bicycle2,dot,624.4078979492188,1018.183349609375,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,clock3-bicycle2,dot,624.4078979492188,702.56787109375,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,knife5-bicycle2,dot,624.4078979492188,1029.4639892578125,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,elephant9-bicycle2,dot,624.4078979492188,1105.932861328125,0,1
resnet50,bear3-bicycle2,bear3,bicycle2,bear3-cat1,elephant4-bicycle2,dot,624.4078979492188,1151.238037109375,0,1
