Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,cat5-dog3,dot,533.1298828125,637.4764404296875,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,cat4-dog3,dot,533.1298828125,771.3461303710938,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,cat7-dog3,dot,533.1298828125,723.5006103515625,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,car7-dog3,dot,533.1298828125,746.5419921875,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,bear3-dog3,dot,533.1298828125,838.0739135742188,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,boat8-dog3,dot,533.1298828125,788.3023681640625,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,boat3-dog3,dot,533.1298828125,776.6607055664062,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,oven2-dog3,dot,533.1298828125,837.6234741210938,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,oven5-dog3,dot,533.1298828125,769.8097534179688,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,oven1-dog3,dot,533.1298828125,799.1187744140625,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,truck5-dog3,dot,533.1298828125,793.7236938476562,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,truck3-dog3,dot,533.1298828125,853.296875,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,truck8-dog3,dot,533.1298828125,794.81396484375,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,bird4-dog3,dot,533.1298828125,862.1311645507812,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,airplane10-dog3,dot,533.1298828125,820.9823608398438,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,airplane5-dog3,dot,533.1298828125,795.8294677734375,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,bicycle10-dog3,dot,533.1298828125,686.2177124023438,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,bicycle1-dog3,dot,533.1298828125,800.7958374023438,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,bottle6-dog3,dot,533.1298828125,744.3289184570312,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,keyboard1-dog3,dot,533.1298828125,853.7831420898438,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,keyboard8-dog3,dot,533.1298828125,707.6398315429688,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,keyboard5-dog3,dot,533.1298828125,790.2552490234375,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,clock10-dog3,dot,533.1298828125,703.4090576171875,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-truck1,elephant9-dog3,dot,533.1298828125,707.3928833007812,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-oven3,cat5-dog3,dot,559.3744506835938,637.4764404296875,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-oven3,cat4-dog3,dot,559.3744506835938,771.3461303710938,0,1
resnet50,bear7-dog3,bear7,dog3,bear7-oven3,cat7-dog3,dot,559.3744506835938,723.5006103515625,0,1
