Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,car8-chair1,dot,634.7001953125,738.83740234375,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,car10-chair1,dot,634.7001953125,706.5576171875,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,car2-chair1,dot,634.7001953125,751.6165161132812,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,dog4-chair1,dot,634.7001953125,700.1175537109375,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,dog1-chair1,dot,634.7001953125,747.9337768554688,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,bear6-chair1,dot,634.7001953125,773.810546875,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,bear5-chair1,dot,634.7001953125,704.897216796875,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,boat7-chair1,dot,634.7001953125,673.4254760742188,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,oven9-chair1,dot,634.7001953125,739.223876953125,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,oven4-chair1,dot,634.7001953125,761.7001342773438,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,oven2-chair1,dot,634.7001953125,669.2003173828125,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,oven8-chair1,dot,634.7001953125,692.00927734375,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,truck2-chair1,dot,634.7001953125,764.89404296875,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,bird8-chair1,dot,634.7001953125,779.0507202148438,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,bird5-chair1,dot,634.7001953125,648.167724609375,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,bird10-chair1,dot,634.7001953125,738.6085205078125,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,bird9-chair1,dot,634.7001953125,702.5804443359375,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,airplane8-chair1,dot,634.7001953125,684.6478271484375,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,bicycle9-chair1,dot,634.7001953125,866.0008544921875,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,bottle5-chair1,dot,634.7001953125,732.7132568359375,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,keyboard6-chair1,dot,634.7001953125,779.4917602539062,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,clock4-chair1,dot,634.7001953125,743.9790649414062,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,knife10-chair1,dot,634.7001953125,653.7489013671875,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,knife1-chair1,dot,634.7001953125,792.0377197265625,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,knife9-chair1,dot,634.7001953125,791.727294921875,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,elephant1-chair1,dot,634.7001953125,723.0450439453125,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-clock2,elephant3-chair1,dot,634.7001953125,783.293701171875,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,car8-chair1,dot,680.935791015625,738.83740234375,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,car10-chair1,dot,680.935791015625,706.5576171875,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,car2-chair1,dot,680.935791015625,751.6165161132812,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,dog4-chair1,dot,680.935791015625,700.1175537109375,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,dog1-chair1,dot,680.935791015625,747.9337768554688,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,bear6-chair1,dot,680.935791015625,773.810546875,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,bear5-chair1,dot,680.935791015625,704.897216796875,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,boat7-chair1,dot,680.935791015625,673.4254760742188,1,0
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,oven9-chair1,dot,680.935791015625,739.223876953125,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,oven4-chair1,dot,680.935791015625,761.7001342773438,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,oven2-chair1,dot,680.935791015625,669.2003173828125,1,0
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,oven8-chair1,dot,680.935791015625,692.00927734375,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,truck2-chair1,dot,680.935791015625,764.89404296875,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,bird8-chair1,dot,680.935791015625,779.0507202148438,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,bird5-chair1,dot,680.935791015625,648.167724609375,1,0
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,bird10-chair1,dot,680.935791015625,738.6085205078125,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,bird9-chair1,dot,680.935791015625,702.5804443359375,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,airplane8-chair1,dot,680.935791015625,684.6478271484375,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,bicycle9-chair1,dot,680.935791015625,866.0008544921875,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,bottle5-chair1,dot,680.935791015625,732.7132568359375,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,keyboard6-chair1,dot,680.935791015625,779.4917602539062,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,clock4-chair1,dot,680.935791015625,743.9790649414062,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,knife10-chair1,dot,680.935791015625,653.7489013671875,1,0
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,knife1-chair1,dot,680.935791015625,792.0377197265625,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,knife9-chair1,dot,680.935791015625,791.727294921875,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,elephant1-chair1,dot,680.935791015625,723.0450439453125,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle10-boat3,elephant3-chair1,dot,680.935791015625,783.293701171875,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle1-oven1,car8-chair1,dot,772.4463500976562,738.83740234375,1,0
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle1-oven1,car10-chair1,dot,772.4463500976562,706.5576171875,1,0
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle1-oven1,car2-chair1,dot,772.4463500976562,751.6165161132812,1,0
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle1-oven1,dog4-chair1,dot,772.4463500976562,700.1175537109375,1,0
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle1-oven1,dog1-chair1,dot,772.4463500976562,747.9337768554688,1,0
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle1-oven1,bear6-chair1,dot,772.4463500976562,773.810546875,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle1-oven1,bear5-chair1,dot,772.4463500976562,704.897216796875,1,0
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle1-oven1,boat7-chair1,dot,772.4463500976562,673.4254760742188,1,0
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle1-oven1,oven9-chair1,dot,772.4463500976562,739.223876953125,1,0
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle1-oven1,oven4-chair1,dot,772.4463500976562,761.7001342773438,1,0
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle1-oven1,oven2-chair1,dot,772.4463500976562,669.2003173828125,1,0
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle1-oven1,oven8-chair1,dot,772.4463500976562,692.00927734375,1,0
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle1-oven1,truck2-chair1,dot,772.4463500976562,764.89404296875,1,0
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle1-oven1,bird8-chair1,dot,772.4463500976562,779.0507202148438,0,1
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle1-oven1,bird5-chair1,dot,772.4463500976562,648.167724609375,1,0
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle1-oven1,bird10-chair1,dot,772.4463500976562,738.6085205078125,1,0
resnet50,bicycle1-chair1,bicycle1,chair1,bicycle1-oven1,bird9-chair1,dot,772.4463500976562,702.5804443359375,1,0
