Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,car4-cat3,dot,916.7198486328125,704.8814697265625,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,car2-cat3,dot,916.7198486328125,712.1205444335938,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,dog4-cat3,dot,916.7198486328125,656.0692749023438,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,dog1-cat3,dot,916.7198486328125,677.5909423828125,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,bear4-cat3,dot,916.7198486328125,639.751220703125,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,bear6-cat3,dot,916.7198486328125,698.34375,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,boat3-cat3,dot,916.7198486328125,747.6373901367188,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,boat9-cat3,dot,916.7198486328125,804.7154541015625,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,boat7-cat3,dot,916.7198486328125,680.0303344726562,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,oven8-cat3,dot,916.7198486328125,630.2608642578125,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,chair5-cat3,dot,916.7198486328125,783.6674194335938,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,chair1-cat3,dot,916.7198486328125,648.9464111328125,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,truck5-cat3,dot,916.7198486328125,610.85107421875,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,bird7-cat3,dot,916.7198486328125,812.7432861328125,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,bird4-cat3,dot,916.7198486328125,648.5478515625,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,airplane7-cat3,dot,916.7198486328125,679.3653564453125,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,airplane4-cat3,dot,916.7198486328125,708.1289672851562,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,bottle1-cat3,dot,916.7198486328125,697.031005859375,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,bottle3-cat3,dot,916.7198486328125,628.7770385742188,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,keyboard8-cat3,dot,916.7198486328125,655.1448974609375,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-bird3,knife2-cat3,dot,916.7198486328125,848.972900390625,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-car1,car4-cat3,dot,793.1661987304688,704.8814697265625,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-car1,car2-cat3,dot,793.1661987304688,712.1205444335938,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-car1,dog4-cat3,dot,793.1661987304688,656.0692749023438,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-car1,dog1-cat3,dot,793.1661987304688,677.5909423828125,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-car1,bear4-cat3,dot,793.1661987304688,639.751220703125,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-car1,bear6-cat3,dot,793.1661987304688,698.34375,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-car1,boat3-cat3,dot,793.1661987304688,747.6373901367188,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-car1,boat9-cat3,dot,793.1661987304688,804.7154541015625,0,1
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-car1,boat7-cat3,dot,793.1661987304688,680.0303344726562,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-car1,oven8-cat3,dot,793.1661987304688,630.2608642578125,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-car1,chair5-cat3,dot,793.1661987304688,783.6674194335938,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-car1,chair1-cat3,dot,793.1661987304688,648.9464111328125,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-car1,truck5-cat3,dot,793.1661987304688,610.85107421875,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-car1,bird7-cat3,dot,793.1661987304688,812.7432861328125,0,1
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-car1,bird4-cat3,dot,793.1661987304688,648.5478515625,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-car1,airplane7-cat3,dot,793.1661987304688,679.3653564453125,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-car1,airplane4-cat3,dot,793.1661987304688,708.1289672851562,1,0
resnet50,bicycle9-cat3,bicycle9,cat3,bicycle9-car1,bottle1-cat3,dot,793.1661987304688,697.031005859375,1,0
