Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bird2-car3,bird2,car3,bird2-clock3,cat2-car3,dot,447.8221130371094,653.1116943359375,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,dog10-car3,dot,447.8221130371094,680.4722900390625,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,dog5-car3,dot,447.8221130371094,651.8966064453125,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,bear4-car3,dot,447.8221130371094,669.3270263671875,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,boat3-car3,dot,447.8221130371094,666.5643310546875,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,boat4-car3,dot,447.8221130371094,637.7010498046875,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,boat5-car3,dot,447.8221130371094,659.8548583984375,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,oven7-car3,dot,447.8221130371094,620.5348510742188,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,chair3-car3,dot,447.8221130371094,742.8558349609375,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,truck10-car3,dot,447.8221130371094,621.5462646484375,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,truck1-car3,dot,447.8221130371094,661.3092651367188,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,truck3-car3,dot,447.8221130371094,637.060302734375,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,truck2-car3,dot,447.8221130371094,646.2100830078125,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,bird6-car3,dot,447.8221130371094,715.5823364257812,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,airplane10-car3,dot,447.8221130371094,661.1263427734375,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,bicycle5-car3,dot,447.8221130371094,611.3817749023438,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,bottle9-car3,dot,447.8221130371094,666.6781005859375,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,bottle4-car3,dot,447.8221130371094,728.010009765625,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,keyboard1-car3,dot,447.8221130371094,638.466064453125,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,keyboard7-car3,dot,447.8221130371094,760.1937255859375,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,knife1-car3,dot,447.8221130371094,667.4260864257812,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,knife2-car3,dot,447.8221130371094,720.6790771484375,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,elephant7-car3,dot,447.8221130371094,632.4710693359375,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,elephant6-car3,dot,447.8221130371094,624.8557739257812,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,elephant1-car3,dot,447.8221130371094,671.1442260742188,0,1
resnet50,bird2-car3,bird2,car3,bird2-clock3,elephant4-car3,dot,447.8221130371094,609.0410766601562,0,1
resnet50,bird2-car3,bird2,car3,bird2-knife1,cat2-car3,dot,537.3114013671875,653.1116943359375,0,1
resnet50,bird2-car3,bird2,car3,bird2-knife1,dog10-car3,dot,537.3114013671875,680.4722900390625,0,1
resnet50,bird2-car3,bird2,car3,bird2-knife1,dog5-car3,dot,537.3114013671875,651.8966064453125,0,1
resnet50,bird2-car3,bird2,car3,bird2-knife1,bear4-car3,dot,537.3114013671875,669.3270263671875,0,1
