Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,cat1-dog1,dot,897.7891235351562,891.427734375,1,0
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,car8-dog1,dot,897.7891235351562,902.7711181640625,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,car10-dog1,dot,897.7891235351562,926.4195556640625,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,bear2-dog1,dot,897.7891235351562,1043.32861328125,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,bear8-dog1,dot,897.7891235351562,1018.376708984375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,bear9-dog1,dot,897.7891235351562,938.2730712890625,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,boat6-dog1,dot,897.7891235351562,1062.2392578125,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,oven4-dog1,dot,897.7891235351562,935.459716796875,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,chair10-dog1,dot,897.7891235351562,946.1039428710938,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,chair1-dog1,dot,897.7891235351562,899.6400756835938,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,chair6-dog1,dot,897.7891235351562,1009.2577514648438,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,truck1-dog1,dot,897.7891235351562,826.1436157226562,1,0
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,airplane2-dog1,dot,897.7891235351562,938.8729248046875,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,airplane3-dog1,dot,897.7891235351562,870.1209716796875,1,0
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,bicycle2-dog1,dot,897.7891235351562,908.8478393554688,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,bottle10-dog1,dot,897.7891235351562,912.3909912109375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,keyboard7-dog1,dot,897.7891235351562,940.2646484375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,clock2-dog1,dot,897.7891235351562,848.9411010742188,1,0
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,knife1-dog1,dot,897.7891235351562,915.105224609375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,knife5-dog1,dot,897.7891235351562,895.7833862304688,1,0
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,knife10-dog1,dot,897.7891235351562,997.253662109375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,knife2-dog1,dot,897.7891235351562,932.0097045898438,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,elephant7-dog1,dot,897.7891235351562,918.1675415039062,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-bear3,elephant8-dog1,dot,897.7891235351562,1019.677490234375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,cat1-dog1,dot,656.08642578125,891.427734375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,car8-dog1,dot,656.08642578125,902.7711181640625,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,car10-dog1,dot,656.08642578125,926.4195556640625,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,bear2-dog1,dot,656.08642578125,1043.32861328125,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,bear8-dog1,dot,656.08642578125,1018.376708984375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,bear9-dog1,dot,656.08642578125,938.2730712890625,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,boat6-dog1,dot,656.08642578125,1062.2392578125,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,oven4-dog1,dot,656.08642578125,935.459716796875,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,chair10-dog1,dot,656.08642578125,946.1039428710938,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,chair1-dog1,dot,656.08642578125,899.6400756835938,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,chair6-dog1,dot,656.08642578125,1009.2577514648438,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,truck1-dog1,dot,656.08642578125,826.1436157226562,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,airplane2-dog1,dot,656.08642578125,938.8729248046875,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,airplane3-dog1,dot,656.08642578125,870.1209716796875,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,bicycle2-dog1,dot,656.08642578125,908.8478393554688,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,bottle10-dog1,dot,656.08642578125,912.3909912109375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,keyboard7-dog1,dot,656.08642578125,940.2646484375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,clock2-dog1,dot,656.08642578125,848.9411010742188,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,knife1-dog1,dot,656.08642578125,915.105224609375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,knife5-dog1,dot,656.08642578125,895.7833862304688,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,knife10-dog1,dot,656.08642578125,997.253662109375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,knife2-dog1,dot,656.08642578125,932.0097045898438,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,elephant7-dog1,dot,656.08642578125,918.1675415039062,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-boat3,elephant8-dog1,dot,656.08642578125,1019.677490234375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,cat1-dog1,dot,605.9191284179688,891.427734375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,car8-dog1,dot,605.9191284179688,902.7711181640625,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,car10-dog1,dot,605.9191284179688,926.4195556640625,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,bear2-dog1,dot,605.9191284179688,1043.32861328125,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,bear8-dog1,dot,605.9191284179688,1018.376708984375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,bear9-dog1,dot,605.9191284179688,938.2730712890625,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,boat6-dog1,dot,605.9191284179688,1062.2392578125,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,oven4-dog1,dot,605.9191284179688,935.459716796875,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,chair10-dog1,dot,605.9191284179688,946.1039428710938,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,chair1-dog1,dot,605.9191284179688,899.6400756835938,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,chair6-dog1,dot,605.9191284179688,1009.2577514648438,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,truck1-dog1,dot,605.9191284179688,826.1436157226562,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,airplane2-dog1,dot,605.9191284179688,938.8729248046875,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,airplane3-dog1,dot,605.9191284179688,870.1209716796875,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,bicycle2-dog1,dot,605.9191284179688,908.8478393554688,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,bottle10-dog1,dot,605.9191284179688,912.3909912109375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,keyboard7-dog1,dot,605.9191284179688,940.2646484375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,clock2-dog1,dot,605.9191284179688,848.9411010742188,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,knife1-dog1,dot,605.9191284179688,915.105224609375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,knife5-dog1,dot,605.9191284179688,895.7833862304688,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,knife10-dog1,dot,605.9191284179688,997.253662109375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,knife2-dog1,dot,605.9191284179688,932.0097045898438,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,elephant7-dog1,dot,605.9191284179688,918.1675415039062,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-truck3,elephant8-dog1,dot,605.9191284179688,1019.677490234375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-oven1,cat1-dog1,dot,498.9193115234375,891.427734375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-oven1,car8-dog1,dot,498.9193115234375,902.7711181640625,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-oven1,car10-dog1,dot,498.9193115234375,926.4195556640625,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-oven1,bear2-dog1,dot,498.9193115234375,1043.32861328125,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-oven1,bear8-dog1,dot,498.9193115234375,1018.376708984375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-oven1,bear9-dog1,dot,498.9193115234375,938.2730712890625,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-oven1,boat6-dog1,dot,498.9193115234375,1062.2392578125,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-oven1,oven4-dog1,dot,498.9193115234375,935.459716796875,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-oven1,chair10-dog1,dot,498.9193115234375,946.1039428710938,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-oven1,chair1-dog1,dot,498.9193115234375,899.6400756835938,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-oven1,chair6-dog1,dot,498.9193115234375,1009.2577514648438,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-oven1,truck1-dog1,dot,498.9193115234375,826.1436157226562,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-oven1,airplane2-dog1,dot,498.9193115234375,938.8729248046875,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-oven1,airplane3-dog1,dot,498.9193115234375,870.1209716796875,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-oven1,bicycle2-dog1,dot,498.9193115234375,908.8478393554688,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-oven1,bottle10-dog1,dot,498.9193115234375,912.3909912109375,0,1
resnet50,bird3-dog1,bird3,dog1,bird3-oven1,keyboard7-dog1,dot,498.9193115234375,940.2646484375,0,1
