Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,car8-chair1,dot,559.7574462890625,889.447265625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,car10-chair1,dot,559.7574462890625,817.36669921875,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,car2-chair1,dot,559.7574462890625,862.0543212890625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,dog4-chair1,dot,559.7574462890625,825.9303588867188,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,dog1-chair1,dot,559.7574462890625,856.570556640625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,bear6-chair1,dot,559.7574462890625,912.3983154296875,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,bear5-chair1,dot,559.7574462890625,824.185791015625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,boat7-chair1,dot,559.7574462890625,787.622802734375,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,oven9-chair1,dot,559.7574462890625,853.1593627929688,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,oven4-chair1,dot,559.7574462890625,909.0595092773438,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,oven2-chair1,dot,559.7574462890625,817.6250610351562,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,oven8-chair1,dot,559.7574462890625,853.021240234375,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,truck2-chair1,dot,559.7574462890625,949.8385009765625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,bird5-chair1,dot,559.7574462890625,751.5970458984375,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,bird10-chair1,dot,559.7574462890625,841.3067016601562,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,bird9-chair1,dot,559.7574462890625,831.539794921875,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,airplane8-chair1,dot,559.7574462890625,821.2625122070312,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,bicycle9-chair1,dot,559.7574462890625,646.4271240234375,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,bicycle1-chair1,dot,559.7574462890625,779.0507202148438,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,bottle5-chair1,dot,559.7574462890625,849.083740234375,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,keyboard6-chair1,dot,559.7574462890625,925.366455078125,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,clock4-chair1,dot,559.7574462890625,863.1775512695312,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,knife10-chair1,dot,559.7574462890625,719.369384765625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,knife1-chair1,dot,559.7574462890625,890.6346435546875,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,knife9-chair1,dot,559.7574462890625,842.984619140625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,elephant1-chair1,dot,559.7574462890625,856.9874267578125,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-knife2,elephant3-chair1,dot,559.7574462890625,956.2848510742188,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,car8-chair1,dot,608.1309814453125,889.447265625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,car10-chair1,dot,608.1309814453125,817.36669921875,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,car2-chair1,dot,608.1309814453125,862.0543212890625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,dog4-chair1,dot,608.1309814453125,825.9303588867188,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,dog1-chair1,dot,608.1309814453125,856.570556640625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,bear6-chair1,dot,608.1309814453125,912.3983154296875,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,bear5-chair1,dot,608.1309814453125,824.185791015625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,boat7-chair1,dot,608.1309814453125,787.622802734375,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,oven9-chair1,dot,608.1309814453125,853.1593627929688,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,oven4-chair1,dot,608.1309814453125,909.0595092773438,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,oven2-chair1,dot,608.1309814453125,817.6250610351562,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,oven8-chair1,dot,608.1309814453125,853.021240234375,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,truck2-chair1,dot,608.1309814453125,949.8385009765625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,bird5-chair1,dot,608.1309814453125,751.5970458984375,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,bird10-chair1,dot,608.1309814453125,841.3067016601562,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,bird9-chair1,dot,608.1309814453125,831.539794921875,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,airplane8-chair1,dot,608.1309814453125,821.2625122070312,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,bicycle9-chair1,dot,608.1309814453125,646.4271240234375,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,bicycle1-chair1,dot,608.1309814453125,779.0507202148438,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,bottle5-chair1,dot,608.1309814453125,849.083740234375,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,keyboard6-chair1,dot,608.1309814453125,925.366455078125,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,clock4-chair1,dot,608.1309814453125,863.1775512695312,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,knife10-chair1,dot,608.1309814453125,719.369384765625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,knife1-chair1,dot,608.1309814453125,890.6346435546875,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,knife9-chair1,dot,608.1309814453125,842.984619140625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,elephant1-chair1,dot,608.1309814453125,856.9874267578125,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-bottle1,elephant3-chair1,dot,608.1309814453125,956.2848510742188,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,car8-chair1,dot,653.2318115234375,889.447265625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,car10-chair1,dot,653.2318115234375,817.36669921875,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,car2-chair1,dot,653.2318115234375,862.0543212890625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,dog4-chair1,dot,653.2318115234375,825.9303588867188,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,dog1-chair1,dot,653.2318115234375,856.570556640625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,bear6-chair1,dot,653.2318115234375,912.3983154296875,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,bear5-chair1,dot,653.2318115234375,824.185791015625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,boat7-chair1,dot,653.2318115234375,787.622802734375,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,oven9-chair1,dot,653.2318115234375,853.1593627929688,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,oven4-chair1,dot,653.2318115234375,909.0595092773438,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,oven2-chair1,dot,653.2318115234375,817.6250610351562,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,oven8-chair1,dot,653.2318115234375,853.021240234375,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,truck2-chair1,dot,653.2318115234375,949.8385009765625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,bird5-chair1,dot,653.2318115234375,751.5970458984375,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,bird10-chair1,dot,653.2318115234375,841.3067016601562,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,bird9-chair1,dot,653.2318115234375,831.539794921875,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,airplane8-chair1,dot,653.2318115234375,821.2625122070312,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,bicycle9-chair1,dot,653.2318115234375,646.4271240234375,1,0
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,bicycle1-chair1,dot,653.2318115234375,779.0507202148438,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,bottle5-chair1,dot,653.2318115234375,849.083740234375,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,keyboard6-chair1,dot,653.2318115234375,925.366455078125,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,clock4-chair1,dot,653.2318115234375,863.1775512695312,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,knife10-chair1,dot,653.2318115234375,719.369384765625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,knife1-chair1,dot,653.2318115234375,890.6346435546875,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,knife9-chair1,dot,653.2318115234375,842.984619140625,0,1
resnet50,bird8-chair1,bird8,chair1,bird8-keyboard2,elephant1-chair1,dot,653.2318115234375,856.9874267578125,0,1
