Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,cat9-bottle2,dot,760.653564453125,1142.1639404296875,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,dog4-bottle2,dot,760.653564453125,1031.36474609375,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,dog8-bottle2,dot,760.653564453125,1115.939208984375,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,dog2-bottle2,dot,760.653564453125,1129.549560546875,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,bear9-bottle2,dot,760.653564453125,1078.341064453125,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,boat2-bottle2,dot,760.653564453125,1137.832275390625,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,boat6-bottle2,dot,760.653564453125,1093.123046875,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,oven4-bottle2,dot,760.653564453125,947.0398559570312,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,truck4-bottle2,dot,760.653564453125,1126.78466796875,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,truck8-bottle2,dot,760.653564453125,1202.426513671875,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,truck9-bottle2,dot,760.653564453125,1105.864990234375,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,bird3-bottle2,dot,760.653564453125,1229.6768798828125,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,airplane6-bottle2,dot,760.653564453125,1204.7969970703125,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,keyboard4-bottle2,dot,760.653564453125,1029.6942138671875,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,keyboard6-bottle2,dot,760.653564453125,984.410400390625,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,clock7-bottle2,dot,760.653564453125,968.560302734375,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,knife9-bottle2,dot,760.653564453125,1248.890625,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,knife2-bottle2,dot,760.653564453125,1252.828857421875,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,elephant5-bottle2,dot,760.653564453125,1115.97802734375,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-bicycle3,elephant6-bottle2,dot,760.653564453125,1144.0986328125,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-elephant2,cat9-bottle2,dot,399.4645080566406,1142.1639404296875,0,1
resnet50,boat4-bottle2,boat4,bottle2,boat4-elephant2,dog4-bottle2,dot,399.4645080566406,1031.36474609375,0,1
