Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,cat9-dog2,dot,555.3168334960938,784.40771484375,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,car3-dog2,dot,555.3168334960938,858.9171142578125,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,car1-dog2,dot,555.3168334960938,659.4940185546875,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,boat9-dog2,dot,555.3168334960938,664.85595703125,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,oven7-dog2,dot,555.3168334960938,743.1287841796875,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,chair9-dog2,dot,555.3168334960938,700.0498046875,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,chair3-dog2,dot,555.3168334960938,722.59716796875,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,truck6-dog2,dot,555.3168334960938,779.1507568359375,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,bird2-dog2,dot,555.3168334960938,777.9052734375,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,bird9-dog2,dot,555.3168334960938,746.4808349609375,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,bird5-dog2,dot,555.3168334960938,773.4498901367188,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,airplane4-dog2,dot,555.3168334960938,797.9646606445312,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,bicycle5-dog2,dot,555.3168334960938,631.3388671875,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,bicycle6-dog2,dot,555.3168334960938,632.3677978515625,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,bottle1-dog2,dot,555.3168334960938,712.543212890625,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,bottle8-dog2,dot,555.3168334960938,839.306884765625,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,bottle4-dog2,dot,555.3168334960938,773.1075439453125,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,keyboard6-dog2,dot,555.3168334960938,833.899658203125,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,clock3-dog2,dot,555.3168334960938,588.8624267578125,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,clock1-dog2,dot,555.3168334960938,747.3715209960938,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,clock7-dog2,dot,555.3168334960938,640.9015502929688,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,knife6-dog2,dot,555.3168334960938,758.631591796875,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,elephant6-dog2,dot,555.3168334960938,630.5535888671875,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bicycle3,elephant1-dog2,dot,555.3168334960938,712.3824462890625,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,cat9-dog2,dot,358.82220458984375,784.40771484375,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,car3-dog2,dot,358.82220458984375,858.9171142578125,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,car1-dog2,dot,358.82220458984375,659.4940185546875,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,boat9-dog2,dot,358.82220458984375,664.85595703125,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,oven7-dog2,dot,358.82220458984375,743.1287841796875,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,chair9-dog2,dot,358.82220458984375,700.0498046875,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,chair3-dog2,dot,358.82220458984375,722.59716796875,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,truck6-dog2,dot,358.82220458984375,779.1507568359375,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,bird2-dog2,dot,358.82220458984375,777.9052734375,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,bird9-dog2,dot,358.82220458984375,746.4808349609375,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,bird5-dog2,dot,358.82220458984375,773.4498901367188,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,airplane4-dog2,dot,358.82220458984375,797.9646606445312,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,bicycle5-dog2,dot,358.82220458984375,631.3388671875,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,bicycle6-dog2,dot,358.82220458984375,632.3677978515625,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,bottle1-dog2,dot,358.82220458984375,712.543212890625,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,bottle8-dog2,dot,358.82220458984375,839.306884765625,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,bottle4-dog2,dot,358.82220458984375,773.1075439453125,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,keyboard6-dog2,dot,358.82220458984375,833.899658203125,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,clock3-dog2,dot,358.82220458984375,588.8624267578125,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,clock1-dog2,dot,358.82220458984375,747.3715209960938,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,clock7-dog2,dot,358.82220458984375,640.9015502929688,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,knife6-dog2,dot,358.82220458984375,758.631591796875,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,elephant6-dog2,dot,358.82220458984375,630.5535888671875,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-elephant2,elephant1-dog2,dot,358.82220458984375,712.3824462890625,0,1
resnet50,boat4-dog2,boat4,dog2,boat4-bottle2,cat9-dog2,dot,628.5908813476562,784.40771484375,0,1
