Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,car8-bicycle2,dot,607.443115234375,806.5678100585938,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,car9-bicycle2,dot,607.443115234375,833.1953735351562,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,dog2-bicycle2,dot,607.443115234375,827.3984375,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,bear3-bicycle2,dot,607.443115234375,906.989990234375,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,bear7-bicycle2,dot,607.443115234375,709.9830932617188,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,boat3-bicycle2,dot,607.443115234375,796.51025390625,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,boat6-bicycle2,dot,607.443115234375,748.1336669921875,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,boat1-bicycle2,dot,607.443115234375,783.811767578125,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,oven4-bicycle2,dot,607.443115234375,822.481201171875,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,truck2-bicycle2,dot,607.443115234375,960.26904296875,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,bird4-bicycle2,dot,607.443115234375,842.608642578125,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,bird1-bicycle2,dot,607.443115234375,886.024169921875,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,airplane4-bicycle2,dot,607.443115234375,922.2012939453125,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,airplane1-bicycle2,dot,607.443115234375,799.7230834960938,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,keyboard3-bicycle2,dot,607.443115234375,939.3528442382812,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,keyboard9-bicycle2,dot,607.443115234375,831.5030517578125,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,clock3-bicycle2,dot,607.443115234375,573.6975708007812,1,0
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,knife5-bicycle2,dot,607.443115234375,937.3331298828125,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,elephant9-bicycle2,dot,607.443115234375,864.66796875,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-dog1,elephant4-bicycle2,dot,607.443115234375,863.8651123046875,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,car8-bicycle2,dot,652.6312255859375,806.5678100585938,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,car9-bicycle2,dot,652.6312255859375,833.1953735351562,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,dog2-bicycle2,dot,652.6312255859375,827.3984375,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,bear3-bicycle2,dot,652.6312255859375,906.989990234375,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,bear7-bicycle2,dot,652.6312255859375,709.9830932617188,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,boat3-bicycle2,dot,652.6312255859375,796.51025390625,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,boat6-bicycle2,dot,652.6312255859375,748.1336669921875,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,boat1-bicycle2,dot,652.6312255859375,783.811767578125,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,oven4-bicycle2,dot,652.6312255859375,822.481201171875,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,truck2-bicycle2,dot,652.6312255859375,960.26904296875,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,bird4-bicycle2,dot,652.6312255859375,842.608642578125,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,bird1-bicycle2,dot,652.6312255859375,886.024169921875,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,airplane4-bicycle2,dot,652.6312255859375,922.2012939453125,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,airplane1-bicycle2,dot,652.6312255859375,799.7230834960938,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,keyboard3-bicycle2,dot,652.6312255859375,939.3528442382812,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,keyboard9-bicycle2,dot,652.6312255859375,831.5030517578125,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,clock3-bicycle2,dot,652.6312255859375,573.6975708007812,1,0
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,knife5-bicycle2,dot,652.6312255859375,937.3331298828125,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,elephant9-bicycle2,dot,652.6312255859375,864.66796875,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-chair1,elephant4-bicycle2,dot,652.6312255859375,863.8651123046875,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,car8-bicycle2,dot,488.9949951171875,806.5678100585938,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,car9-bicycle2,dot,488.9949951171875,833.1953735351562,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,dog2-bicycle2,dot,488.9949951171875,827.3984375,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,bear3-bicycle2,dot,488.9949951171875,906.989990234375,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,bear7-bicycle2,dot,488.9949951171875,709.9830932617188,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,boat3-bicycle2,dot,488.9949951171875,796.51025390625,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,boat6-bicycle2,dot,488.9949951171875,748.1336669921875,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,boat1-bicycle2,dot,488.9949951171875,783.811767578125,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,oven4-bicycle2,dot,488.9949951171875,822.481201171875,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,truck2-bicycle2,dot,488.9949951171875,960.26904296875,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,bird4-bicycle2,dot,488.9949951171875,842.608642578125,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,bird1-bicycle2,dot,488.9949951171875,886.024169921875,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,airplane4-bicycle2,dot,488.9949951171875,922.2012939453125,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,airplane1-bicycle2,dot,488.9949951171875,799.7230834960938,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,keyboard3-bicycle2,dot,488.9949951171875,939.3528442382812,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,keyboard9-bicycle2,dot,488.9949951171875,831.5030517578125,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,clock3-bicycle2,dot,488.9949951171875,573.6975708007812,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,knife5-bicycle2,dot,488.9949951171875,937.3331298828125,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,elephant9-bicycle2,dot,488.9949951171875,864.66796875,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-elephant2,elephant4-bicycle2,dot,488.9949951171875,863.8651123046875,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-bottle3,car8-bicycle2,dot,823.5089721679688,806.5678100585938,1,0
resnet50,car10-bicycle2,car10,bicycle2,car10-bottle3,car9-bicycle2,dot,823.5089721679688,833.1953735351562,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-bottle3,dog2-bicycle2,dot,823.5089721679688,827.3984375,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-bottle3,bear3-bicycle2,dot,823.5089721679688,906.989990234375,0,1
resnet50,car10-bicycle2,car10,bicycle2,car10-bottle3,bear7-bicycle2,dot,823.5089721679688,709.9830932617188,1,0
resnet50,car10-bicycle2,car10,bicycle2,car10-bottle3,boat3-bicycle2,dot,823.5089721679688,796.51025390625,1,0
