Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,car2-bird3,car2,bird3,car2-chair1,cat9-bird3,dot,793.080322265625,919.5045776367188,0,1
resnet50,car2-bird3,car2,bird3,car2-chair1,car7-bird3,dot,793.080322265625,876.4075317382812,0,1
resnet50,car2-bird3,car2,bird3,car2-chair1,dog7-bird3,dot,793.080322265625,836.6607055664062,0,1
resnet50,car2-bird3,car2,bird3,car2-chair1,bear2-bird3,dot,793.080322265625,796.955322265625,0,1
resnet50,car2-bird3,car2,bird3,car2-chair1,bear3-bird3,dot,793.080322265625,910.4075927734375,0,1
resnet50,car2-bird3,car2,bird3,car2-chair1,boat1-bird3,dot,793.080322265625,1041.202880859375,0,1
resnet50,car2-bird3,car2,bird3,car2-chair1,oven1-bird3,dot,793.080322265625,943.7178344726562,0,1
resnet50,car2-bird3,car2,bird3,car2-chair1,oven9-bird3,dot,793.080322265625,843.685546875,0,1
resnet50,car2-bird3,car2,bird3,car2-chair1,chair9-bird3,dot,793.080322265625,769.6575927734375,1,0
resnet50,car2-bird3,car2,bird3,car2-chair1,chair10-bird3,dot,793.080322265625,867.6629028320312,0,1
resnet50,car2-bird3,car2,bird3,car2-chair1,airplane4-bird3,dot,793.080322265625,991.77099609375,0,1
resnet50,car2-bird3,car2,bird3,car2-chair1,airplane2-bird3,dot,793.080322265625,1059.143310546875,0,1
resnet50,car2-bird3,car2,bird3,car2-chair1,airplane7-bird3,dot,793.080322265625,1080.1343994140625,0,1
resnet50,car2-bird3,car2,bird3,car2-chair1,bicycle9-bird3,dot,793.080322265625,807.61376953125,0,1
resnet50,car2-bird3,car2,bird3,car2-chair1,bicycle2-bird3,dot,793.080322265625,904.3470458984375,0,1
resnet50,car2-bird3,car2,bird3,car2-chair1,bottle5-bird3,dot,793.080322265625,723.0285034179688,1,0
resnet50,car2-bird3,car2,bird3,car2-chair1,bottle1-bird3,dot,793.080322265625,693.23974609375,1,0
resnet50,car2-bird3,car2,bird3,car2-chair1,keyboard5-bird3,dot,793.080322265625,1002.1994018554688,0,1
