Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,cat10-bicycle1,dot,823.1904296875,853.3566284179688,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,cat9-bicycle1,dot,823.1904296875,796.1177978515625,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,cat3-bicycle1,dot,823.1904296875,941.0499267578125,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,dog4-bicycle1,dot,823.1904296875,833.6015625,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,dog6-bicycle1,dot,823.1904296875,722.7415771484375,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,dog10-bicycle1,dot,823.1904296875,832.1973876953125,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,oven6-bicycle1,dot,823.1904296875,690.5286865234375,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,oven10-bicycle1,dot,823.1904296875,843.32861328125,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,oven2-bicycle1,dot,823.1904296875,778.0037841796875,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,oven5-bicycle1,dot,823.1904296875,816.38232421875,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,chair5-bicycle1,dot,823.1904296875,849.3234252929688,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,truck3-bicycle1,dot,823.1904296875,794.698486328125,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,truck6-bicycle1,dot,823.1904296875,826.8721923828125,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,truck10-bicycle1,dot,823.1904296875,698.5914306640625,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,bird5-bicycle1,dot,823.1904296875,819.150146484375,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,bird10-bicycle1,dot,823.1904296875,784.9937133789062,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,airplane2-bicycle1,dot,823.1904296875,794.6049194335938,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,airplane5-bicycle1,dot,823.1904296875,848.5628662109375,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,bottle4-bicycle1,dot,823.1904296875,790.0321044921875,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,bottle8-bicycle1,dot,823.1904296875,774.6158447265625,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,bottle9-bicycle1,dot,823.1904296875,708.22412109375,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,keyboard5-bicycle1,dot,823.1904296875,890.1346435546875,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,keyboard6-bicycle1,dot,823.1904296875,864.7300415039062,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,clock7-bicycle1,dot,823.1904296875,745.6070556640625,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,clock6-bicycle1,dot,823.1904296875,503.5765380859375,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,clock2-bicycle1,dot,823.1904296875,611.320068359375,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,clock5-bicycle1,dot,823.1904296875,619.0675659179688,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,knife6-bicycle1,dot,823.1904296875,729.9102783203125,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,knife8-bicycle1,dot,823.1904296875,862.416015625,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,knife9-bicycle1,dot,823.1904296875,793.343017578125,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-bottle3,elephant6-bicycle1,dot,823.1904296875,837.9349365234375,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,cat10-bicycle1,dot,563.3308715820312,853.3566284179688,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,cat9-bicycle1,dot,563.3308715820312,796.1177978515625,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,cat3-bicycle1,dot,563.3308715820312,941.0499267578125,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,dog4-bicycle1,dot,563.3308715820312,833.6015625,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,dog6-bicycle1,dot,563.3308715820312,722.7415771484375,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,dog10-bicycle1,dot,563.3308715820312,832.1973876953125,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,oven6-bicycle1,dot,563.3308715820312,690.5286865234375,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,oven10-bicycle1,dot,563.3308715820312,843.32861328125,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,oven2-bicycle1,dot,563.3308715820312,778.0037841796875,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,oven5-bicycle1,dot,563.3308715820312,816.38232421875,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,chair5-bicycle1,dot,563.3308715820312,849.3234252929688,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,truck3-bicycle1,dot,563.3308715820312,794.698486328125,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,truck6-bicycle1,dot,563.3308715820312,826.8721923828125,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,truck10-bicycle1,dot,563.3308715820312,698.5914306640625,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,bird5-bicycle1,dot,563.3308715820312,819.150146484375,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,bird10-bicycle1,dot,563.3308715820312,784.9937133789062,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,airplane2-bicycle1,dot,563.3308715820312,794.6049194335938,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,airplane5-bicycle1,dot,563.3308715820312,848.5628662109375,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,bottle4-bicycle1,dot,563.3308715820312,790.0321044921875,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,bottle8-bicycle1,dot,563.3308715820312,774.6158447265625,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,bottle9-bicycle1,dot,563.3308715820312,708.22412109375,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,keyboard5-bicycle1,dot,563.3308715820312,890.1346435546875,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,keyboard6-bicycle1,dot,563.3308715820312,864.7300415039062,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,clock7-bicycle1,dot,563.3308715820312,745.6070556640625,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,clock6-bicycle1,dot,563.3308715820312,503.5765380859375,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,clock2-bicycle1,dot,563.3308715820312,611.320068359375,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,clock5-bicycle1,dot,563.3308715820312,619.0675659179688,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,knife6-bicycle1,dot,563.3308715820312,729.9102783203125,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,knife8-bicycle1,dot,563.3308715820312,862.416015625,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,knife9-bicycle1,dot,563.3308715820312,793.343017578125,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-cat1,elephant6-bicycle1,dot,563.3308715820312,837.9349365234375,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,cat10-bicycle1,dot,632.9769287109375,853.3566284179688,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,cat9-bicycle1,dot,632.9769287109375,796.1177978515625,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,cat3-bicycle1,dot,632.9769287109375,941.0499267578125,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,dog4-bicycle1,dot,632.9769287109375,833.6015625,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,dog6-bicycle1,dot,632.9769287109375,722.7415771484375,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,dog10-bicycle1,dot,632.9769287109375,832.1973876953125,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,oven6-bicycle1,dot,632.9769287109375,690.5286865234375,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,oven10-bicycle1,dot,632.9769287109375,843.32861328125,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,oven2-bicycle1,dot,632.9769287109375,778.0037841796875,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,oven5-bicycle1,dot,632.9769287109375,816.38232421875,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,chair5-bicycle1,dot,632.9769287109375,849.3234252929688,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,truck3-bicycle1,dot,632.9769287109375,794.698486328125,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,truck6-bicycle1,dot,632.9769287109375,826.8721923828125,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,truck10-bicycle1,dot,632.9769287109375,698.5914306640625,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,bird5-bicycle1,dot,632.9769287109375,819.150146484375,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,bird10-bicycle1,dot,632.9769287109375,784.9937133789062,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,airplane2-bicycle1,dot,632.9769287109375,794.6049194335938,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,airplane5-bicycle1,dot,632.9769287109375,848.5628662109375,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,bottle4-bicycle1,dot,632.9769287109375,790.0321044921875,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,bottle8-bicycle1,dot,632.9769287109375,774.6158447265625,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,bottle9-bicycle1,dot,632.9769287109375,708.22412109375,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,keyboard5-bicycle1,dot,632.9769287109375,890.1346435546875,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,keyboard6-bicycle1,dot,632.9769287109375,864.7300415039062,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,clock7-bicycle1,dot,632.9769287109375,745.6070556640625,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,clock6-bicycle1,dot,632.9769287109375,503.5765380859375,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,clock2-bicycle1,dot,632.9769287109375,611.320068359375,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,clock5-bicycle1,dot,632.9769287109375,619.0675659179688,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,knife6-bicycle1,dot,632.9769287109375,729.9102783203125,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,knife8-bicycle1,dot,632.9769287109375,862.416015625,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,knife9-bicycle1,dot,632.9769287109375,793.343017578125,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-oven1,elephant6-bicycle1,dot,632.9769287109375,837.9349365234375,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-car2,cat10-bicycle1,dot,870.511474609375,853.3566284179688,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-car2,cat9-bicycle1,dot,870.511474609375,796.1177978515625,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-car2,cat3-bicycle1,dot,870.511474609375,941.0499267578125,0,1
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-car2,dog4-bicycle1,dot,870.511474609375,833.6015625,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-car2,dog6-bicycle1,dot,870.511474609375,722.7415771484375,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-car2,dog10-bicycle1,dot,870.511474609375,832.1973876953125,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-car2,oven6-bicycle1,dot,870.511474609375,690.5286865234375,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-car2,oven10-bicycle1,dot,870.511474609375,843.32861328125,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-car2,oven2-bicycle1,dot,870.511474609375,778.0037841796875,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-car2,oven5-bicycle1,dot,870.511474609375,816.38232421875,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-car2,chair5-bicycle1,dot,870.511474609375,849.3234252929688,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-car2,truck3-bicycle1,dot,870.511474609375,794.698486328125,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-car2,truck6-bicycle1,dot,870.511474609375,826.8721923828125,1,0
resnet50,chair10-bicycle1,chair10,bicycle1,chair10-car2,truck10-bicycle1,dot,870.511474609375,698.5914306640625,1,0
