Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,cat1-bird1,dot,763.2958984375,663.9820556640625,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,car9-bird1,dot,763.2958984375,729.7910766601562,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,car4-bird1,dot,763.2958984375,709.87255859375,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,dog4-bird1,dot,763.2958984375,829.348876953125,0,1
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,dog1-bird1,dot,763.2958984375,713.5751953125,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,dog6-bird1,dot,763.2958984375,716.9722900390625,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,bear5-bird1,dot,763.2958984375,591.91943359375,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,boat2-bird1,dot,763.2958984375,595.8275756835938,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,boat4-bird1,dot,763.2958984375,583.5986328125,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,boat9-bird1,dot,763.2958984375,662.5709228515625,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,oven6-bird1,dot,763.2958984375,697.2655639648438,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,oven5-bird1,dot,763.2958984375,850.3004150390625,0,1
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,chair7-bird1,dot,763.2958984375,811.5445556640625,0,1
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,truck1-bird1,dot,763.2958984375,651.903564453125,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,airplane8-bird1,dot,763.2958984375,735.4807739257812,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,bicycle3-bird1,dot,763.2958984375,771.802490234375,0,1
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,bicycle1-bird1,dot,763.2958984375,794.072998046875,0,1
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,bottle3-bird1,dot,763.2958984375,645.1831665039062,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,bottle8-bird1,dot,763.2958984375,578.642333984375,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,bottle6-bird1,dot,763.2958984375,749.2156372070312,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,keyboard9-bird1,dot,763.2958984375,761.5806274414062,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,keyboard4-bird1,dot,763.2958984375,763.8665771484375,0,1
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,clock3-bird1,dot,763.2958984375,588.883056640625,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,knife6-bird1,dot,763.2958984375,660.7025146484375,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,knife9-bird1,dot,763.2958984375,594.640869140625,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,knife2-bird1,dot,763.2958984375,695.4482421875,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,elephant6-bird1,dot,763.2958984375,596.126953125,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,elephant7-bird1,dot,763.2958984375,741.0762329101562,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,elephant4-bird1,dot,763.2958984375,676.3704833984375,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-cat3,elephant2-bird1,dot,763.2958984375,689.5487060546875,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-truck3,cat1-bird1,dot,700.8466186523438,663.9820556640625,1,0
resnet50,chair5-bird1,chair5,bird1,chair5-truck3,car9-bird1,dot,700.8466186523438,729.7910766601562,0,1
resnet50,chair5-bird1,chair5,bird1,chair5-truck3,car4-bird1,dot,700.8466186523438,709.87255859375,0,1
resnet50,chair5-bird1,chair5,bird1,chair5-truck3,dog4-bird1,dot,700.8466186523438,829.348876953125,0,1
resnet50,chair5-bird1,chair5,bird1,chair5-truck3,dog1-bird1,dot,700.8466186523438,713.5751953125,0,1
resnet50,chair5-bird1,chair5,bird1,chair5-truck3,dog6-bird1,dot,700.8466186523438,716.9722900390625,0,1
resnet50,chair5-bird1,chair5,bird1,chair5-truck3,bear5-bird1,dot,700.8466186523438,591.91943359375,1,0
