Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,cat9-dog2,dot,489.35577392578125,823.9508666992188,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,car3-dog2,dot,489.35577392578125,903.4908447265625,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,car1-dog2,dot,489.35577392578125,710.0531616210938,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,boat9-dog2,dot,489.35577392578125,699.5770263671875,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,boat4-dog2,dot,489.35577392578125,747.3715209960938,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,oven7-dog2,dot,489.35577392578125,785.5107421875,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,chair9-dog2,dot,489.35577392578125,754.59765625,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,chair3-dog2,dot,489.35577392578125,757.0289306640625,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,truck6-dog2,dot,489.35577392578125,831.8646240234375,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,bird2-dog2,dot,489.35577392578125,847.8919677734375,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,bird9-dog2,dot,489.35577392578125,790.0381469726562,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,bird5-dog2,dot,489.35577392578125,801.9010009765625,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,airplane4-dog2,dot,489.35577392578125,801.6696166992188,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,bicycle5-dog2,dot,489.35577392578125,652.750732421875,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,bicycle6-dog2,dot,489.35577392578125,668.89501953125,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,bottle1-dog2,dot,489.35577392578125,764.3138427734375,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,bottle8-dog2,dot,489.35577392578125,873.9010620117188,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,bottle4-dog2,dot,489.35577392578125,826.7198486328125,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,keyboard6-dog2,dot,489.35577392578125,855.14501953125,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,clock3-dog2,dot,489.35577392578125,625.1432495117188,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,clock7-dog2,dot,489.35577392578125,696.81396484375,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,knife6-dog2,dot,489.35577392578125,775.0,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,elephant6-dog2,dot,489.35577392578125,667.98486328125,0,1
resnet50,clock1-dog2,clock1,dog2,clock10-oven2,elephant1-dog2,dot,489.35577392578125,785.6610717773438,0,1
resnet50,clock1-dog2,clock1,dog2,clock1-boat3,cat9-dog2,dot,631.9339599609375,823.9508666992188,0,1
resnet50,clock1-dog2,clock1,dog2,clock1-boat3,car3-dog2,dot,631.9339599609375,903.4908447265625,0,1
resnet50,clock1-dog2,clock1,dog2,clock1-boat3,car1-dog2,dot,631.9339599609375,710.0531616210938,0,1
resnet50,clock1-dog2,clock1,dog2,clock1-boat3,boat9-dog2,dot,631.9339599609375,699.5770263671875,0,1
resnet50,clock1-dog2,clock1,dog2,clock1-boat3,boat4-dog2,dot,631.9339599609375,747.3715209960938,0,1
resnet50,clock1-dog2,clock1,dog2,clock1-boat3,oven7-dog2,dot,631.9339599609375,785.5107421875,0,1
resnet50,clock1-dog2,clock1,dog2,clock1-boat3,chair9-dog2,dot,631.9339599609375,754.59765625,0,1
resnet50,clock1-dog2,clock1,dog2,clock1-boat3,chair3-dog2,dot,631.9339599609375,757.0289306640625,0,1
resnet50,clock1-dog2,clock1,dog2,clock1-boat3,truck6-dog2,dot,631.9339599609375,831.8646240234375,0,1
resnet50,clock1-dog2,clock1,dog2,clock1-boat3,bird2-dog2,dot,631.9339599609375,847.8919677734375,0,1
resnet50,clock1-dog2,clock1,dog2,clock1-boat3,bird9-dog2,dot,631.9339599609375,790.0381469726562,0,1
resnet50,clock1-dog2,clock1,dog2,clock1-boat3,bird5-dog2,dot,631.9339599609375,801.9010009765625,0,1
resnet50,clock1-dog2,clock1,dog2,clock1-boat3,airplane4-dog2,dot,631.9339599609375,801.6696166992188,0,1
resnet50,clock1-dog2,clock1,dog2,clock1-boat3,bicycle5-dog2,dot,631.9339599609375,652.750732421875,0,1
resnet50,clock1-dog2,clock1,dog2,clock1-boat3,bicycle6-dog2,dot,631.9339599609375,668.89501953125,0,1
