Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,cat7-airplane2,dot,579.4680786132812,609.2444458007812,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,cat5-airplane2,dot,579.4680786132812,598.0183715820312,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,car7-airplane2,dot,579.4680786132812,585.183349609375,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,dog2-airplane2,dot,579.4680786132812,661.955078125,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,boat9-airplane2,dot,579.4680786132812,536.65576171875,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,boat3-airplane2,dot,579.4680786132812,549.1650390625,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,boat6-airplane2,dot,579.4680786132812,634.3243408203125,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,oven9-airplane2,dot,579.4680786132812,603.953857421875,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,oven10-airplane2,dot,579.4680786132812,648.3927001953125,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,chair3-airplane2,dot,579.4680786132812,605.848876953125,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,chair10-airplane2,dot,579.4680786132812,650.9525756835938,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,chair1-airplane2,dot,579.4680786132812,649.9866943359375,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,truck9-airplane2,dot,579.4680786132812,618.5494384765625,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,truck5-airplane2,dot,579.4680786132812,599.140625,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,bird6-airplane2,dot,579.4680786132812,612.573974609375,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,bird1-airplane2,dot,579.4680786132812,636.26904296875,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,bicycle9-airplane2,dot,579.4680786132812,638.4954833984375,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,bicycle1-airplane2,dot,579.4680786132812,691.2630615234375,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,bicycle6-airplane2,dot,579.4680786132812,634.6273803710938,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,bicycle10-airplane2,dot,579.4680786132812,615.1785888671875,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,bottle3-airplane2,dot,579.4680786132812,594.1640625,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,keyboard1-airplane2,dot,579.4680786132812,658.124267578125,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,keyboard8-airplane2,dot,579.4680786132812,481.25958251953125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,knife9-airplane2,dot,579.4680786132812,517.0686645507812,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,elephant9-airplane2,dot,579.4680786132812,668.720458984375,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-keyboard1,elephant1-airplane2,dot,579.4680786132812,648.813720703125,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,cat7-airplane2,dot,663.8818359375,609.2444458007812,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,cat5-airplane2,dot,663.8818359375,598.0183715820312,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,car7-airplane2,dot,663.8818359375,585.183349609375,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,dog2-airplane2,dot,663.8818359375,661.955078125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,boat9-airplane2,dot,663.8818359375,536.65576171875,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,boat3-airplane2,dot,663.8818359375,549.1650390625,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,boat6-airplane2,dot,663.8818359375,634.3243408203125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,oven9-airplane2,dot,663.8818359375,603.953857421875,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,oven10-airplane2,dot,663.8818359375,648.3927001953125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,chair3-airplane2,dot,663.8818359375,605.848876953125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,chair10-airplane2,dot,663.8818359375,650.9525756835938,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,chair1-airplane2,dot,663.8818359375,649.9866943359375,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,truck9-airplane2,dot,663.8818359375,618.5494384765625,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,truck5-airplane2,dot,663.8818359375,599.140625,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,bird6-airplane2,dot,663.8818359375,612.573974609375,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,bird1-airplane2,dot,663.8818359375,636.26904296875,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,bicycle9-airplane2,dot,663.8818359375,638.4954833984375,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,bicycle1-airplane2,dot,663.8818359375,691.2630615234375,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,bicycle6-airplane2,dot,663.8818359375,634.6273803710938,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,bicycle10-airplane2,dot,663.8818359375,615.1785888671875,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,bottle3-airplane2,dot,663.8818359375,594.1640625,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,keyboard1-airplane2,dot,663.8818359375,658.124267578125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,keyboard8-airplane2,dot,663.8818359375,481.25958251953125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,knife9-airplane2,dot,663.8818359375,517.0686645507812,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,elephant9-airplane2,dot,663.8818359375,668.720458984375,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-truck2,elephant1-airplane2,dot,663.8818359375,648.813720703125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,cat7-airplane2,dot,802.7525024414062,609.2444458007812,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,cat5-airplane2,dot,802.7525024414062,598.0183715820312,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,car7-airplane2,dot,802.7525024414062,585.183349609375,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,dog2-airplane2,dot,802.7525024414062,661.955078125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,boat9-airplane2,dot,802.7525024414062,536.65576171875,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,boat3-airplane2,dot,802.7525024414062,549.1650390625,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,boat6-airplane2,dot,802.7525024414062,634.3243408203125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,oven9-airplane2,dot,802.7525024414062,603.953857421875,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,oven10-airplane2,dot,802.7525024414062,648.3927001953125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,chair3-airplane2,dot,802.7525024414062,605.848876953125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,chair10-airplane2,dot,802.7525024414062,650.9525756835938,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,chair1-airplane2,dot,802.7525024414062,649.9866943359375,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,truck9-airplane2,dot,802.7525024414062,618.5494384765625,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,truck5-airplane2,dot,802.7525024414062,599.140625,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,bird6-airplane2,dot,802.7525024414062,612.573974609375,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,bird1-airplane2,dot,802.7525024414062,636.26904296875,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,bicycle9-airplane2,dot,802.7525024414062,638.4954833984375,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,bicycle1-airplane2,dot,802.7525024414062,691.2630615234375,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,bicycle6-airplane2,dot,802.7525024414062,634.6273803710938,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,bicycle10-airplane2,dot,802.7525024414062,615.1785888671875,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,bottle3-airplane2,dot,802.7525024414062,594.1640625,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,keyboard1-airplane2,dot,802.7525024414062,658.124267578125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,keyboard8-airplane2,dot,802.7525024414062,481.25958251953125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,knife9-airplane2,dot,802.7525024414062,517.0686645507812,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,elephant9-airplane2,dot,802.7525024414062,668.720458984375,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-oven3,elephant1-airplane2,dot,802.7525024414062,648.813720703125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,cat7-airplane2,dot,654.8116455078125,609.2444458007812,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,cat5-airplane2,dot,654.8116455078125,598.0183715820312,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,car7-airplane2,dot,654.8116455078125,585.183349609375,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,dog2-airplane2,dot,654.8116455078125,661.955078125,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,boat9-airplane2,dot,654.8116455078125,536.65576171875,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,boat3-airplane2,dot,654.8116455078125,549.1650390625,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,boat6-airplane2,dot,654.8116455078125,634.3243408203125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,oven9-airplane2,dot,654.8116455078125,603.953857421875,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,oven10-airplane2,dot,654.8116455078125,648.3927001953125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,chair3-airplane2,dot,654.8116455078125,605.848876953125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,chair10-airplane2,dot,654.8116455078125,650.9525756835938,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,chair1-airplane2,dot,654.8116455078125,649.9866943359375,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,truck9-airplane2,dot,654.8116455078125,618.5494384765625,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,truck5-airplane2,dot,654.8116455078125,599.140625,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,bird6-airplane2,dot,654.8116455078125,612.573974609375,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,bird1-airplane2,dot,654.8116455078125,636.26904296875,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,bicycle9-airplane2,dot,654.8116455078125,638.4954833984375,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,bicycle1-airplane2,dot,654.8116455078125,691.2630615234375,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,bicycle6-airplane2,dot,654.8116455078125,634.6273803710938,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,bicycle10-airplane2,dot,654.8116455078125,615.1785888671875,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,bottle3-airplane2,dot,654.8116455078125,594.1640625,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,keyboard1-airplane2,dot,654.8116455078125,658.124267578125,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,keyboard8-airplane2,dot,654.8116455078125,481.25958251953125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,knife9-airplane2,dot,654.8116455078125,517.0686645507812,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,elephant9-airplane2,dot,654.8116455078125,668.720458984375,0,1
resnet50,clock8-airplane2,clock8,airplane2,clock8-cat1,elephant1-airplane2,dot,654.8116455078125,648.813720703125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,cat7-airplane2,dot,873.6477661132812,609.2444458007812,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,cat5-airplane2,dot,873.6477661132812,598.0183715820312,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,car7-airplane2,dot,873.6477661132812,585.183349609375,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,dog2-airplane2,dot,873.6477661132812,661.955078125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,boat9-airplane2,dot,873.6477661132812,536.65576171875,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,boat3-airplane2,dot,873.6477661132812,549.1650390625,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,boat6-airplane2,dot,873.6477661132812,634.3243408203125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,oven9-airplane2,dot,873.6477661132812,603.953857421875,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,oven10-airplane2,dot,873.6477661132812,648.3927001953125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,chair3-airplane2,dot,873.6477661132812,605.848876953125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,chair10-airplane2,dot,873.6477661132812,650.9525756835938,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,chair1-airplane2,dot,873.6477661132812,649.9866943359375,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,truck9-airplane2,dot,873.6477661132812,618.5494384765625,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,truck5-airplane2,dot,873.6477661132812,599.140625,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,bird6-airplane2,dot,873.6477661132812,612.573974609375,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,bird1-airplane2,dot,873.6477661132812,636.26904296875,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,bicycle9-airplane2,dot,873.6477661132812,638.4954833984375,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,bicycle1-airplane2,dot,873.6477661132812,691.2630615234375,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,bicycle6-airplane2,dot,873.6477661132812,634.6273803710938,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,bicycle10-airplane2,dot,873.6477661132812,615.1785888671875,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,bottle3-airplane2,dot,873.6477661132812,594.1640625,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,keyboard1-airplane2,dot,873.6477661132812,658.124267578125,1,0
resnet50,clock8-airplane2,clock8,airplane2,clock8-boat1,keyboard8-airplane2,dot,873.6477661132812,481.25958251953125,1,0
