Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,dog3-bear3,dog3,bear3,dog3-elephant2,car5-bear3,dot,486.8144836425781,1101.9080810546875,0,1
resnet50,dog3-bear3,dog3,bear3,dog3-elephant2,car4-bear3,dot,486.8144836425781,1308.671142578125,0,1
resnet50,dog3-bear3,dog3,bear3,dog3-elephant2,dog8-bear3,dot,486.8144836425781,1114.1689453125,0,1
resnet50,dog3-bear3,dog3,bear3,dog3-elephant2,dog5-bear3,dot,486.8144836425781,1227.452880859375,0,1
resnet50,dog3-bear3,dog3,bear3,dog3-elephant2,dog9-bear3,dot,486.8144836425781,1209.070556640625,0,1
resnet50,dog3-bear3,dog3,bear3,dog3-elephant2,boat9-bear3,dot,486.8144836425781,847.6630859375,0,1
resnet50,dog3-bear3,dog3,bear3,dog3-elephant2,boat2-bear3,dot,486.8144836425781,1216.73486328125,0,1
resnet50,dog3-bear3,dog3,bear3,dog3-elephant2,boat10-bear3,dot,486.8144836425781,1223.2392578125,0,1
resnet50,dog3-bear3,dog3,bear3,dog3-elephant2,oven2-bear3,dot,486.8144836425781,924.576171875,0,1
resnet50,dog3-bear3,dog3,bear3,dog3-elephant2,truck3-bear3,dot,486.8144836425781,1155.6829833984375,0,1
resnet50,dog3-bear3,dog3,bear3,dog3-elephant2,bird3-bear3,dot,486.8144836425781,1039.9482421875,0,1
resnet50,dog3-bear3,dog3,bear3,dog3-elephant2,bird5-bear3,dot,486.8144836425781,1095.6312255859375,0,1
resnet50,dog3-bear3,dog3,bear3,dog3-elephant2,bird9-bear3,dot,486.8144836425781,1189.0029296875,0,1
resnet50,dog3-bear3,dog3,bear3,dog3-elephant2,airplane10-bear3,dot,486.8144836425781,1073.644287109375,0,1
resnet50,dog3-bear3,dog3,bear3,dog3-elephant2,airplane4-bear3,dot,486.8144836425781,1044.3232421875,0,1
resnet50,dog3-bear3,dog3,bear3,dog3-elephant2,airplane6-bear3,dot,486.8144836425781,1167.171630859375,0,1
resnet50,dog3-bear3,dog3,bear3,dog3-elephant2,keyboard5-bear3,dot,486.8144836425781,1127.785400390625,0,1
resnet50,dog3-bear3,dog3,bear3,dog3-elephant2,clock3-bear3,dot,486.8144836425781,961.2459106445312,0,1
