Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,car8-chair1,dot,683.5034790039062,847.342529296875,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,car10-chair1,dot,683.5034790039062,742.9368286132812,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,car2-chair1,dot,683.5034790039062,795.94921875,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,dog4-chair1,dot,683.5034790039062,811.7593383789062,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,dog1-chair1,dot,683.5034790039062,826.247802734375,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,bear6-chair1,dot,683.5034790039062,895.906982421875,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,bear5-chair1,dot,683.5034790039062,815.32177734375,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,boat7-chair1,dot,683.5034790039062,771.197265625,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,oven9-chair1,dot,683.5034790039062,823.0323486328125,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,oven4-chair1,dot,683.5034790039062,880.6973876953125,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,oven2-chair1,dot,683.5034790039062,841.0390625,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,oven8-chair1,dot,683.5034790039062,859.4613037109375,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,truck2-chair1,dot,683.5034790039062,888.1967163085938,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,bird8-chair1,dot,683.5034790039062,856.9874267578125,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,bird5-chair1,dot,683.5034790039062,720.75732421875,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,bird10-chair1,dot,683.5034790039062,804.6885986328125,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,bird9-chair1,dot,683.5034790039062,811.4423828125,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,airplane8-chair1,dot,683.5034790039062,775.9320678710938,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,bicycle9-chair1,dot,683.5034790039062,613.75634765625,1,0
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,bicycle1-chair1,dot,683.5034790039062,723.0450439453125,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,bottle5-chair1,dot,683.5034790039062,871.9249267578125,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,keyboard6-chair1,dot,683.5034790039062,895.301513671875,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,clock4-chair1,dot,683.5034790039062,860.2485961914062,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,knife10-chair1,dot,683.5034790039062,700.4102783203125,0,1
resnet50,elephant1-chair1,elephant1,chair1,elephant10-knife3,knife1-chair1,dot,683.5034790039062,861.498046875,0,1
