Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-airplane3,dog9-car1,dot,545.0809326171875,793.9796142578125,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-airplane3,boat6-car1,dot,545.0809326171875,818.7759399414062,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-airplane3,oven2-car1,dot,545.0809326171875,782.91259765625,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-airplane3,oven4-car1,dot,545.0809326171875,784.45751953125,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-airplane3,chair8-car1,dot,545.0809326171875,834.7733154296875,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-airplane3,chair5-car1,dot,545.0809326171875,764.09912109375,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-airplane3,truck5-car1,dot,545.0809326171875,674.9864501953125,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-airplane3,airplane7-car1,dot,545.0809326171875,756.5406494140625,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-airplane3,airplane4-car1,dot,545.0809326171875,765.1478271484375,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-airplane3,airplane3-car1,dot,545.0809326171875,794.92724609375,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-airplane3,bicycle9-car1,dot,545.0809326171875,689.5255737304688,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-airplane3,bottle1-car1,dot,545.0809326171875,826.6377563476562,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-airplane3,bottle10-car1,dot,545.0809326171875,799.2360229492188,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-airplane3,clock1-car1,dot,545.0809326171875,843.89501953125,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-airplane3,clock7-car1,dot,545.0809326171875,788.560791015625,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-airplane3,elephant5-car1,dot,545.0809326171875,817.5731811523438,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-truck1,dog9-car1,dot,753.8463134765625,793.9796142578125,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-truck1,boat6-car1,dot,753.8463134765625,818.7759399414062,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-truck1,oven2-car1,dot,753.8463134765625,782.91259765625,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-truck1,oven4-car1,dot,753.8463134765625,784.45751953125,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-truck1,chair8-car1,dot,753.8463134765625,834.7733154296875,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-truck1,chair5-car1,dot,753.8463134765625,764.09912109375,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-truck1,truck5-car1,dot,753.8463134765625,674.9864501953125,1,0
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-truck1,airplane7-car1,dot,753.8463134765625,756.5406494140625,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-truck1,airplane4-car1,dot,753.8463134765625,765.1478271484375,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-truck1,airplane3-car1,dot,753.8463134765625,794.92724609375,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-truck1,bicycle9-car1,dot,753.8463134765625,689.5255737304688,1,0
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-truck1,bottle1-car1,dot,753.8463134765625,826.6377563476562,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-truck1,bottle10-car1,dot,753.8463134765625,799.2360229492188,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-truck1,clock1-car1,dot,753.8463134765625,843.89501953125,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-truck1,clock7-car1,dot,753.8463134765625,788.560791015625,0,1
resnet50,keyboard10-car1,keyboard10,car1,keyboard10-truck1,elephant5-car1,dot,753.8463134765625,817.5731811523438,0,1
