Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,knife2-car3,knife2,car3,knife2-bear2,cat2-car3,dot,623.553955078125,805.9716796875,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,dog10-car3,dot,623.553955078125,827.6568603515625,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,dog5-car3,dot,623.553955078125,792.6148681640625,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,bear4-car3,dot,623.553955078125,819.8707275390625,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,boat3-car3,dot,623.553955078125,828.355224609375,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,boat4-car3,dot,623.553955078125,842.9710693359375,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,boat5-car3,dot,623.553955078125,823.249755859375,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,oven7-car3,dot,623.553955078125,769.8607177734375,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,chair3-car3,dot,623.553955078125,896.83544921875,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,truck10-car3,dot,623.553955078125,779.4288330078125,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,truck1-car3,dot,623.553955078125,842.3492431640625,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,truck3-car3,dot,623.553955078125,788.9703369140625,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,truck2-car3,dot,623.553955078125,817.3313598632812,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,bird6-car3,dot,623.553955078125,875.4622802734375,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,bird2-car3,dot,623.553955078125,720.6790771484375,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,airplane10-car3,dot,623.553955078125,843.3711547851562,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,bicycle5-car3,dot,623.553955078125,746.1778564453125,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,bottle9-car3,dot,623.553955078125,809.987548828125,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,bottle4-car3,dot,623.553955078125,870.069580078125,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,keyboard1-car3,dot,623.553955078125,796.75341796875,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,keyboard7-car3,dot,623.553955078125,944.357177734375,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,knife1-car3,dot,623.553955078125,865.3477783203125,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,elephant7-car3,dot,623.553955078125,751.4071044921875,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,elephant6-car3,dot,623.553955078125,777.5357666015625,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,elephant1-car3,dot,623.553955078125,789.775390625,0,1
resnet50,knife2-car3,knife2,car3,knife2-bear2,elephant4-car3,dot,623.553955078125,731.033935546875,0,1
