Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,cat5-chair3,dot,514.1552734375,666.4960327148438,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,cat6-chair3,dot,514.1552734375,723.297607421875,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,car1-chair3,dot,514.1552734375,722.3876342773438,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,car6-chair3,dot,514.1552734375,603.1585693359375,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,dog8-chair3,dot,514.1552734375,655.0079345703125,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,boat3-chair3,dot,514.1552734375,647.965087890625,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,boat1-chair3,dot,514.1552734375,737.811279296875,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,oven6-chair3,dot,514.1552734375,622.693115234375,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,truck9-chair3,dot,514.1552734375,702.3714599609375,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,airplane5-chair3,dot,514.1552734375,757.7496948242188,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,airplane6-chair3,dot,514.1552734375,715.4024658203125,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,airplane3-chair3,dot,514.1552734375,638.501220703125,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,bottle3-chair3,dot,514.1552734375,667.4112548828125,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,bottle2-chair3,dot,514.1552734375,720.81103515625,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,keyboard7-chair3,dot,514.1552734375,713.455810546875,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,clock6-chair3,dot,514.1552734375,637.3155517578125,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,clock9-chair3,dot,514.1552734375,701.9522705078125,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,clock5-chair3,dot,514.1552734375,651.703857421875,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,elephant4-chair3,dot,514.1552734375,665.234619140625,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bird1,elephant5-chair3,dot,514.1552734375,706.5572509765625,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bicycle1,cat5-chair3,dot,504.27532958984375,666.4960327148438,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bicycle1,cat6-chair3,dot,504.27532958984375,723.297607421875,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bicycle1,car1-chair3,dot,504.27532958984375,722.3876342773438,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bicycle1,car6-chair3,dot,504.27532958984375,603.1585693359375,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bicycle1,dog8-chair3,dot,504.27532958984375,655.0079345703125,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bicycle1,boat3-chair3,dot,504.27532958984375,647.965087890625,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bicycle1,boat1-chair3,dot,504.27532958984375,737.811279296875,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bicycle1,oven6-chair3,dot,504.27532958984375,622.693115234375,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bicycle1,truck9-chair3,dot,504.27532958984375,702.3714599609375,0,1
resnet50,knife6-chair3,knife6,chair3,knife6-bicycle1,airplane5-chair3,dot,504.27532958984375,757.7496948242188,0,1
