Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,cat7-airplane2,dot,708.0294189453125,816.5013427734375,0,1
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,cat5-airplane2,dot,708.0294189453125,681.105224609375,1,0
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,car7-airplane2,dot,708.0294189453125,671.7064208984375,1,0
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,dog2-airplane2,dot,708.0294189453125,776.1724243164062,0,1
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,boat9-airplane2,dot,708.0294189453125,645.1834716796875,1,0
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,boat3-airplane2,dot,708.0294189453125,630.0047607421875,1,0
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,boat6-airplane2,dot,708.0294189453125,694.9261474609375,1,0
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,oven10-airplane2,dot,708.0294189453125,787.6561279296875,0,1
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,chair3-airplane2,dot,708.0294189453125,769.81494140625,0,1
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,chair10-airplane2,dot,708.0294189453125,801.7528076171875,0,1
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,chair1-airplane2,dot,708.0294189453125,764.0721435546875,0,1
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,truck9-airplane2,dot,708.0294189453125,764.8541259765625,0,1
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,truck5-airplane2,dot,708.0294189453125,734.5878295898438,0,1
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,bird6-airplane2,dot,708.0294189453125,699.2025146484375,1,0
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,bird1-airplane2,dot,708.0294189453125,781.5804443359375,0,1
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,bicycle9-airplane2,dot,708.0294189453125,604.6912841796875,1,0
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,bicycle1-airplane2,dot,708.0294189453125,597.3053588867188,1,0
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,bicycle6-airplane2,dot,708.0294189453125,686.0830688476562,1,0
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,bicycle10-airplane2,dot,708.0294189453125,621.5389404296875,1,0
resnet50,oven9-airplane2,oven9,airplane2,oven9-car2,bottle3-airplane2,dot,708.0294189453125,675.31884765625,1,0
