Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,cat10-bicycle1,dot,788.593017578125,847.482177734375,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,cat9-bicycle1,dot,788.593017578125,817.4928588867188,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,cat3-bicycle1,dot,788.593017578125,955.5698852539062,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,dog4-bicycle1,dot,788.593017578125,839.8504638671875,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,dog6-bicycle1,dot,788.593017578125,758.2447509765625,1,0
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,dog10-bicycle1,dot,788.593017578125,822.3267822265625,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,oven6-bicycle1,dot,788.593017578125,709.6817016601562,1,0
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,oven10-bicycle1,dot,788.593017578125,841.7564086914062,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,oven2-bicycle1,dot,788.593017578125,763.0322265625,1,0
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,oven5-bicycle1,dot,788.593017578125,825.078125,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,chair5-bicycle1,dot,788.593017578125,773.8219604492188,1,0
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,chair10-bicycle1,dot,788.593017578125,794.698486328125,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,truck6-bicycle1,dot,788.593017578125,889.669921875,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,truck10-bicycle1,dot,788.593017578125,708.8802490234375,1,0
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,bird5-bicycle1,dot,788.593017578125,800.7454833984375,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,bird10-bicycle1,dot,788.593017578125,819.21826171875,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,airplane2-bicycle1,dot,788.593017578125,788.3333740234375,1,0
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,airplane5-bicycle1,dot,788.593017578125,867.1369018554688,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,bottle4-bicycle1,dot,788.593017578125,760.06689453125,1,0
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,bottle8-bicycle1,dot,788.593017578125,780.0208740234375,1,0
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,bottle9-bicycle1,dot,788.593017578125,718.0494995117188,1,0
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,keyboard5-bicycle1,dot,788.593017578125,868.7838745117188,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,keyboard6-bicycle1,dot,788.593017578125,855.3828735351562,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,clock7-bicycle1,dot,788.593017578125,758.9786987304688,1,0
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,clock6-bicycle1,dot,788.593017578125,556.03125,1,0
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,clock2-bicycle1,dot,788.593017578125,656.2040405273438,1,0
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,clock5-bicycle1,dot,788.593017578125,661.4852294921875,1,0
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,knife6-bicycle1,dot,788.593017578125,759.49609375,1,0
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,knife8-bicycle1,dot,788.593017578125,856.3016357421875,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,knife9-bicycle1,dot,788.593017578125,767.0556640625,1,0
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bird2,elephant6-bicycle1,dot,788.593017578125,880.0968017578125,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,cat10-bicycle1,dot,696.85009765625,847.482177734375,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,cat9-bicycle1,dot,696.85009765625,817.4928588867188,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,cat3-bicycle1,dot,696.85009765625,955.5698852539062,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,dog4-bicycle1,dot,696.85009765625,839.8504638671875,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,dog6-bicycle1,dot,696.85009765625,758.2447509765625,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,dog10-bicycle1,dot,696.85009765625,822.3267822265625,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,oven6-bicycle1,dot,696.85009765625,709.6817016601562,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,oven10-bicycle1,dot,696.85009765625,841.7564086914062,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,oven2-bicycle1,dot,696.85009765625,763.0322265625,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,oven5-bicycle1,dot,696.85009765625,825.078125,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,chair5-bicycle1,dot,696.85009765625,773.8219604492188,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,chair10-bicycle1,dot,696.85009765625,794.698486328125,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,truck6-bicycle1,dot,696.85009765625,889.669921875,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,truck10-bicycle1,dot,696.85009765625,708.8802490234375,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,bird5-bicycle1,dot,696.85009765625,800.7454833984375,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,bird10-bicycle1,dot,696.85009765625,819.21826171875,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,airplane2-bicycle1,dot,696.85009765625,788.3333740234375,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,airplane5-bicycle1,dot,696.85009765625,867.1369018554688,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,bottle4-bicycle1,dot,696.85009765625,760.06689453125,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,bottle8-bicycle1,dot,696.85009765625,780.0208740234375,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,bottle9-bicycle1,dot,696.85009765625,718.0494995117188,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,keyboard5-bicycle1,dot,696.85009765625,868.7838745117188,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,keyboard6-bicycle1,dot,696.85009765625,855.3828735351562,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,clock7-bicycle1,dot,696.85009765625,758.9786987304688,0,1
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,clock6-bicycle1,dot,696.85009765625,556.03125,1,0
resnet50,truck3-bicycle1,truck3,bicycle1,truck3-bear3,clock2-bicycle1,dot,696.85009765625,656.2040405273438,1,0
