Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,cat4-oven1,dot,584.8959350585938,861.270263671875,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,cat6-oven1,dot,584.8959350585938,827.6605224609375,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,cat1-oven1,dot,584.8959350585938,760.4644775390625,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,dog5-oven1,dot,584.8959350585938,792.3062744140625,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,dog4-oven1,dot,584.8959350585938,671.6932373046875,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,bear2-oven1,dot,584.8959350585938,808.2120361328125,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,boat10-oven1,dot,584.8959350585938,660.4122924804688,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,boat8-oven1,dot,584.8959350585938,774.5089111328125,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,boat1-oven1,dot,584.8959350585938,684.059326171875,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,chair10-oven1,dot,584.8959350585938,729.9788818359375,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,chair8-oven1,dot,584.8959350585938,619.4764404296875,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,bird1-oven1,dot,584.8959350585938,710.7266845703125,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,bird6-oven1,dot,584.8959350585938,725.0654296875,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,bird3-oven1,dot,584.8959350585938,697.0484619140625,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,airplane3-oven1,dot,584.8959350585938,604.3568725585938,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,bicycle1-oven1,dot,584.8959350585938,617.7905883789062,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,bicycle7-oven1,dot,584.8959350585938,581.6690673828125,1,0
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,keyboard8-oven1,dot,584.8959350585938,623.0159912109375,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,clock4-oven1,dot,584.8959350585938,634.7797241210938,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,clock5-oven1,dot,584.8959350585938,626.964111328125,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,clock6-oven1,dot,584.8959350585938,638.6580810546875,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,knife1-oven1,dot,584.8959350585938,543.1433715820312,1,0
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,elephant4-oven1,dot,584.8959350585938,793.8855590820312,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,elephant3-oven1,dot,584.8959350585938,813.0274047851562,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-cat2,elephant6-oven1,dot,584.8959350585938,773.2473754882812,0,1
resnet50,bear10-oven1,bear10,oven1,bear10-truck1,cat4-oven1,dot,576.8294677734375,861.270263671875,0,1
