Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,cat4-truck3,dot,836.703369140625,770.7755126953125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,cat3-truck3,dot,836.703369140625,756.59228515625,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,cat2-truck3,dot,836.703369140625,782.53955078125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,car6-truck3,dot,836.703369140625,663.0797119140625,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,car9-truck3,dot,836.703369140625,664.49609375,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,car5-truck3,dot,836.703369140625,568.6205444335938,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,car8-truck3,dot,836.703369140625,684.557373046875,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,bear8-truck3,dot,836.703369140625,712.6343383789062,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,bear4-truck3,dot,836.703369140625,711.6583251953125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,bear3-truck3,dot,836.703369140625,759.4736328125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,boat1-truck3,dot,836.703369140625,685.245361328125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,boat6-truck3,dot,836.703369140625,759.3702392578125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,oven2-truck3,dot,836.703369140625,633.0881958007812,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,oven4-truck3,dot,836.703369140625,705.1156616210938,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,chair5-truck3,dot,836.703369140625,717.6563720703125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,chair7-truck3,dot,836.703369140625,824.7500610351562,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,chair1-truck3,dot,836.703369140625,736.0872802734375,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,bird3-truck3,dot,836.703369140625,676.8706665039062,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,airplane8-truck3,dot,836.703369140625,715.1639404296875,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,bicycle4-truck3,dot,836.703369140625,1015.7373657226562,0,1
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,bicycle7-truck3,dot,836.703369140625,927.9521484375,0,1
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,bottle10-truck3,dot,836.703369140625,652.7315673828125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,keyboard9-truck3,dot,836.703369140625,682.461181640625,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,keyboard4-truck3,dot,836.703369140625,662.55126953125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,keyboard8-truck3,dot,836.703369140625,709.1741943359375,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,clock7-truck3,dot,836.703369140625,707.501220703125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,clock1-truck3,dot,836.703369140625,693.527587890625,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,clock6-truck3,dot,836.703369140625,633.3826904296875,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,knife5-truck3,dot,836.703369140625,714.6361694335938,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,knife8-truck3,dot,836.703369140625,741.197265625,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,elephant8-truck3,dot,836.703369140625,729.357421875,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-bird1,elephant6-truck3,dot,836.703369140625,753.2857055664062,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,cat4-truck3,dot,836.27392578125,770.7755126953125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,cat3-truck3,dot,836.27392578125,756.59228515625,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,cat2-truck3,dot,836.27392578125,782.53955078125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,car6-truck3,dot,836.27392578125,663.0797119140625,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,car9-truck3,dot,836.27392578125,664.49609375,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,car5-truck3,dot,836.27392578125,568.6205444335938,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,car8-truck3,dot,836.27392578125,684.557373046875,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,bear8-truck3,dot,836.27392578125,712.6343383789062,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,bear4-truck3,dot,836.27392578125,711.6583251953125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,bear3-truck3,dot,836.27392578125,759.4736328125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,boat1-truck3,dot,836.27392578125,685.245361328125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,boat6-truck3,dot,836.27392578125,759.3702392578125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,oven2-truck3,dot,836.27392578125,633.0881958007812,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,oven4-truck3,dot,836.27392578125,705.1156616210938,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,chair5-truck3,dot,836.27392578125,717.6563720703125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,chair7-truck3,dot,836.27392578125,824.7500610351562,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,chair1-truck3,dot,836.27392578125,736.0872802734375,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,bird3-truck3,dot,836.27392578125,676.8706665039062,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,airplane8-truck3,dot,836.27392578125,715.1639404296875,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,bicycle4-truck3,dot,836.27392578125,1015.7373657226562,0,1
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,bicycle7-truck3,dot,836.27392578125,927.9521484375,0,1
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,bottle10-truck3,dot,836.27392578125,652.7315673828125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,keyboard9-truck3,dot,836.27392578125,682.461181640625,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,keyboard4-truck3,dot,836.27392578125,662.55126953125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,keyboard8-truck3,dot,836.27392578125,709.1741943359375,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,clock7-truck3,dot,836.27392578125,707.501220703125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,clock1-truck3,dot,836.27392578125,693.527587890625,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,clock6-truck3,dot,836.27392578125,633.3826904296875,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,knife5-truck3,dot,836.27392578125,714.6361694335938,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,knife8-truck3,dot,836.27392578125,741.197265625,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,elephant8-truck3,dot,836.27392578125,729.357421875,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-elephant2,elephant6-truck3,dot,836.27392578125,753.2857055664062,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-keyboard1,cat4-truck3,dot,910.8924560546875,770.7755126953125,1,0
resnet50,bicycle3-truck3,bicycle3,truck3,bicycle3-keyboard1,cat3-truck3,dot,910.8924560546875,756.59228515625,1,0
