Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,bird1-bicycle2,bird1,bicycle2,bird1-oven1,car8-bicycle2,dot,588.92431640625,733.7315673828125,0,1
resnet50,bird1-bicycle2,bird1,bicycle2,bird1-oven1,car9-bicycle2,dot,588.92431640625,704.616943359375,0,1
resnet50,bird1-bicycle2,bird1,bicycle2,bird1-oven1,car10-bicycle2,dot,588.92431640625,749.5067749023438,0,1
resnet50,bird1-bicycle2,bird1,bicycle2,bird1-oven1,dog2-bicycle2,dot,588.92431640625,816.7852783203125,0,1
resnet50,bird1-bicycle2,bird1,bicycle2,bird1-oven1,bear3-bicycle2,dot,588.92431640625,891.73388671875,0,1
resnet50,bird1-bicycle2,bird1,bicycle2,bird1-oven1,bear7-bicycle2,dot,588.92431640625,729.5865478515625,0,1
resnet50,bird1-bicycle2,bird1,bicycle2,bird1-oven1,boat3-bicycle2,dot,588.92431640625,741.604736328125,0,1
resnet50,bird1-bicycle2,bird1,bicycle2,bird1-oven1,boat6-bicycle2,dot,588.92431640625,697.4983520507812,0,1
resnet50,bird1-bicycle2,bird1,bicycle2,bird1-oven1,boat1-bicycle2,dot,588.92431640625,759.4097900390625,0,1
resnet50,bird1-bicycle2,bird1,bicycle2,bird1-oven1,oven4-bicycle2,dot,588.92431640625,810.5563354492188,0,1
resnet50,bird1-bicycle2,bird1,bicycle2,bird1-oven1,truck2-bicycle2,dot,588.92431640625,865.45458984375,0,1
resnet50,bird1-bicycle2,bird1,bicycle2,bird1-oven1,bird4-bicycle2,dot,588.92431640625,844.520751953125,0,1
resnet50,bird1-bicycle2,bird1,bicycle2,bird1-oven1,airplane4-bicycle2,dot,588.92431640625,752.1544189453125,0,1
resnet50,bird1-bicycle2,bird1,bicycle2,bird1-oven1,airplane1-bicycle2,dot,588.92431640625,685.1521606445312,0,1
resnet50,bird1-bicycle2,bird1,bicycle2,bird1-oven1,keyboard3-bicycle2,dot,588.92431640625,801.511474609375,0,1
